"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","번호26","성분 및 원료26","비고26"
"1","번호1974","품목보고번호20110084489528","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명웰트리트 밀크씨슬 아르기닌","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","정제수","L-아르지닌","구연산","백포도농축액","분말결정포도당","밀크씨슬추출물분말","효소처리스테비아","혼합제제","오자농축액","타우린","테아닌","수박분말","잔탄검","기타가공품","오르니틴염산염","L-카르니틴","고량강뿌리줄기추출분말","기타가공품","혼합제제","비타민B6염산염","산화아연","비타민C","마카뿌리분말","비수리분말","흑마늘분말","","","함수구연산","","함수결정포도당","","","청포도향","","","L-테아닌","수박추출분말","","복합황금추출물","","","갈랑가(갈랑갈)추출물분말","실크펩타이드","비타민B군믹스","","","","블랙마카분말","비수리농축분말","흑마늘농축분말",NA,NA,NA
"2","번호1973","품목보고번호202003835617","업소명농업회사법인 경기술 주식회사","품목유형혼합음료","유통/소비기한12개월","제품명위 위드 워터  WE  WITH WATER","분류식품","업체명","농업회사법인 경기술 주식회사","소재지","경기도 화성시 양감면 정문송산로 190(1동 1층)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","비트루트농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"수돗물","비트",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1972","품목보고번호20040275056712","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명위(衛)애플러스","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"식물혼합농축액","쌀조청","정제수","자일리톨","시클로덱스트린시럽","매실농축액","아티초크추출분말","구연산","구연산삼나트륨","타우린","페퍼민트향","기타가공품","L-카르니틴",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"식물혼합농축액510","","","","싸이덱스-S","","유기농아티초크추출분말","함수구연산","","","페퍼민트 미크론 비-5010","복합황금추출물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1971","품목보고번호2015036010317","업소명(주)다스코 바이오","품목유형혼합음료","유통/소비기한24개월","제품명위드링크(wiDrinK)","분류식품","업체명","(주)다스코 바이오","소재지","경기도 안성시 원곡면 기업단지로 293-26(B동 1층)","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"마카추출농축액","정제수","파라옥시안식향산에틸",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1970","품목보고번호19970464172235","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한2년","제품명위속청Q","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19",NA,NA,NA,NA,NA,NA,"액상과당","생강농축액","귤피농축액","계피농축액","기타가공품","사철쑥농축액","감초농축액","대추농축액","배농축액","구연산","구연산삼나트륨","l-멘톨","주정","L-카르니틴","기타가공품","수크랄로스","멘톨향","레몬라임향","정제수",NA,NA,NA,NA,NA,NA,"","","","","창출농축액","","","","","","","","","","복합황금추출물","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1969","품목보고번호2020042406550","업소명(주)비엘헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명위아굿","분류식품","업체명","(주)비엘헬스케어","소재지","충청북도 청주시 청원구 오창읍 양청송대길 39(주2동:1~2층, 주3동:1~2층, 부2동:1층, 부5동:1층)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","덱스트린","양배추농축액","키위농축액","프락토올리고당","프로폴리스추출물(고시형)","골드키위향","키위향","해양심층수미네랄농축수","잔탄검","브로콜리분말","자몽종자추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","말토덱스트린","","골드키위농축액","","그린프로폴리스","","","해양심층수원수(미네랄농축액)","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1968","품목보고번호20030415157536","업소명주식회사 노바렉스","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명위야~호!","분류식품","업체명","주식회사 노바렉스","소재지","충청북도 청주시 흥덕구 오송읍 오송생명14로 80(부4동1층,부5동1층,주1동 2~3층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18",NA,NA,NA,NA,NA,NA,NA,"정제수","결정과당","사양벌꿀","헛개나무열매농축액","배농축과즙","구연산(무수)","허니향","타우린","양배추분말","구연산삼나트륨","잔탄검","효소처리스테비아","혼합올리브유","인동덩굴꽃봉오리추출물(그린세라-F)(기능성원료인정제2019-14호)","황금혼합추출물","비타민 C(고시형)","식초분말","페퍼민트향",NA,NA,NA,NA,NA,NA,NA,"배합비율: 86.310353%","","","헛개나무열매농축분말","배농축과즙액","","","","","","","","올리브오일혼합액","배합비율: 0.119047%(Secoxyloganin 3.2mg/g)","복합황금추출물","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1967","품목보고번호20010515081517","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명위져스 프로틴에잇 녹차라떼","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22",NA,NA,NA,"정제수","백설탕","녹차가루","카제인나트륨","분리유단백","분리대두단백","글리세린지방산에스테르","정제소금","탄산수소나트륨","젤란검","비타민A혼합분말","비타민C","비타민B1혼합제제","비타민B12","비타민D3혼합제제","비타민E혼합제제","니코틴산아미드","구연산칼륨","향료","향료","아세설팜칼륨","수크랄로스",NA,NA,NA,"","","","","","","","","","","","","","","","","","","녹차라떼향","밀크향","","",NA,NA,NA,NA,NA,NA
"9","번호1966","품목보고번호20010515081516","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명위져스 프로틴에잇 레몬아이스티","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20",NA,NA,NA,NA,NA,"정제수","유청단백분말","레몬홍차맛분말","카복시메틸셀룰로스나트륨","글리세린지방산에스테르","DL-사과산","구연산","향료","향료","비타민C","비타민A혼합분말","비타민B1혼합제제","비타민B12","비타민D3혼합제제","비타민E혼합제제","니코틴산아미드","혼합제제","스테비텐후레쉬","아세설팜칼륨","수크랄로스",NA,NA,NA,NA,NA,"","","","","","","","홍차향","레몬향","","","","","","","","폼크린200","","","",NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1965","품목보고번호20060445110600","업소명콜마비앤에이치(주) 음성공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명위치워터","분류식품","업체명","콜마비앤에이치(주) 음성공장","소재지","충청북도 음성군 대소면 대풍산단1길 8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","정제수","생선콜라겐","에리스리톨","L-아르지닌","이소말토올리고당","구연산","용설란시럽","요구르트향","효소처리스테비아","황금혼합추출물","비타민C","히알루론산","알로에베라겔동결건조분말","비타민 A 혼합제제분말","비타민 E 혼합제제분말","히비스커스추출분말","마테추출물분말","우유단백질","비타민B2","비타민B6염산염","엘라스틴가수분해물","건조효모(셀렌함유)","비타민 D3 혼합제제분말","산화아연","건조효모(비오틴 함유)","","피쉬콜라겐","","","","","아가베시럽","","","","","","알로에베라농축분말","비타민A혼합제제","","","","우유단백농축","","","","건조효모(셀렌 0.2%)","","","건조효모(비오틴, 0.45%)","26","L-시스틴",""
