"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","성분 및 원료11","비고11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25"
"1","번호811","품목보고번호19890445014345","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명토종통마늘","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","토종통마늘추출액","액상과당","구연산","카라멜색소","안식향산나트륨","인삼향","카르복시메틸셀룰로오스나트륨","비타민B2","백설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호810","품목보고번호19890445014446","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한36월","제품명토종통흑마늘진액","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","흑마늘추출액","액상과당","대추농축액","숙지황농축액","폴리덱스트로스","DL-사과산","카르복시메틸셀룰로오스나트륨","비타민C","니콘틴산아마드","비타민B염산염",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","비타민B2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호809","품목보고번호19890445014349","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한36월(실온)","제품명토종흑마늘진액","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","흑마늘혼합추출액","카르복시메틸셀룰로오스나트륨","구연산","카라멜색소","효소처리스테비아","안식향산나트륨","인삼향","산화아연","마카분말","눈꽃동충하초균사체","고형분 1%기준","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호808","품목보고번호19990555185127","업소명경북농축산영농조합","품목유형혼합음료","유통/소비기한3년","제품명토종흑염소 진액","분류식품","업체명","경북농축산영농조합","소재지","경상북도 영천시 화산면 대암길 136","1","2","3",NA,NA,NA,NA,NA,NA,NA,"흑염소혼합추출액","올리고당","과당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호807","품목보고번호19810227007188","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한6개월","제품명토탈영양식 팥향","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","3","4","5","6","7","8","9","10","정제수","채종유(유채유 또는 카놀라유)","덱스트린","분리대두단백분말","유단백분말","난소화성말토덱스트린(고시형)","카제인나트륨","폴리덱스트로스","결정과당","구연산칼륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","제삼인산칼슘",NA,"12","13","14","15","16","17","18","19","20","21","22","23","24","25","소르비탄지방산에스테르","혼합비타민제제","염화마그네슘","L-아스코르빈산나트륨","팥향","d-α-토코페릴아세테이트","L-아르기닌","황산제일철","비타민D3혼합제제","분말비타민A혼합제제","제이인산칼륨","니코틴산아미드","비타민B1염산염","비타민B2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호806","품목보고번호19890445014831","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명토피넛 라떼","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","정제수","혼합분유","설탕","가공유크림","합성향료","자당지방산에스테르","자당지방산에스테르","천연향료","아몬드페이스트","잔탄검","","혼합탈지분유","","캔 락티아","토피넛향","자당지방산에스테르S","자당지방산에스테르P","천연토피넛오일","무가당아몬드페이스트","","11","카제인나트륨","","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"수크랄로스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호805","품목보고번호20070464094467","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명토피넛 라떼(토샷추)","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","우유","설탕","혼합분유","에스프레소커피추출액","당류가공품","가공유크림","카복시메틸셀룰로스나트륨","탄산수소나트륨","합성향료","크림향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","아몬드향",NA,"12","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"땅콩향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호804","품목보고번호20070464094302","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명톡터질 수박에","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","알로에베라겔크러쉬","설탕","수박농축액","구연산삼나트륨","구연산","젖산칼슘","젤란검","식용색소적색제40호","수크랄로스","수박향","","","","","함수구연산","","","","","수박향1","11","수박향","수박향2","12","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"오이향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호803","품목보고번호202207802664","업소명(주)에이트리에프앤비","품목유형혼합음료","유통/소비기한유통기한 : 제조일로부터 12개월까지","제품명톡톡(TOK TOK)","분류식품","업체명","(주)에이트리에프앤비","소재지","경상북도 안동시 풍산읍 산업단지길 87","1","2","3","4",NA,NA,NA,NA,NA,NA,"기타가공품","L-아스파트산","L-아르지닌","정제수",NA,NA,NA,NA,NA,NA,"메디코랄바이오[소성풍화퇴적산호분말-품목보고번호 201603631482]","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호802","품목보고번호20100543066978","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명톰과제리 초코","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","정제수","원유","설탕","혼합분유","코코아분말","당류가공품","탄산수소나트륨","정제소금","카복시메틸셀룰로스나트륨","수크랄로스","","국산","","혼합탈지분유(탈지분유,유청분말,네덜란드산)","네덜란드산","","","","CMC-Na","감미료","11","합성향료","초콜렛향","12","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"합성향료","합성향료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"코코아향","밀크향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
