"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22"
"1","번호3520","품목보고번호1983024201744","업소명주식회사 광야식품","품목유형혼합음료","유통/소비기한제조일로부터 24월","제품명산수유믹스","분류식품","업체명","주식회사 광야식품","소재지","대전광역시 대덕구 신탄진로738번길 136(신탄진동, 231-1)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","정제수","기타과당","설탕","올리고당","오미자추출물","대추농축액","감식초","산수유농축액","구기자농축액","계피농축액","사과농축액","구연산","현미식초","레드색소","비타민C","스테비안45에스","자몽종자추출물","구연산삼나트륨","DL-사과산","산수유향","카라멜색소 Ⅲ","사카린나트륨","","","","","","","","","","","","","","HI-레드1","","","","","","","",""
"2","번호3519","품목보고번호19890445014428","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명산신령이 점지해준 장뇌산삼","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"장뇌산삼혼합추출액","액상과당","카라멜새곳","구연산","타우린","파이오렌지","비타민B1염산염","비타민B2","인삼향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3518","품목보고번호202105210656","업소명주식회사 상춘당","품목유형혼합음료","유통/소비기한9개월","제품명산야초","분류식품","업체명","주식회사 상춘당","소재지","전라남도 구례군 산동면 지리산온천로 266-12(101호)","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"가시오가피숙지황 복합추출물","계피가루","감초","매실","대추","정제소금","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3517","품목보고번호19940543023124","업소명북안동농협산약가공공장","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명산약촌 늘 활기찬 하루 복분자","분류식품","업체명","북안동농협산약가공공장","소재지","경상북도 안동시 북후면 북평로 819","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"복분자농축액","딸기농축액","기타과당","백설탕","구연산","구연산삼나트륨","DL-사과산","비타민C","혼합제제","복분자향","혼합제제","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(고형분32%.국산)","(고형분68%.국산)","","","","","","","(포도과피추출색소.프로플렌글리콜)","합성착향료","(비타민B1.라우릴황산염.텍스트린)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3516","품목보고번호1994054302376","업소명북안동농협산약가공공장","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명산약촌 마시는 참마","분류식품","업체명","북안동농협산약가공공장","소재지","경상북도 안동시 북후면 북평로 819","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"마추출액","사과농축액","기타과당","타우린","스테비텐마일드","비타민B2","구연산","구연산삼나트륨","안식향산나트륨","DL-사과산","혼합과일향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"고형분0.18.국산","고형분33%.국산","","","혼합제제(효소처리스테비아.덱스트린","","","","합성보존료","","합설착향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3515","품목보고번호1994054302370","업소명북안동농협산약가공공장","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명산약촌 복분자 딸기","분류식품","업체명","북안동농협산약가공공장","소재지","경상북도 안동시 북후면 북평로 819","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"딸기농축과즙","복분자농축액","구연산","구연산삼나트륨","디-엘사과산","안식향산나트륨","백설탕","기타과당","혼합제제","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"고형분68%(국산)","고형분32%(국산)","","","","합성보존료","","","(합성향료)복분자향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3514","품목보고번호1994054302388","업소명북안동농협산약가공공장","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명산약촌 오미자","분류식품","업체명","북안동농협산약가공공장","소재지","경상북도 안동시 북후면 북평로 819","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"오미자농축액","구연산","구연산삼나트륨","비타민C","혼합제제","감식초","백설탕","오미자향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"오미자농축액(고형분60%.국산)","","","","엘더베리색소100%","총산3%이상국산","","착향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3513","품목보고번호19940543023145","업소명북안동농협산약가공공장","품목유형혼합음료","유통/소비기한24개월","제품명산약촌 웰빙 블랙푸드 오디","분류식품","업체명","북안동농협산약가공공장","소재지","경상북도 안동시 북후면 북평로 819","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","사과농축액","오디농축액","기타과당","오디향","비타민C","백설탕","구연산","구연산삼나트륨","L-글루타민산나트륨","니코틴산아미드","혼합제제","카라멜색소","혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,"","(고형분33%.국산)","(고형분51%.국산)","","합성착향료","","","","","향미증진제","","(포도과피색소.치자황색소.텍스트린)","","(효소처리스테비아.텍스트린)",NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3512","품목보고번호19940543023127","업소명북안동농협산약가공공장","품목유형혼합음료","유통/소비기한2년","제품명산약촌늘 상쾌한 아침알로에","분류식품","업체명","북안동농협산약가공공장","소재지","경상북도 안동시 북후면 북평로 819","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"알로에베라(고시형)","마농축액","기타과당","구연산","비타민C","젤란검","젖산칼슘","구연산삼나트륨","효소처리스테비아","합성향료","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","고형분58%","","","","","","","","청포도향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3511","품목보고번호1994054302317","업소명북안동농협산약가공공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명산약촌동충하초","분류식품","업체명","북안동농협산약가공공장","소재지","경상북도 안동시 북후면 북평로 819","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,NA,NA,NA,NA,NA,"눈꽃동충하초엑기스","마농축액","사과농축액","기타과당","구연산","정제소금","구연산삼나트륨","사양벌꿀","카라멜색소","비타민B2","L-글루타민산나트륨","안식향산나트륨","글리신","혼합제제","허브후레바","정제수",NA,NA,NA,NA,NA,NA,"고형분55%","고형분57.59%","고형분33%","","","","","","","","향미증진제","합성보존료","","(효소처리스테비아.텍스트린)","","",NA,NA,NA,NA,NA,NA
