"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","번호14","번호15","번호16","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고12","비고13","비고14","비고15","비고16"
"1","번호3677","품목보고번호20140443099456","업소명(주)휴온스푸디언스","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명비타 잘크톤 이브이","분류식품","업체명","(주)휴온스푸디언스","소재지","충청북도 진천군 이월면 진광로 709-104","1","2","3","4","5","6","7","8","9","10","11","결정과당","젖산칼슘","사과농축액","DL-사과산","합성향료","안식향산나트륨","수크랄로스","자일리톨","산화아연","비타민B6염산염","정제수","","","","","사과향","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3676","품목보고번호20140443099476","업소명(주)휴온스푸디언스","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명비타 잘크톤 쿠로미","분류식품","업체명","(주)휴온스푸디언스","소재지","충청북도 진천군 이월면 진광로 709-104","1","2","3","4","5","6","7","8","9","10","11","정제수","결정과당","젖산칼슘","포도농축액","DL-사과산","향료","안식향산나트륨","수크랄로스","자일리톨","산화아연","비타민B6염산염","","","","적포도농축액","","포도향","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3675","품목보고번호20140443099473","업소명(주)휴온스푸디언스","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명비타 잘크톤 폼폼푸린","분류식품","업체명","(주)휴온스푸디언스","소재지","충청북도 진천군 이월면 진광로 709-104","1","2","3","4","5","6","7","8","9","10","11","정제수","결정과당","젖산칼슘","망고농축액","DL-사과산","향료","안식향산나트륨","수크랄로스","자일리톨","산화아연","비타민B6염산염","","","","","","망고향","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3674","품목보고번호20140443099448","업소명(주)휴온스푸디언스","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명비타 잘크톤 피카츄","분류식품","업체명","(주)휴온스푸디언스","소재지","충청북도 진천군 이월면 진광로 709-104","1","2","3","4","5","6","7","8","9","10","11","결정과당","젖산칼슘","사과농축액","DL-사과산","합성향료","안식향산나트륨","수크랄로스","자일리톨","산화아연","비타민B6염산염","정제수","","","","","사과향","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3673","품목보고번호20140443099475","업소명(주)휴온스푸디언스","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명비타 잘크톤 헬로키티","분류식품","업체명","(주)휴온스푸디언스","소재지","충청북도 진천군 이월면 진광로 709-104","1","2","3","4","5","6","7","8","9","10","11","정제수","결정과당","젖산칼슘","사과농축액","DL-사과산","향료","안식향산나트륨","수크랄로스","자일리톨","산화아연","비타민B6염산염","","","","","","사과향","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3672","품목보고번호19850347002108","업소명일양약품(주)건강사업부","품목유형혼합음료","유통/소비기한15개월","제품명비타-씨(VITA-C)","분류식품","업체명","일양약품(주)건강사업부","소재지","경기도 용인시 기흥구 하갈로 110(하갈동)","1","2","3","4","5","6","7","8","9","10","11","비타민C","비타민B2","비타민B6염산염","니코틴산아미드","백당","L-글루탐산나트륨","구연산","호박산이나트륨","효소처리스테비아","정제소금","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","13","14","15","16","DL-사과산","드링크향","사과향","구연산삼나트륨","기타과당",NA,NA,NA,NA,NA
"7","번호3671","품목보고번호19890445014298","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한18개월","제품명비타1000","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","농축사과과즙","액상과당","스테비텐라이트","구연산","구연산삼나트륨","비타민C1","니코틴산아미드","비타민B2","파인애플향","타우린","DL-사과산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","13","14",NA,NA,"오렌지농축액","자몽종자추출물","정제수",NA,NA,NA,NA,NA,NA,NA
"8","번호3670","품목보고번호19890445014531","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년(실온)","제품명비타1000","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","비타민C","액상과당","농축사과과즙","구연산","파인애플향","합성착향료","새티스","ST","효소처리스테비아","니코틴산아미드","구연산삼나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","13",NA,NA,NA,"비타민B2","정제수",NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3669","품목보고번호19890445014244","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명비타1200플러스","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5",NA,NA,NA,NA,NA,NA,"비타민C","농축사과과즙","구연산","구연산삼나트륨","비타민-B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3668","품목보고번호19890445014245","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명비타2500","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","비타민C","사과농축액","구연산","구연산삼나트륨","비타민 B1(고시형)","비타민B2","니코틴산아미드","액상과당","스테비올배당체","착향료(파인애플향)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
