"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","번호13","번호14","번호15","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고11","비고12","비고13","비고14","비고15"
"1","번호3917","품목보고번호19780368002603","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명복분자","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 광주시 양벌로 257","1","2","3","4","5","6","7","8","9","10","과.채가공품","기타과당","수크랄로스","구연산","구연산삼나트륨","효소처리루틴","포도과피색소","합성향료","합성향료","정제수","가당복분자청징농축액-엘 [60.8 Brix]","","","","","","에노칼라피","복분자향1","복분자향2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3916","품목보고번호19940543023157","업소명북안동농협산약가공공장","품목유형혼합음료","유통/소비기한24개월","제품명복분자","분류식품","업체명","북안동농협산약가공공장","소재지","경상북도 안동시 북후면 북평로 819","1","2","3","4","5","6","7","8",NA,NA,"복분자농축액","설탕","기타과당","사과농축액","구연산","안식향산나트륨","합성착향료","정제수",NA,NA,"고형분32%,국산","설탕","","고형분33%,국산","","합성보존료","블루베리향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3915","품목보고번호19970570162176","업소명경북과학대학식품공장","품목유형혼합음료","유통/소비기한제조일로부터12개월(파우치), 제조일로부터24개월(병제품)","제품명복분자 발효초 버몬트","분류식품","업체명","경북과학대학식품공장","소재지","경상북도 칠곡군 기산면 지산로 520","1","2","3","4","5","6","7","8","9","10","복분자식초","액상과당","폴리덱스트로스","배농축액","벌꿀","구연산","구연산삼나트륨","효소처리스테비아","비타민C","니코틴산아미드",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","12","13","14","15","레드칼라색소","젖산칼슘","복분자향","l-멘톨","타우린",NA,NA,NA,NA,NA
"4","번호3914","품목보고번호2004046721349","업소명금산인삼약초영농조합법인","품목유형혼합음료","유통/소비기한2년","제품명복분자 오디정","분류식품","업체명","금산인삼약초영농조합법인","소재지","충청남도 금산군 복수로 123","1","2","3","4","5","6","7","8","9","10","복분자농축액","식물성원료농축액","올리고당","덱스트린","식물성원료농축액","오디","뽕나무잎","오미자","구기자나무열매","토사자",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","12","13","14",NA,"사상자","사철쑥","지황포제가공한뿌리","감초",NA,NA,NA,NA,NA,NA
"5","번호3913","품목보고번호19890445014278","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월","제품명복분자-D","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9",NA,"복분자농축액","액상과당","벌꿀","구연산","구연산삼나트륨","스테비올배당체","강력드라이이스트골드","안식향산나트륨","합성착향료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3912","품목보고번호19920624042580","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명복분자D","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10","백설탕","구연산","벌꿀","카라기난","타우린","복분자농축액","복분자향","복분자향","비타민C","산수유농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","12",NA,NA,NA,"효소처리스테비아","정제수",NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3911","품목보고번호201406076146","업소명한보D&F","품목유형혼합음료","유통/소비기한2년","제품명복분자골드","분류식품","업체명","한보D&F","소재지","경상북도 경산시 압량읍 가일길28길 59-4(가동 한보D&F)","1","2","3","4","5","6","7","8","9","10","복분자과즙농축액","액상과당","사과농축액","구연산","합성착향료","안식향산나트륨","구연산삼나트륨","천연색소","사카린산나트륨","스테비텐",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11",NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3910","품목보고번호19970464172473","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명복분자골드","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","복분자농축액","농축사과과즙","기타과당","사양벌꿀","구연산","구연산삼나트륨","정제소금","코치닐추출색소","효소처리스테비아","복분자향","(65Brix)","(72Brix)","","","","","정제염","","","","11",NA,NA,NA,NA,"정제수",NA,NA,NA,NA,"",NA,NA,NA,NA
"9","번호3909","품목보고번호2007055507119","업소명주식회사동남메딕스","품목유형혼합음료","유통/소비기한제조일로부터 2년까지","제품명복분자골드 (수출용)","분류식품","업체명","주식회사동남메딕스","소재지","경상북도 영천시 유봉길 20(오수동)","1","2","3","4","5","6","7","8","9","10","복분자농축액","구연산","구연산삼나트륨","안식향산나트륨","스테비안","말토덱스트린","레드칼라 L-500","사과즙","복분자향","삭카린나트륨","국산-중국산으로변경","","","","","","","","","","11","12","13","14",NA,"정제수","액상과당","정제수","백설탕",NA,"","","","",NA
"10","번호3908","품목보고번호20030563012107","업소명대승바이오주식회사","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명복분자골드100","분류식품","업체명","대승바이오주식회사","소재지","경상북도 의성군 가원농공길 46-8","1","2","3","4","5","6","7","8","9","10","사과농축액","복분자농축액","액상과당","구연산","구연산삼나트륨","효소처리스테비아","덱스트린","삭카린나트륨","레드칼라","복분자향","국산, 72Brix","국산, 55Brix","","","","","말토","","","합성착향료","11","12",NA,NA,NA,"안식향산나트륨","정제수",NA,NA,NA,"합성보존료","",NA,NA,NA
