"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","비고17","비고18","비고19","비고20","비고21","비고22","비고23"
"1","번호2094","품목보고번호20070443110504","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명올헬씨","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","혼합제제","글루콘산칼륨","구연산","타우린","L-아르지닌","식품첨가물","혼합제제","혼합제제","DL-사과산","식품첨가물","비타민C","식품첨가물","혼합제제","혼합제제","수크랄로스","정제수","아미노믹스 BCAA","","","","","시클로덱스트린시럽","믹스후르츠향 (SK-)","믹스후르츠후레바 (WR-)","","코치닐 -30","","아세설팜칼륨","자몽향(YW-)","파인애플향(BFR-)","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2093","품목보고번호2013037221913","업소명(주)성승바이오","품목유형혼합음료","유통/소비기한제조일로부터 실온 2년","제품명옵티마복합 미네랄","분류식품","업체명","(주)성승바이오","소재지","경기도 포천시 가산면 정금로 230(주2 1층)","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"탄산칼륨(무수)","염화칼륨","탄산나트륨","백설탕","정제수","이산화규소","천연첨가물",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","아마란스,차가버섯자실채추출물,보검선인장추출액,쇠뜨기추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2092","품목보고번호200703582241117","업소명코스맥스엔비티(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명옵티마스마트 베리하이","분류식품","업체명","코스맥스엔비티(주)","소재지","경기도 이천시 마장면 덕평로663번길 127-16","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","정제수","사양벌꿀","프락토올리고당","블랙엘더베리농축액","혼합제제","배농축액","황금혼합추출물","구연산(무수)","잔탄검","니코틴산아미드","산화아연","아미노산혼합분말","건조효모","밀크씨슬추출물","유산균혼합분말","L-아르지닌","","","","엘더베리농축액","믹스베리향","","","","","","","","","수용성밀크씨슬추출물","혼합7종유산균","","17","18","19","20","21","22","23","쌀배아추출물분말","해조혼합분말","글루콘산마그네슘","효모식품","비타민B1염산염","비타민B6염산염","비타민B2","","Lithothamnion corallioides/ Phymatolithon calcareum","","건조효모","","",""
"4","번호2091","품목보고번호2012057308038","업소명주식회사 아리바이오","품목유형혼합음료","유통/소비기한2년","제품명와우 베이비(WOW Baby)","분류식품","업체명","주식회사 아리바이오","소재지","경상북도 울진군 죽변면 해양과학길 22(재환동해산업연구원 105호)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","황산칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2090","품목보고번호2012057308037","업소명주식회사 아리바이오","품목유형혼합음료","유통/소비기한2년","제품명와우 뷰티(WOW Beauty)","분류식품","업체명","주식회사 아리바이오","소재지","경상북도 울진군 죽변면 해양과학길 22(재환동해산업연구원 105호)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","황산칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2089","품목보고번호20110445029125","업소명주식회사 와우에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명와우 알로에","분류식품","업체명","주식회사 와우에프앤비","소재지","충청북도 음성군 생극면 중원대로 124","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,"정제수","백설탕","알로에베라겔즙","구연산","알로에향","구연산삼나트륨","젖산칼슘","비타민C","젤란검","수크랄로스",NA,NA,NA,NA,NA,NA,"","","알로에베라겔45%, 알로에베라주스54.8%, 구연산 0.2%  베트남산","함수구연산","#17 FC-22855","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2088","품목보고번호2012057308040","업소명주식회사 아리바이오","품목유형혼합음료","유통/소비기한2년","제품명와우 액티브(WOW Active)","분류식품","업체명","주식회사 아리바이오","소재지","경상북도 울진군 죽변면 해양과학길 22(재환동해산업연구원 105호)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","황산칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2087","품목보고번호19980308080393","업소명한미사이언스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명와우 오트아몬드","분류식품","업체명","한미사이언스(주)","소재지","경기도 평택시 산단로 106(모곡동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,"정제수","곡류가공품","곡류가공품","곡류가공품","땅콩 또는 견과류가공품","채종유(유채유 또는 카놀라유)","탄산칼슘","소르비탄지방산에스테르","정제소금","과.채가공품","탄산수소나트륨","젤란검","혼합제제","카라기난",NA,NA,"","현미추출물","귀리페이스트","오트밀분말","아몬드페이스트","","","","","코코넛밀크분말","","","헤이즐넛향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2086","품목보고번호19980308080395","업소명한미사이언스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명와우 코코넛라이스","분류식품","업체명","한미사이언스(주)","소재지","경기도 평택시 산단로 106(모곡동)","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,"정제수","덱스트린","곡류가공품","곡류가공품","곡류가공품","곡류가공품","과.채가공품","가공유지","탄산칼슘","소르비탄지방산에스테르","정제소금","탄산수소나트륨","젤란검",NA,NA,NA,"","","현미추출물","귀리페이스트","쌀페이스트","오트밀분말","코코넛밀크분말","쎄폴피","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2085","품목보고번호2012057308039","업소명주식회사 아리바이오","품목유형혼합음료","유통/소비기한2년","제품명와우패밀리(wow Family)","분류식품","업체명","주식회사 아리바이오","소재지","경상북도 울진군 죽변면 해양과학길 22(재환동해산업연구원 105호)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","황산칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
