"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","번호24","번호25","성분 및 원료24","성분 및 원료25","비고24","비고25","번호26","번호27","번호28","번호29","번호30","번호31","번호32","번호33","번호34","번호35","번호36","번호37","번호38","번호39","번호40","번호41","번호42","번호43","번호44","번호45","번호46","번호47","번호48","번호49","성분 및 원료26","성분 및 원료27","성분 및 원료28","성분 및 원료29","성분 및 원료30","성분 및 원료31","성분 및 원료32","성분 및 원료33","성분 및 원료34","성분 및 원료35","성분 및 원료36","성분 및 원료37","성분 및 원료38","성분 및 원료39","성분 및 원료40","성분 및 원료41","성분 및 원료42","성분 및 원료43","성분 및 원료44","성분 및 원료45","성분 및 원료46","성분 및 원료47","성분 및 원료48","성분 및 원료49","비고26","비고27","비고28","비고29","비고30","비고31","비고32","비고33","비고34","비고35","비고36","비고37","비고38","비고39","비고40","비고41","비고42","비고43","비고44","비고45","비고46","비고47","비고48","비고49"
"1","번호4962","품목보고번호20040275056766","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명데이 액티브 포 맨","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","정제수","L-아르지닌","구연산","프락토올리고당","블루베리농축액","레몬농축액","망고농축퓌레","L-카르니틴","효소처리스테비아","기타가공품","비타민C","식품첨가물","레몬향","글루콘산아연","블루베리향","타우린","펙틴","기타가공품","니코틴산아미드","판토텐산칼슘","비타민B1염산염","비타민B2","엽산","","L-아르기닌","함수구연산","","","","망고농축퓨레","","","마카엑스-피엔(마카추출분말)","","대두레시틴{레시틴(EMULPUR IP) : 대두 100%}","혼합제제","","혼합제제(블루베리향#8)","","","복합황금추출물","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4961","품목보고번호20040275056767","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명데이 액티브 포 우먼","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","정제수","프락토올리고당","L-아르지닌","구연산","석류농축액","레몬농축액","딸기농축액","기타가공품","비타민C","L-카르니틴","L-글루타민","레몬밤추출물","레몬향","글루콘산아연","석류향","효소처리스테비아","서양자두농축액","타우린","펙틴","기타가공품","기타가공품","비타민미네랄혼합제제","과라나추출물분말","","","아르기닌","함수구연산","","","딸기과즙농축액","피쉬콜라겐펩타이드","","","","레몬밤추출분말","혼합제제","","혼합제제(석류향#7)","","푸룬농축액","","","복합황금추출물","마카엑스-피엔(마카추출분말)","비타민미네랄믹스","과라나추출분말","24","25","녹차추출물","흰강낭콩추출물","녹차추출분말","흰강낭콩추출분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4960","품목보고번호20040275056815","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명데이랩 데일리 아르기닌","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19",NA,NA,NA,NA,"정제수","L-아르지닌","구연산","과.채가공품","망고농축퓌레","타우린","청포도농축액","효소처리스테비아","비타민C","테아닌","식품첨가물혼합제제","L-글루타민","포도당","식품첨가물혼합제제","펙틴","식품첨가물혼합제제","비타민B1염산염","비타민B2","비오틴(고시형)",NA,NA,NA,NA,"","","함수구연산","파인애플주스농축액","망고농축퓨레","","","스테비텐후레쉬","","","IBCAA","","함수포도당","파인애플향","펙틴jmj","망고향","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4959","품목보고번호20040275056802","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명데이랩 아르기닌 5000 맥스","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20",NA,NA,NA,"정제수","L-아르지닌","구연산","타우린","과.채가공품","프락토올리고당","효소처리스테비아","비타민C","포도당","테아닌","L-글루타민","식품첨가물혼합제제","혼합제제","혼합제제","펙틴","비타민B1염산염","비타민B2","기타가공품","오르니틴염산염","비오틴",NA,NA,NA,"","","","","적포도농축액","","","","함수결정포도당","","","아이비씨에이에이","포도향","청포도향","","","","수박과피추출물분말","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4958","품목보고번호19970617062213","업소명조아제약(주)","품목유형혼합음료","유통/소비기한제조일부터 24개월까지","제품명데이스트","분류식품","업체명","조아제약(주)","소재지","경상남도 함안군 함안면 광정로 318","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","정제수","기타과당","해당화잎","사철쑥농축액","기타 농산가공품","감초농축액","생강농축액","계피농축액","기타가공품","매실농축액","배농축액","레몬라임향","기타 농산가공품","프로폴리스추출물(고시형)","파인애플추출분말","구연산","잔탄검","주정","효소처리스테비아","β-시클로덱스트린","멘솔향","L-카르니틴","구연산삼나트륨","","","","","진피농축액","","","","창출농축액","","","합성향료","솜엉겅퀴추출물, 아티초크건조엑스","","","","","","","","합성향료","","","24","25","l-멘톨","아세설팜칼륨","","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4957","품목보고번호2011061812175","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터12개월까지","제품명데이앤곤약젤리깔라만시","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","수크랄로스","구연산","구연산삼나트륨","정제곤약분말","카라기난","젤란검","잔탄검","로커스트빈검","에리스리톨","젖산칼슘","칼라만시원액","천연오렌지향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4956","품목보고번호2011061812176","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터12개월까지","제품명데이앤곤약젤리청포도","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","수크랄로스","구연산","구연산삼나트륨","정제곤약분말","카라기난","젤란검","잔탄검","로커스트빈검","에리스리톨","젖산칼슘","청포도농축액","사과농축액","청포도향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4955","품목보고번호20020183282949","업소명(주)푸드웰","품목유형혼합음료","유통/소비기한제조일로부터 40일","제품명데이워터 아쿠아 화이트","분류식품","업체명","(주)푸드웰","소재지","대구광역시 달서구 성서서로 121(지하1층~지상3층 갈산동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17",NA,NA,NA,NA,NA,NA,"알룰로오스","이소말토올리고당","수크랄로스","아세설팜칼륨","분말결정포도당","구연산","DL-사과산","구연산삼나트륨","비타민C","정제소금","미네랄혼합제제","시트러스향","혼합제제","천연향료","채소혼합농축액","과.채가공품","정제수",NA,NA,NA,NA,NA,NA,"","","","","","","","","","","미네랄 CIG","","백자몽향","천연백자몽향","","백자몽농축액","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4954","품목보고번호19980308080412","업소명한미사이언스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명데일리 밸런스 드링크","분류식품","업체명","한미사이언스(주)","소재지","경기도 평택시 산단로 106(모곡동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18",NA,NA,NA,NA,NA,"정제수","분리대두단백","백설탕","덱스트린","유청단백분말","유함유가공품","혼합제제","과.채가공품","탄산칼슘","옥수수기름(옥배유)","기타가공품","소르비탄지방산에스테르","향료","정제소금","글루콘산아연","기타가공품","카라기난","수크랄로스",NA,NA,NA,NA,NA,"","supro 670","","","힐마8010 인스턴타이즈드","MPC85","비타민미네랄프리믹스","코코넛밀크분말","","","카라멜페이스트","","밀크향","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4953","품목보고번호2007035822497","업소명코스맥스엔비티(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명데일리 빌드","분류식품","업체명","코스맥스엔비티(주)","소재지","경기도 이천시 마장면 덕평로663번길 127-16","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","정제수","과.채가공품","결정과당","배농축액","글루콘산칼륨","구연산칼슘","해조야채혼합농축분말","아사이주스","노니주스","비타민C","고지주스","망고스틴주스","석류농축액","블루베리농축액","허브혼합농축분말","백년초추출분말","아세로라추출분말","비타민 E 혼합분말","과라나추출물분말","산화마그네슘","대보농축액","김치유산균","황금복합추출물","","매실농축액","","","","","","","","","","","","","","","","","","","","","","24","25","아미노산혼합분말","오렌지향","","","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","구연산(무수)","판토텐산칼슘","크롬건조효모","셀렌건조효모","사과농축액","비타민B12","스피루리나","황산망간","비타민B1염산염","니코틴산아미드","비타민B6염산염","몰르브덴건조효모","주석산수소콜린","이노시톨","베타카로틴(고시형)","비타민B2","효소처리스테비아","포도씨앗추출물분말","고추","비타민D3 분말","케르세틴","엽산","비오틴","글루콘산아연","","","","","","","","","","","","","","","","","","","고추분말","","","","",""
