"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14"
"1","번호4622","품목보고번호19860443015249","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명리얼미 콜라겐 리퀴드","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","생선콜라겐","자일리톨","블루베리농축액","블루베리향","구연산삼나트륨","황금혼합추출물","세븐베리농축액","사과향","비타민 C(고시형)","잔탄검","히알루론산혼합제제","효소처리스테비아","알로에베라(고시형)","","","","","","","","","","","","","","알로에베라겔 200:1 분말"
"2","번호4621","품목보고번호20170614111231","업소명(주)엔트리","품목유형혼합음료","유통/소비기한24개월","제품명리얼뷰티 석류콜라겐젤리","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,"석류농축액","생선콜라겐분말","로커스트콩검","카라기난","잔탄검","분말한천(고시형)","타마린드검",NA,NA,NA,NA,NA,NA,NA,"65brix","GT콜라겐","","","","","",NA,NA,NA,NA,NA,NA,NA
"3","번호4620","품목보고번호2017037259067","업소명상아생명과학주식회사","품목유형혼합음료","유통/소비기한제조일로부터 실온에서 24개월","제품명리얼석류비타톡톡","분류식품","업체명","상아생명과학주식회사","소재지","경기도 포천시 가산면 마정로 192(가동, 나동 1층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","석류착즙액","기타과당","정제수","설탕","비타민C","자일리톨","식품첨가물혼합제제","사양벌꿀","수크랄로스","구연산","구연산삼나트륨","합성향료","생선콜라겐","레드비트농축액","","과당55","","푸드림가는정백당","","","비타민복합분말-MB","","","","","석류향","피쉬콜라겐",""
"4","번호4619","품목보고번호2009015604922","업소명(주)에이치비티","품목유형혼합음료","유통/소비기한12개월","제품명리얼알로에망고","분류식품","업체명","(주)에이치비티","소재지","부산광역시 기장군 일광읍 횡계길 7(B동 102호 재부산테크노파크 해양생물산업육성센터)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,"알로에베라겔원액","망고농축액","프락토올리고당","구아검","망고향","식품첨가물혼합제제","타우린","정제수",NA,NA,NA,NA,NA,NA,"무농약","","","","","레몬미크론(물엿,레몬오일,아라비아검,시트랄)","","",NA,NA,NA,NA,NA,NA
"5","번호4618","품목보고번호2017037259068","업소명상아생명과학주식회사","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명리얼유자비타톡톡","분류식품","업체명","상아생명과학주식회사","소재지","경기도 포천시 가산면 마정로 192(가동, 나동 1층)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,"유자착즙액","기타과당","프락토올리고당","정제수","구연산","구연산삼나트륨","비타민C","자일리톨","레몬과즙분말","합성향료","사양벌꿀","수크랄로스",NA,NA,"","","","","","","","","","유자향","","",NA,NA
"6","번호4617","품목보고번호2017037259026","업소명상아생명과학주식회사","품목유형혼합음료","유통/소비기한제조일로부터 실온에서 24개월","제품명리얼자몽비타톡톡","분류식품","업체명","상아생명과학주식회사","소재지","경기도 포천시 가산면 마정로 192(가동, 나동 1층)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,"자몽농축액","설탕","기타과당","사양벌꿀","구연산","구연산삼나트륨","비타민C","합성향료","정제수",NA,NA,NA,NA,NA,"58brix","","","","","","","자몽향","",NA,NA,NA,NA,NA
"7","번호4616","품목보고번호20130080027201","업소명한양전통식품","품목유형혼합음료","유통/소비기한제조일로부터 1년(냉동)","제품명리얼찐한 곳간식혜 단호박","분류식품","업체명","한양전통식품","소재지","경기도 김포시 양촌읍 금포로 1755(가,나동)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","호박","멥쌀","백설탕","엿기름",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","국산","국산","외국산","국산",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4615","품목보고번호20130080027101","업소명한양전통식품","품목유형혼합음료","유통/소비기한제조일로부터 1년(냉동)","제품명리얼찐한 곳간식혜 오리지널","분류식품","업체명","한양전통식품","소재지","경기도 김포시 양촌읍 금포로 1755(가,나동)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","멥쌀","백설탕","엿기름",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","국산","외국산","국산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4614","품목보고번호20110493072317","업소명코엔에프(유)","품목유형혼합음료","유통/소비기한제조일로부터 18개월.","제품명리얼코코넛워터","분류식품","업체명","코엔에프(유)","소재지","전라북도 김제시 금구면 봉두로 148-22","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,"과.채가공품류","키위농축액","사과농축액","바나나농축액","혼합제제","천연코코넛향","정제수",NA,NA,NA,NA,NA,NA,NA,"코코넛워터농축액(필리핀산,59BX)","뉴질랜드산, 65BX","국산","이스라엘산,65BX","그린칼라G-11135(치자황색소,치자청색소,덱스트린,메타인산나트륨,L-아스코르빈산나트륨,비타민C)","","",NA,NA,NA,NA,NA,NA,NA
"10","번호4613","품목보고번호2017037259011","업소명상아생명과학주식회사","품목유형혼합음료","유통/소비기한제조일로부터 실온에서 24개월","제품명리얼콜라겐뷰티플러스","분류식품","업체명","상아생명과학주식회사","소재지","경기도 포천시 가산면 마정로 192(가동, 나동 1층)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,"피쉬콜라겐펩타이드농축액","사과농축액","프락토올리고당","구연산","비타민 C(고시형)","비타민혼합제제","사과향","액상차","자일리톨","기타가공품","석류농축액","정제수",NA,NA,"고형분50%","","","","","","","7베리농축액","","풋사과추출분말","","",NA,NA
