"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","성분 및 원료12","성분 및 원료13","비고12","비고13"
"1","번호5762","품목보고번호20090473152375","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로 부터 12개월까지","제품명the 슬로우메이드 블루레몬 후레쉬","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6","7","8","9","10","11","정제수","설탕","레몬농축액","구연산","레몬향","라임농축액","구연산삼나트륨","라임향","시트러스향","수크랄로스","식용색소청색제1호","","","","함수구연산","레몬향#1 (FC-24117)","","구연산나트륨","라임향#1 (FC-37111)","시트러스향#1 (FC-87116)","감미료","착색료",NA,NA,NA,NA,NA,NA
"2","번호5761","품목보고번호20090473152380","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명the 슬로우메이드 초롱3","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6","7","8","9",NA,NA,"정제수","설탕","과.채가공품","과.채가공품","과.채가공품","과.채가공품","구연산","합성향료","구연산삼나트륨",NA,NA,"","","레몬농축과즙액","당근혼탁농축액","블루베리농축액","엘더베리농축액","","블루베리향","산도조절제",NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5760","품목보고번호20090473152376","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명the 슬로우메이드 초코 브라운","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6","7","8","9","10","11","정제수","설탕","전지분유","코코아분말","탈지분유","초콜릿향","유화제","카복시메틸셀룰로스나트륨","탄산수소나트륨","카라기난","밀크향","","","","","","초콜릿향#3 (FC-68302)","자당지방산에스테르 P-1670","CMC FH1000","","","밀크향#1 (FC-67110)","12","13","정제소금","잔탄검","",""
"4","번호5759","품목보고번호20090473152379","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명the 슬로우메이드 히비스","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6","7","8",NA,NA,NA,"정제수","올리고당","포도당","과.채가공품","액상차","구연산","합성향료","구연산삼나트륨",NA,NA,NA,"","","","석류농축액","히비스커스농축액","","석류향","산도조절제",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5758","품목보고번호20090473152405","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로 부터 12개월까지","제품명the블루 깔체(라임)","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6","7","8","9","10","11","정제수","올리고당","백설탕","라임농축액","라임향","구연산","DL-사과산","구연산삼나트륨","시트러스향","레몬향","수크랄로스","","","","이탈리아산","합성향료","함수구연산","","","합성향료","합성향료","감미료",NA,NA,NA,NA,NA,NA
"6","번호5757","품목보고번호20090473152406","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로 부터 12개월까지","제품명the블루 베르데(청포도)","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6","7","8","9","10","11","정제수","백설탕","올리고당","기타과당","구연산","청포도향","비타민C","젖산칼슘","청포도농축액","치자그린색소","치자황색소","","","","","","합성향료","","","아르헨티나산","","","12",NA,"수크랄로스",NA,"감미료",NA
"7","번호5756","품목보고번호20090473152404","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로 부터 12개월까지","제품명the블루 칠리에자(체리)","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6","7",NA,NA,NA,NA,"정제수","기타과당","체리농축액","체리향","구연산","비타민C","수크랄로스",NA,NA,NA,NA,"","고과당","미국산","합성향료","","","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5755","품목보고번호20090473152409","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로 부터 12개월까지","제품명the블루 텐저린(감귤)","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6","7","8",NA,NA,NA,"정제수","과.채가공품","기타과당","합성향료","비타민C","구연산","구연산삼나트륨","젖산칼슘",NA,NA,NA,"","제주감귤농축주스 60brix 제주산","고과당","오렌지향","","산도조절제1","산도조절제2","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5754","품목보고번호20090473152407","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로 부터 12개월까지","제품명the블루 플루이도(유자)","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6","7","8","9","10","11","정제수","백설탕","기타과당","유자과즙","비타민C","벌꿀","구연산","구연산삼나트륨","유자향","정제소금","효소처리스테비아","","","","국내산","","국내산","","","합성향료","국내산","","12",NA,"비타민B2",NA,"",NA
"10","번호5753","품목보고번호19970464172467","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명365 x Vitamin C Gold (365 x 비타민씨골드)","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","정제수","백설탕","구연산","농축사과과즙","파인애플향","비타민C","구연산삼나트륨","사과향","효소처리스테비아","타우린","니코틴산아미드",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","13","비타민B6염산염","비타민B2",NA,NA
