"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15"
"1","번호1253","품목보고번호20040445073341","업소명(주)대일","품목유형혼합음료","유통/소비기한24개월","제품명참맑은 애플키위","분류식품","업체명","(주)대일","소재지","충청북도 음성군 금율로 220-35","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","백설탕","기타설탕","사과농축액","키위농축액","구연산","구연산삼나트륨","비타민C","정제소금","수크랄로스","아세설팜칼륨","식용색소황색제5호","식용색소청색제1호","시트러스향","합성향료","","","","","골드키위농축액","","","","","","","","","","애플키위향"
"2","번호1252","품목보고번호20040445073331","업소명(주)대일","품목유형혼합음료","유통/소비기한24개월","제품명참맑은 오렌지쌕","분류식품","업체명","(주)대일","소재지","충청북도 음성군 금율로 220-35","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,"감귤과립","오렌지농축액","백설탕","구연산","비타민C","혼합제제","오렌지향","정제수",NA,NA,NA,NA,NA,NA,NA,"","","","","","엠황색","","",NA,NA,NA,NA,NA,NA,NA
"3","번호1251","품목보고번호20040445073339","업소명(주)대일","품목유형혼합음료","유통/소비기한24개월","제품명참맑은 유자","분류식품","업체명","(주)대일","소재지","충청북도 음성군 금율로 220-35","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,"유자농축액","백설탕","기타설탕","구연산","유자향","구연산삼나트륨","정제소금","비타민C","잔탄검","식용색소황색제4호","정제수",NA,NA,NA,NA,"","","흑설탕","","","","","","","","",NA,NA,NA,NA
"4","번호1250","품목보고번호20040445073294","업소명(주)대일","품목유형혼합음료","유통/소비기한24개월","제품명참맑은 제주감귤","분류식품","업체명","(주)대일","소재지","충청북도 음성군 금율로 220-35","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,"감귤농축액","오렌지농축액","백설탕","구연산","구연산삼나트륨","비타민C","효소처리스테비아","혼합제제","감귤향","혼합제제","오렌지오일","정제수",NA,NA,NA,"(제주도국산, 60bx)","(수입산, 65bx)","","","","","","레드칼라","","감귤향","","",NA,NA,NA
"5","번호1249","품목보고번호201005430661100","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명참맑은 제주감귤","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,"정제수","설탕","감귤농축액","오렌지농축액","구연산","향료","향료","구연산삼나트륨","비타민C","효소처리스테비아","혼합제제","오렌지오일",NA,NA,NA,"","","감귤과즙 10%, 국산","오렌지과즙 8.27%, 스페인산","","감귤향","감귤향","","","","정제수, 프로필렌글리콜, 적양배추색소, 설탕, 딸기색색소, 주정, 락색소, 구연산삼나트륨, 홍화황색소, 탄산나트륨","",NA,NA,NA
"6","번호1248","품목보고번호20040445073295","업소명(주)대일","품목유형혼합음료","유통/소비기한24개월","제품명참맑은 파인애플","분류식품","업체명","(주)대일","소재지","충청북도 음성군 금율로 220-35","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,"파인애플농축액","백설탕","구연산","비타민C","잔탄검","치자황색소","수크랄로스","파인애플향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1247","품목보고번호201005430661097","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명참맑은 파인애플","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,"정제수","설탕","파인애플농축액","구연산","향료","잔탄검","비타민C","치자황색소","수크랄로스",NA,NA,NA,NA,NA,NA,"","","파인애플과즙 18.85%, 태국산","","파인애플향","","","","감미료",NA,NA,NA,NA,NA,NA
"8","번호1246","품목보고번호20040445073222","업소명(주)대일","품목유형혼합음료","유통/소비기한24개월","제품명참맑은 홍차","분류식품","업체명","(주)대일","소재지","충청북도 음성군 금율로 220-35","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,"홍차분말","백설탕","액상과당","구연산","비타민C","구연산삼나트륨","카라멜색소","DL-사과산","복숭아향","효소처리스테비아","정제수",NA,NA,NA,NA,"수입산","정백당","","함수구연산","","구연산나트륨","","","","","",NA,NA,NA,NA
"9","번호1245","품목보고번호20040445073296","업소명(주)대일","품목유형혼합음료","유통/소비기한24개월","제품명참맑은복숭아","분류식품","업체명","(주)대일","소재지","충청북도 음성군 금율로 220-35","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,"복숭아농축퓌레","백설탕","액상과당","구연산","구연산삼나트륨","효소처리스테비아","비타민C","카복시메틸셀룰로스나트륨","복숭아향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1244","품목보고번호20040445073187","업소명(주)대일","품목유형혼합음료","유통/소비기한24월(실온)","제품명참맑은참대추","분류식품","업체명","(주)대일","소재지","충청북도 음성군 금율로 220-35","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,"백설탕","대추엑기스","구기자엑기스","액상과당","덱스트린","구연산","비타민C","글리신","효소처리스테비아","카라멜색소","잔탄검","혼합제제","정제수",NA,NA,"","","","","","","","","","","","대추향","",NA,NA
