"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","번호14","번호15","번호16","번호17","번호18","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고14","비고15","비고16","비고17","비고18"
"1","번호2943","품목보고번호19970464172161","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명쌍화골드","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","쌍화농축액","액상과당","액상카라멜","구연산","구연산삼나트륨","정제수","대추농축액","생강농축액","주정","효소처리스테비아","정제소금","생강향","쌍화향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2942","품목보고번호2002062300914","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명쌍화골드","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12",NA,"당귀농축액","천궁농축액","액상과당","백설탕","구연산","수크랄로스","잔탄검","정제소금","카라멜색소","정제수","혼합추출","쌍화농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2941","품목보고번호19920624042499","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명쌍화골드","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,"쌍화추출농축액","액상과당","칡농축엑기스","구연산","허브향","글리신","염화나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2940","품목보고번호1994047401888","업소명(주)중앙타프라","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명쌍화골드","분류식품","업체명","(주)중앙타프라","소재지","충청남도 예산군 응봉면 예당로 1053-15","1","2","3","4","5","6","7","8","9","10","11","12","13","백작약","지황포제가공한뿌리","황기","천궁","감초","칡뿌리","계피","건생강","참당귀","당귀엑기스","액상과당","구연산","비타민-b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","15","16","17","18","염삼염","액상카라멜","안식향산나트륨","허브향","정제수",NA,NA,NA,NA,NA
"5","번호2939","품목보고번호19970464172490","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명쌍화골드","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","쌍화농축액","기타과당","카라멜색소","구연산","구연산삼나트륨","정제수","대추농축액","생강농축액","주정","효소처리스테비아","정제소금","생강향","쌍화향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2938","품목보고번호20030563012109","업소명대승바이오주식회사","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명쌍화골드100","분류식품","업체명","대승바이오주식회사","소재지","경상북도 의성군 가원농공길 46-8","1","2","3","4","5","6","7","8","9","10","11","12",NA,"액상과당","구연산","구연산삼나트륨","대추엑기스","효소처리스테비아","삭카린나트륨","안식향산나트륨","카라멜색소","쌍화향","식물복합추출물","천궁엑기스","정제수",NA,"","함수","","65Brix, 국내산","","합성감미료","합성보존료","","합성착향료","55Brix/작약20%, 천궁12%, 황기12%, 당귀12%, 대추6%, 생강6%이상 국내산, 숙지황12%(중국산), 감초10(우즈백산), 계피10%(베트남산)","65Brix, 중국산","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2937","품목보고번호200904332329","업소명동화약품(주)","품목유형혼합음료","유통/소비기한24개월","제품명쌍화원골드","분류식품","업체명","동화약품(주)","소재지","충청북도 충주시 충주산단1로 167(용탄동)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,"동화쌍화농축액","액상과당","구연산","제재염","L-주석산","정제수","과.채가공품","기타가공품",NA,NA,NA,NA,NA,"고형분 59.98","","","","","","농축사과과즙(50Brix)A","복합황금추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2936","품목보고번호20020623009848","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명쌍화원골드","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,"쌍화농축액","기타과당","구연산","재제소금(재제조소금)","L-주석산","정제수","과.채가공품","기타가공품",NA,NA,NA,NA,NA,"동화쌍화농축액(고형분59.98)[작약15.61%,천궁6.72%,당귀7.91%]","","","","","","농축사과과즙A(50Brix)","복합황금추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2935","품목보고번호20050555180656","업소명농업회사법인(주)동서웰빙","품목유형혼합음료","유통/소비기한제조일부터 18개월","제품명쌍화차","분류식품","업체명","농업회사법인(주)동서웰빙","소재지","경상북도 영천시 산업단지로 164(본촌동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"정제수","백설탕","말토덱스트린혼합제제","쌍화농축액","구연산","합성 쌍화향","구연산삼나트륨","홍차추출분말","비타민C","수크랄로스",NA,NA,NA,"","","말토덱스트린","쌍화농축액 67Brix","함수구연산","합성향료 쌍화향","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2934","품목보고번호19970464172187","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명쌍화홍삼","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","쌍화농축액","감초농축액","홍삼농축액","액상과당","덱스트린","맥아당","구연산","구연산삼나트륨","타우린","니코틴산아미드","액상카라멜","홍삼향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
