"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10"
"1","번호1984","품목보고번호20110149027321","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명웰빙백과 아르기닌 파워업스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9","10","L-아르지닌","청포도농축액","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산","타우린",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1983","품목보고번호20110149027232","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명웰빙백과 타트체리콜라겐 스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9",NA,"체리농축액","콜라겐","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산",NA,"타트체리농축액, 터키산","피쉬콜라겐, 베트남산","","","","","","","",NA
"3","번호1982","품목보고번호19940474018475","업소명(주)중앙타프라","품목유형혼합음료","유통/소비기한18개월","제품명웰빙블루베리 골드","분류식품","업체명","(주)중앙타프라","소재지","충청남도 예산군 응봉면 예당로 1053-15","1","2","3","4","5","6","7","8","9",NA,"블루베리농축액","적포도농축액","구연산","구연산삼나트륨","비타민C","백설탕","블루베리향","펙틴","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1981","품목보고번호2002027514215","업소명주식회사올맘","품목유형혼합음료","유통/소비기한제조일로부터6개월","제품명웰빙스토리 전통수정과","분류식품","업체명","주식회사올맘","소재지","경기도 용인시 처인구 모현읍 동산로 24-11(1층 일부호)","1","2","3","4",NA,NA,NA,NA,NA,NA,"생강","계피","설탕","정제수",NA,NA,NA,NA,NA,NA,"","","흑설탕","",NA,NA,NA,NA,NA,NA
"5","번호1980","품목보고번호2002027514214","업소명주식회사올맘","품목유형혼합음료","유통/소비기한제조일로부터 3개월","제품명웰빙스토리 전통식혜","분류식품","업체명","주식회사올맘","소재지","경기도 용인시 처인구 모현읍 동산로 24-11(1층 일부호)","1","2","3","4",NA,NA,NA,NA,NA,NA,"엿기름","쌀","백설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1979","품목보고번호1996043907562","업소명한국고려인삼영농조합법인","품목유형혼합음료","유통/소비기한24월","제품명웰빙아로니아","분류식품","업체명","한국고려인삼영농조합법인","소재지","충청북도 보은군 수한면 후평바리미길 32-6","1","2","3","4",NA,NA,NA,NA,NA,NA,"아로니아농축액","정제수","파인애플농축액","비타민C혼합분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1978","품목보고번호2003054113816","업소명늘푸른샘","품목유형혼합음료","유통/소비기한1년","제품명웰젠 80 산수유","분류식품","업체명","늘푸른샘","소재지","경상북도 김천시 감문면 대양길 25","1","2","3","4","5","6","7","8","9","10","산수유","복분자","오미자","느릅나무껍질","DL-사과산","사과농축액","비타민C","구연산","딸기향","액상과당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1977","품목보고번호2003054113810","업소명늘푸른샘","품목유형혼합음료","유통/소비기한1년","제품명웰젠80 선인장","분류식품","업체명","늘푸른샘","소재지","경상북도 김천시 감문면 대양길 25","1","2","3","4","5","6","7","8",NA,NA,"선인장","액상과당","DL-사과산","이소말토올리고당","사과농축액","비타민","구연산","후르츠향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1976","품목보고번호2003054113813","업소명늘푸른샘","품목유형혼합음료","유통/소비기한1년","제품명웰젠80구기자","분류식품","업체명","늘푸른샘","소재지","경상북도 김천시 감문면 대양길 25","1","2","3","4","5","6","7","8",NA,NA,"구기자나무열매","액상과당","대추","느릅나무껍질","사과농축액","구연산","대추향","DL-사과산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1975","품목보고번호200305411387","업소명늘푸른샘","품목유형혼합음료","유통/소비기한1년","제품명웰젠80오가피","분류식품","업체명","늘푸른샘","소재지","경상북도 김천시 감문면 대양길 25","1","2","3","4","5","6","7","8","9","10","오가피","소나무잎","액상과당","DL-사과산","칡","사과농축액","비타민","구연산","솔향","두충",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
