"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16"
"1","번호2284","품목보고번호19890445014856","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한제조일부터 12개월","제품명연유 시럽","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","백설탕","정제수","액상과당","식물성 경화유 혼합","혼합분유","덱스트린","정제소금","탄산수소나트륨","자당지방산에스테르","수크랄로스","가공연유","합성향료","합성향료","합성향료","자당지방산에스테르","안식향산나트륨","","","","삼익우유성분함유크리머1","혼합 탈지분유","말토덱스트린","","","S-570","","밀키 페이스트","연유향","달고나향","커피향","P-1670",""
"2","번호2283","품목보고번호19950611073147","업소명동밀양농협가공사업소","품목유형혼합음료","유통/소비기한1년","제품명연의나라양수리연꽃뿌리식혜","분류식품","업체명","동밀양농협가공사업소","소재지","경상남도 밀양시 단장면 표충로 89-62","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,"멥쌀","연근추출액","엿기름","백설탕","물엿","DL-사과산","안식향산나트륨","α-아밀라아제","셀룰라아제","혼합제제","정제수",NA,NA,NA,NA,NA,"","","겉보리엿기름","","맥아물엿","","","","","가드엠-53(신)","",NA,NA,NA,NA,NA
"3","번호2282","품목보고번호19970464172121","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명열쌍화","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,"쌍화농축액","액상과당","구연산","구연산삼나트륨","효소처리스테비아","카라멜색소","정제수","대추농축액","생강농축액","주정","정제소금","생강향","쌍화향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2281","품목보고번호2011044107011","업소명대오푸드홀딩스","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명영동 일라이트원","분류식품","업체명","대오푸드홀딩스","소재지","충청북도 영동군 학산면 용화양강로 1480","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"지하수","수산화마그네슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2280","품목보고번호20170614111280","업소명(주)엔트리","품목유형혼합음료","유통/소비기한24개월","제품명영롱 콜라겐 담은 타트체리","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,NA,"체리농축액","체리주스","콜라겐분말","로커스트콩검","카라기난","타마린드검","잔탄검","분말한천(고시형)",NA,NA,NA,NA,NA,NA,NA,NA,"타트체리농축액(고형분60%이상)","타트체리착즙액(고형분12%이상)","식물성(국내산)","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2279","품목보고번호200403641999","업소명에코바이오텍(주)","품목유형혼합음료","유통/소비기한제조일로부터 3년","제품명영백 미네랄(0100 Mineral)","분류식품","업체명","에코바이오텍(주)","소재지","경기도 화성시 팔탄면 온천로 437-21(1층 일부)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","산화칼슘","제 2 인산칼륨","염화암모늄","황산마그네슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2278","품목보고번호1985034700226","업소명일양약품(주)건강사업부","품목유형혼합음료","유통/소비기한24개월","제품명영비천골드","분류식품","업체명","일양약품(주)건강사업부","소재지","경기도 용인시 기흥구 하갈로 110(하갈동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,"영지추출액","비타민C","벌꿀","니코틴산아미드","비타민B6염산염","구연산","맥아추출물분말","정제소금","구연산삼나트륨","DL-알라닌","호박산이나트륨","정제수","효소처리스테비아","기타과당",NA,NA,"고형분 0.22%","","","","","","","","","","","","","",NA,NA
"8","번호2277","품목보고번호200703582241174","업소명코스맥스엔비티(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명영앤베리 콜라겐","분류식품","업체명","코스맥스엔비티(주)","소재지","경기도 이천시 마장면 덕평로663번길 127-16","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,"정제수","생선콜라겐","블루베리농축액","프락토올리고당","자일리톨","구연산","혼합제제","혼합제제","기타가공품","과.채가공품","비타민C","기타가공품",NA,NA,NA,NA,"","피쉬콜라겐펩타이드","","","","무수구연산","히알루론산 혼합제제","블루베리향","엘라스틴가수분해물","세븐베리농축액","","우유단백질",NA,NA,NA,NA
"9","번호2276","품목보고번호201803789333","업소명(주)승혜식품","품목유형혼합음료","유통/소비기한제조일로부터 45일","제품명영의정전통식혜","분류식품","업체명","(주)승혜식품","소재지","경기도 김포시 양촌읍 불당로 54(가동)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"쌀","정제수","백설탕","엿기름","안식향산나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"국내산","","제일제당","대아농산.국내산","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2275","품목보고번호19890445014256","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명영지골드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"영지버섯","액상과당","농축사과과즙","구연산","벌꿀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
