"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22"
"1","번호4564","품목보고번호19950433026728","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한18개월","제품명마시는 곤약크러쉬 애플망고 500ml","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제곤약분말","에리스리톨","혼합제제","혼합제제","구연산","젖산칼슘","구연산삼나트륨","젤란검","천연카로틴","수크랄로스","아세설팜칼륨","효소처리스테비아","애플망고향","정제수","곤약알갱이","","나타드코코","애플망고퓨레 18BX","","","","","","","","","HF-AH21574","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4563","품목보고번호20060512128276","업소명좋은영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명마시는 골든블라썸","분류식품","업체명","좋은영농조합법인","소재지","전라남도 나주시 노안면 이슬촌길 87","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,"정제수","설탕","캐모마일추출물분말","올리고당","모과농축액","구연산","모과향","구연산삼나트륨","비타민C","효소처리스테비아",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4562","품목보고번호198604350131229","업소명코스맥스바이오","품목유형혼합음료","유통/소비기한제조일부터 18 개월","제품명마시는 글루타치온 순백샷","분류식품","업체명","코스맥스바이오","소재지","충청북도 제천시 바이오밸리3로 30(왕암동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","프락토올리고당","효모추출분말","구연산","딸기향","석류향","양까막까치밥나무농축액","블랙엘더베리농축액","오렌지착즙분말","밀크씨슬추출물","레몬농축액","Lactobacillus fermentum(고시형)","수크랄로스","비타민B2","","","L-글루타치온효모추출분말(글루타치온 50%)","","(향료)","(향료)","양까막까치밥나무열매농축액(블랙커런트농축액)(고형분 60%)","엘더베리농축액(고형분 50%)","모로블러드오렌지착즙분말","밀크씨슬추출농축액(고형분 7%)","레몬과즙농축액(고형분 65%)","Lactobacillus fermentum 분말","","","15","16","17","18","19","20","21","22","니코틴산아미드","비타민B6염산염","비타민C","d-α-토코페릴아세테이트","건조효모","생선콜라겐","히알루론산혼합제제","엘라스틴","","(비타민B6 82%)","","d-α-토코페릴초산염혼합제제(비타민E 50% 함유)","(셀렌 0.1%)","","","엘라스틴추출물혼합분말"
"4","번호4561","품목보고번호1997059522910","업소명맑은바다해초식품","품목유형혼합음료","유통/소비기한2","제품명마시는 다시마","분류식품","업체명","맑은바다해초식품","소재지","경상남도 창원시 마산합포구 해양관광로 719","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"다시마","매실엑기스","올리고당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4560","품목보고번호19840415001388","업소명(주)정.식품","품목유형혼합음료","유통/소비기한7개월","제품명마시는 라이프 프로틴 아몬드맛","분류식품","업체명","(주)정.식품","소재지","충청북도 청주시 흥덕구 산단로 124(송정동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","원액두유","땅콩 또는 견과류가공품","분리대두단백","콩기름(대두유)","글리세린지방산에스테르","덱스트린","백설탕","혼합제제","탄산칼슘혼합제제","구연산칼륨","황산제일철","구연산삼나트륨","정제소금","아몬드향","고형분 7%이상","호두혼합견과페이스트","","","","말토덱스트린","","비타민미네랄믹스-다밀","","","","","","합성착향료","15","16",NA,NA,NA,NA,NA,NA,"난소화성말토덱스트린(고시형)","정제수",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA
"6","번호4559","품목보고번호20060464002258","업소명(주)건강마을","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명마시는 레드핑크 블라썸","분류식품","업체명","(주)건강마을","소재지","충청남도 논산시 연무읍 양지길 45-41","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,"정제수","기타과당","설탕","히비스커스농축액","레몬농축액","구연산","혼합제제","효소처리스테비아",NA,NA,NA,NA,NA,NA,"","","","","","함수","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4558","품목보고번호19890445014823","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24개월","제품명마시는 발효 원광 침향원","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"기타가공품","비타민C","구연산","안식향산나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,"발효침향복합물","","","합성보존료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4557","품목보고번호20110084489483","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명마시는 병풀 콜라겐 앰플","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","프락토올리고당","생선콜라겐펩타이드","사과농축액","구연산","기타가공품","청사과향","천연요구르트향","DL-사과산","효소처리스테비아","엘라스틴가수분해물","혼합제제","우유단백질","기타 농산가공품","","","저분자피쉬콜라겐펩타이드","사과농축과즙액","함수구연산","복합황금추출물","혼합제제","천연향료","","","프로라스틴","히알루론산혼합제제","우유단백질농축/밀크세라마이드","센텔라(병풀)추출복합물","15","16",NA,NA,NA,NA,NA,NA,"10종혼합유산균분말","효모식품",NA,NA,NA,NA,NA,NA,"10종혼합유산균-10","건조효모",NA,NA,NA,NA,NA,NA
"9","번호4556","품목보고번호19990555093336","업소명농업회사법인(주)이비채","품목유형혼합음료","유통/소비기한제조일로 부터 24개월","제품명마시는 브라이트닝 아쿠아콜라겐","분류식품","업체명","농업회사법인(주)이비채","소재지","경상북도 영천시 임고면 황강공단길 21","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,"식물혼합추출액","오디발효원액","생선콜라겐펩타이드","기타식초","혼합허브추출물","액상과당",NA,NA,NA,NA,NA,NA,NA,NA,"","오디청","","오디식초","복합허브추출물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4555","품목보고번호19970464172307","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명마시는 비타할로","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,"백설탕","농축사과과즙","비타민C","구연산","구연산삼나트륨","효소처리스테비아","니코틴산아미드","비타민B2","비타민B6염산염","타우린","파인애플향","사과향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
