"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","성분 및 원료1","성분 및 원료2","비고1","비고2","번호3","번호4","번호5","번호6","번호7","번호8","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","비고3","비고4","비고5","비고6","비고7","비고8","번호9","번호10","번호11","번호12","번호13","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고9","비고10","비고11","비고12","비고13","번호14","성분 및 원료14","비고14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27","비고28"
"1","번호1723","품목보고번호2011044107016","업소명대오푸드홀딩스","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명일라이트 자연한모금","분류식품","업체명","대오푸드홀딩스","소재지","충청북도 영동군 학산면 용화양강로 1480","1","2","지하수","수산화마그네슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1722","품목보고번호20180379618152","업소명(주)세종바이오팜","품목유형혼합음료","유통/소비기한제조일로부터 3년까지","제품명일양 발효녹용홍삼보","분류식품","업체명","(주)세종바이오팜","소재지","경기도 김포시 대곶면 대곶로382번길 54","1","2","홍삼혼합추출액","과당","자사제조, 6년근홍삼혼합추출액, 고형분 1.4% 이상","","3","4","5","6","7","8","녹용발효추출액","프락토올리고당","카라멜색소","홍삼향","안식향산나트륨","비타민B2","자사제조, 고형분 0.01%","","","","보존료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1721","품목보고번호19850347002161","업소명일양약품(주)건강사업부","품목유형혼합음료","유통/소비기한24개월","제품명일양 베리굿 블루베리","분류식품","업체명","일양약품(주)건강사업부","소재지","경기도 용인시 기흥구 하갈로 110(하갈동)","1","2","백당","블루베리과즙","","10 Brix","3","4","5","6","7","8","구연산","구연산삼나트륨","포도과피색소","정제소금","비타민C","니코틴산아미드","","","","","","","9","10","11","12","13","비타민B6염산염","코치닐추출색소","블루베리향","정제수","기타과당","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1720","품목보고번호1985034700210","업소명일양약품(주)건강사업부","품목유형혼합음료","유통/소비기한24개월","제품명일양마군단동충하초","분류식품","업체명","일양약품(주)건강사업부","소재지","경기도 용인시 기흥구 하갈로 110(하갈동)","1","2","눈꽃동충하초농축액","비타민B2","눈꽃동충하초추출농축액(고형분 1%)","","3","4","5","6","7","8","비타민B6염산염","니코틴산아미드","백당","구연산","정제소금","구연산삼나트륨","","","","","","","9","10","11","12","13","효소처리스테비아","드링크향","후르츠믹스향","포도향","정제수","","드링크후레바","","","","14","기타과당","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1719","품목보고번호2017062863051","업소명(주)진산비버리지","품목유형혼합음료","유통/소비기한12개월","제품명일일하우 식물성 프로틴밀","분류식품","업체명","(주)진산비버리지","소재지","제주특별자치도 제주시 조천읍 남조로3길 13","1","2","두유액","완두단백","","","3","4","5","6","7","8","분리대두단백분말","쌀단백분말","프락토올리고당","나한과추출물분말","혼합제제","귀리식이섬유","","","","","BCAA","","9","10","11","12","13","녹차가루","난소화성말토덱스트린분말(고시형)","밤향","비타민A초산염","비타민B1염산염","","","","","","14","비타민B2","","15","16","17","18","19","20","21","22","23","24","25","26","27","28","비타민B6염산염","비타민B12","비타민C","건조비타민D3","니코틴산아미드","비오틴","엽산","판토텐산칼슘","해조칼슘","인산","젖산철","글루콘산아연","황산망간","정제수","","","","","","","","","","","","","",""
"6","번호1718","품목보고번호2017062863049","업소명(주)진산비버리지","품목유형혼합음료","유통/소비기한12개월","제품명일일하우 오트리치","분류식품","업체명","(주)진산비버리지","소재지","제주특별자치도 제주시 조천읍 남조로3길 13","1","2","귀리분말","보리가루",NA,NA,"3","4","5","6","7",NA,"귀리식이섬유","천일염","α-아밀라아제","글루코아밀라아제","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1717","품목보고번호2017062863048","업소명(주)진산비버리지","품목유형혼합음료","유통/소비기한12개월","제품명일일하우 프로틴밀","분류식품","업체명","(주)진산비버리지","소재지","제주특별자치도 제주시 조천읍 남조로3길 13","1","2","두유","완두단백","","","3","4","5","6","7","8","분리대두단백","쌀단백분말","백설탕","혼합제제","귀리식이섬유","녹차가루","","","","BCAA","","","9","10","11","12","13","난소화성말토덱스트린분말(고시형)","밤향","분말비타민A","비타민B1염산염","비타민B2","","","","","","14","비타민B6염산염혼합제제","","15","16","17","18","19","20","21","22","23","24","25","26","27",NA,"비타민B12","비타민C","비타민D3 분말","나이아신분말(고시형)","비오틴","엽산","판토텐산칼슘","해조칼슘","인산","젖산철","글루콘산아연","황산망간","정제수",NA,"","","","","","","","","","","","","",NA
"8","번호1716","품목보고번호19970464172300","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명일청수","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","액상과당","생강농축액","","","3","4","5","6","7","8","귤껍질농축액","계피농축액","사철쑥농축액","감초농축액","대추농축액","프로테아제(식물성)","진피농축액","","인진쑥농축액","","","","9","10","11","12","13","구연산","구연산삼나트륨","l-멘톨","L-카르니틴","주정","","","L-멘톨","","","14","효소처리스테비아","","15","16","17","18","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"멘톨향","레몬라임향","정제수","기타가공품","모창출추출액",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","식물혼합추출물BG","창출농축액(뿌리,줄기)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1715","품목보고번호2017047406396","업소명극동에치팜(주) 2공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명3일콜라겐","분류식품","업체명","극동에치팜(주) 2공장","소재지","충청남도 예산군 삽교읍 산단1길 144(극동에치팜주 2공장 1동, 2동)","1","2","정제수","생선콜라겐펩타이드분말","","초저분자 피쉬콜라겐 펩타이드","3","4","5","6","7","8","복숭아농축액","복숭아과즙분말","비타민C","복숭아향분말","엘라스틴가수분해물","보검선인장농축분말","","","","","","유기농 선인장열매농축분말","9","10","11","12","13","황금혼합추출물","수크랄로스","히알루론산","체리과즙분말","산화아연","복합황금추출물","","","타트체리농축분말","","14","비오틴","","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"비타민B2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1714","품목보고번호19970378043574","업소명케이지랩(주)","품목유형혼합음료","유통/소비기한제조일로부터 36개월","제품명일품 블루베리","분류식품","업체명","케이지랩(주)","소재지","경기도 양평군 용문면 경강로 3275","1","2","액상차","기타과당","블루베리추출농축액No.1(고형분2.6%이상)","","3","4","5","6","7","8","구연산(무수)","합성향료","합성향료","수크랄로스","혼합제제","혼합제제","무수구연산","블루베리향","청포도향","","비타프로CEC","아미노믹스2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
