"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17"
"1","번호5292","품목보고번호19890449002126","업소명남양유업 주식회사 천안공장","품목유형혼합음료","유통/소비기한제조일부터 7 개월","제품명남양 아기꼬야 이온케어","분류식품","업체명","남양유업 주식회사 천안공장","소재지","충청남도 천안시 동남구 풍세로 978(청수동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","과.채가공품류","과.채가공품류","포도당","비타민 C(고시형)","젖산칼슘","기타가공품","타우린","L-카르니틴","프락토올리고당","염화콜린","구연산","구연산삼나트륨","정제소금","염화칼륨","수산화마그네슘","갈락토올리고당","정제수","유기농백포도농축과즙","유기농배농축과즙","유기농함수결정포도당","","","유산균사균분말","","","","","","","","","","갈락토실락토스",""
"2","번호5291","품목보고번호19890449002137","업소명남양유업 주식회사 천안공장","품목유형혼합음료","유통/소비기한제조일부터 7 개월","제품명남양 아이꼬야 이온케어","분류식품","업체명","남양유업 주식회사 천안공장","소재지","충청남도 천안시 동남구 풍세로 978(청수동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","과.채가공품","과.채가공품","포도당","덱스트린","비타민 C(고시형)","젖산칼슘","타우린","L-카르니틴","프락토올리고당","염화콜린","구연산","구연산삼나트륨","정제소금","염화칼륨","수산화마그네슘","올리고당","정제수","백포도농축과즙","사과농축과즙","함수결정포도당","","","","","","","","","","","","","갈락토실락토스",""
"3","번호5290","품목보고번호20030473071215","업소명건강한사람들 주식회사 2사업장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명남양 요구리몽","분류식품","업체명","건강한사람들 주식회사 2사업장","소재지","충청남도 홍성군 결성면 만해로230번길 11","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,"정제수","백설탕","액상과당","정제소금","구연산","구연산삼나트륨","비타민C","기타가공품","합성착향료","합성착향료",NA,NA,NA,NA,NA,NA,NA,"","","","","함수(결정)","","","유산균사균분말","요구르트향","오렌지향 11046",NA,NA,NA,NA,NA,NA,NA
"4","번호5289","품목보고번호19960571018469","업소명우일음료","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명남양 초코에몽 초콜릿드링크","분류식품","업체명","우일음료","소재지","경상북도 예천군 예천읍 농공단지길 9","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,"코코아","백설탕","우유","탈지분유분말","정제소금","탄산수소나트륨","자당지방산에스테르","셀룰로오스혼합제제","혼합제제류","초코향","바닐라향","정제수","덱스트린","카르복시메틸셀룰로오스나트륨","수크랄로스","아세설팜칼륨",NA,"코코아분말","","남양우유C","","","","","CMC, 결정셀룰로오즈","엠에스씨-잔탄검","합성착향료","합성착향료","","","","","",NA
"5","번호5288","품목보고번호20030473071299","업소명건강한사람들 주식회사 2사업장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명남양알로에 生","분류식품","업체명","건강한사람들 주식회사 2사업장","소재지","충청남도 홍성군 결성면 만해로230번길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","알로에겔분말","기타과당","설탕","구연산","구연산삼나트륨","젖산칼슘","비타민C","젤란검","난소화성말토덱스트린(고시형)","효소처리스테비아","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","과.채가공품","정제수","알로에겔파우더","액상과당","백설탕","함수구연산","","","","","화이바졸2","스테비텐후레쉬","SY GREEN COLOR(F-0408)","화이트그레이프후레바 KEY-093249","백포도향 902003","화이트그레프향 2907209","화이트그레이프후레바 K-0805049","알로에베라겔",""
"6","번호5287","품목보고번호19920562023206","업소명대구경북능금농협음료가공공장","품목유형혼합음료","유통/소비기한PET제품 : 제조일로부터 12개월","제품명남양알로에 生","분류식품","업체명","대구경북능금농협음료가공공장","소재지","경상북도 군위군 의흥면 동부로 935-14","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","알로에베라잎(껍질제외)","알로에겔파우더","액상과당","백설탕","구연산","구연산삼나트륨","젖산칼슘","비타민C","젤란검","화이바졸(고시형)","효소처리스테비아","SY GREEN COLOR","화이트그레이프후레바","백포도향","화이트그레이프향","화이트그레이프후레바","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5286","품목보고번호2008039512066","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한12개월","제품명남자의 아침","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"푸룬농축액","홍삼농축액","더덕농축액","복분자농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5285","품목보고번호19980355336321","업소명고려인삼과학(주)","품목유형혼합음료","유통/소비기한24개월","제품명남해흑마늘진액","분류식품","업체명","고려인삼과학(주)","소재지","경기도 파주시 법원읍 술이홀로 1145(225-2)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,"흑마늘추출액","정제수","이소말토올리고당","대보농축액","마늘향","흑마늘향","카라멜색소","구연산","효소처리스테비아","안식향산나트륨","구연산삼나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5284","품목보고번호2006039411227","업소명(주)삼진GNF","품목유형혼합음료","유통/소비기한실온24개월","제품명내(內)","분류식품","업체명","(주)삼진GNF","소재지","강원도 홍천군 홍천읍 와동로 290","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","고형차",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","내(식물혼합추출물분말)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5283","품목보고번호2006039411232","업소명(주)삼진GNF","품목유형혼합음료","유통/소비기한제조일로부터 실온 24개월","제품명내강","분류식품","업체명","(주)삼진GNF","소재지","강원도 홍천군 홍천읍 와동로 290","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"고형차","생선콜라겐","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"내(식물혼합추출물분말)","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
