"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","성분 및 원료11","비고11","번호12","번호13","번호14","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고12","비고13","비고14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25"
"1","번호5827","품목보고번호19970464172313","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명Vital Life Korean Blueberry Drink(collagen 1000mg)바이탈 라이프 한국 블루베리 드링크","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","블루베리농축액","생선콜라겐분말","액상과당","비타민 C(고시형)","구연산","구연산삼나트륨","효소처리스테비아","블루베리향","DL-사과산","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5826","품목보고번호19970464172312","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명Vital Life Korean Pomegranate Drink(collagen 1000mg)바이탈 라이프 한국 석류 드링크","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","석류농축액","생선콜라겐분말","농축사과과즙","액상과당","구연산","구연산삼나트륨","비타민C","석류향","효소처리스테비아","코치닐추출색소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5825","품목보고번호202207802663","업소명(주)에이트리에프앤비","품목유형혼합음료","유통/소비기한제조일자로부터 18개월","제품명WAY 블루레몬에이드","분류식품","업체명","(주)에이트리에프앤비","소재지","경상북도 안동시 풍산읍 산업단지길 87","1","2","3","4","5","6","7","8","9","10","과.채가공품","설탕","덱스트린","구연산","구연산삼나트륨","DL-사과산","식용색소청색제1호","시트러스향","수크랄로스","메타인산나트륨","레몬농축액","","","","","","","","","","11","레몬향","","12","13","14","후르츠믹스향","라임향","정제수","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5824","품목보고번호19960458039113","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명Woongjin 꿀홍삼","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","8","9","10","홍삼농축액","사양벌꿀","구연산","백설탕","카라기난","정제수","시클로덱스트린","덱스트린","카라멜색소","혼합제제류","고형분 60%이상, 홍삼성분 70mg/g이상","","","","","","","","","허니후레바 SJ-A","11","혼합제제류","허니후레바 SC-20372","12","13",NA,"혼합제제류","사과농축액",NA,"홍삼후레바 SK-1497","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5823","품목보고번호19960458039437","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한페트ㆍ유리병포장 : 제조일로부터 9개월, 캔포장 : 제조일로부터 12개월","제품명Woongjin 아침햇살","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","8","9","10","쌀추출액","현미추출액","정제수","백설탕","식물성크림","덱스트린","자당지방산에스테르","혼합제제류","글리세린지방산에스테르","글리세린지방산에스테르","고형분 9% 이상","","","","식물성크림W","","","현미후레바(2801128)","글리세린호박산지방산에스테르(Almax-5100)","Almax-1000","11","혼합제제류","현미후레바(SC-130220)","12","13",NA,"비타민C","혼합제제류",NA,"","바이오더블유제이",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5822","품목보고번호20080395120637","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명XILK 오트 블렌드","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","6","7",NA,NA,NA,"정제수","기타 농산가공품","야자유","올리브유","미강유(현미유)","기타 농산가공품","당류가공품",NA,NA,NA,"","XILK 프리믹스 3(귀리단백, 프로디엠라이스, 분리대두단백, 제삼인산칼슘, 대두레시틴, 젤란검)","","","","XILK프리믹스4(제이인산칼륨, 함수결정포도당, 시클로덱스트린, 복합허브추출물, 가티검, 정제소금)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5821","품목보고번호20200401439124","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명XILK 오트 블렌드","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","3","4","5","6","7",NA,NA,NA,"정제수","기타 농산가공품","야자유","올리브유","미강유(현미유)","기타 농산가공품","당류가공품",NA,NA,NA,"","XILK프리믹스3(귀리단백, 프로디엠라이스, 분리대두단백, 제삼인산칼슘, 대두레시틴, 젤란검)","","","","XILK프리믹스4(제이인산칼륨, 함수결정포도당, 시클로덱스트린, 복합허브추출물, 가티검, 정제소금)","비정제사탕수수당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5820","품목보고번호201005430661063","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명XR일렉트로라이트 딸기키위","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","정제수","설탕","기타과당","합성향료","구연산","정제소금","구연산삼나트륨","합성향료","DL-사과산","적양배추색소","","","","키위향","","","","딸기향","","","11","염화칼륨","","12","13","14","젖산칼슘","베리류색소","만니톨","","","","15","16","17","18","19","20","21","22","23","24","25","염화마그네슘","니코틴산아미드","비타민E혼합제제","천연향료","아라비아검","판토텐산칼슘","비타민D3혼합제제","비타민B6염산염","글루코노-δ-락톤","혼합제제","비타민B12","","","dl-α-토코페릴아세테이트, 말토덱스트린, 변성전분, 이산화규소","딸기향","","","아라비아검, 설탕, 옥수수전분, 가공유지, 이산화규소, 비타민D3, 비타민E","","","비타민A혼합제제(말토덱스트린, 옥수수전분, 아라비아검, 비타민A아세테이트, dl-α-토코페롤)",""
"9","번호5819","품목보고번호201005430661069","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명XR일렉트로라이트 레몬라임","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","정제수","설탕","기타과당","합성향료","구연산","정제소금","구연산삼나트륨","합성향료","DL-사과산","염화칼륨","","","","라임향","","","","레몬향","","","11","젖산칼슘","","12","13","14","비타민C","카로틴","만니톨","","","","15","16","17","18","19","20","21","22","23","24","25","염화마그네슘","니코틴산아미드","비타민E혼합제제","천연향료","아라비아검","판토텐산칼슘","비타민D3혼합제제","비타민B6염산염","글루코노-δ-락톤","혼합제제","비타민B12","","","dl-α-토코페릴아세테이트, 말토덱스트린, 변성전분, 이산화규소","라임향","","","아라비아검, 설탕, 옥수수전분, 가공유지, 이산화규소, 비타민D3, 비타민E","","","비타민A혼합제제(말토덱스트린, 옥수수전분, 아라비아검, 비타민A아세테이트, dl-α-토코페롤)",""
"10","번호5818","품목보고번호201005430661062","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명XR일렉트로라이트 망고","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","정제수","설탕","기타과당","합성향료","구연산","정제소금","구연산삼나트륨","카로틴","DL-사과산","염화칼륨","","","","망고향","","","","","","","11","젖산칼슘","","12","13","14","비타민C","적양배추색소","만니톨","","","","15","16","17","18","19","20","21","22","23","24","25","염화마그네슘","니코틴산아미드","비타민E혼합제제","천연향료","아라비아검","판토텐산칼슘","비타민D3혼합제제","비타민B6염산염","글루코노-δ-락톤","혼합제제","비타민B12","","","dl-α-토코페릴아세테이트, 말토덱스트린, 변성전분, 이산화규소","망고향","","","아라비아검, 설탕, 옥수수전분, 가공유지, 이산화규소, 비타민D3, 비타민E","","","비타민A혼합제제(말토덱스트린, 옥수수전분, 아라비아검, 비타민A아세테이트, dl-α-토코페롤)",""
