"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24"
"1","번호1027","품목보고번호20070464094533","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명코어틴 아르기닌 프로틴","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","정제수","우유","분리대두단백","카제인칼슘","채종유(유채유 또는 카놀라유)","탈지분유","탄산칼슘","L-아르지닌","효소처리스테비아","수크랄로스","아세설팜칼륨","정제소금","식품첨가물혼합제제","탄산수소나트륨","식품첨가물혼합제제","과.채가공품","과.채가공품","혼합제제","구연산철암모늄","땅콩 또는 견과류가공품","혼합제제","곡류가공품","혼합제제","혼합제제","","","","","카놀라유","","","","","","","","IBCAA","","RECODAN SU 115","레드비트추출분말","세븐베리농축혼합분말","비타민미네랄믹스-CKD2","","파라다이스 넛 추출분말","분말비타민 D3 100 혼합제제","5곡 농축액","혼합견과향","현미향"
"2","번호1026","품목보고번호2016052105316","업소명와이에프티 주식회사","품목유형혼합음료","유통/소비기한18개월","제품명코우코우 청포도","분류식품","업체명","와이에프티 주식회사","소재지","전라남도 장흥군 장평면 피재로 465","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","청포도농축액","설탕","말토덱스트린혼합제제","포도당","구연산(무수)","젖산칼슘","비타민C","청포도향","자일리톨","수크랄로스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","68bx","","","","","","","청포도향","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1025","품목보고번호20040445073198","업소명(주)대일","품목유형혼합음료","유통/소비기한24월(실온)","제품명코웰 꿀대추","분류식품","업체명","(주)대일","소재지","충청북도 음성군 금율로 220-35","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"대추농축액","벌꿀","백설탕","구연산","구연산삼나트륨","비타민C","글리신","효소처리스테비아","카라멜색소비에이","대추향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","구연산 나트륨","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1024","품목보고번호20040445073242","업소명(주)대일","품목유형혼합음료","유통/소비기한36개월","제품명코웰 홍삼골드","분류식품","업체명","(주)대일","소재지","충청북도 음성군 금율로 220-35","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"홍삼엑기스","대추농축액","당귀농축액","백설탕","글리신","구연산","효소처리스테비아","덱스트린","카라멜색소","홍삼향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"고형분60%,홍삼사포닌70mg/g, 국산","고형분65%,국산","국산","","","","","말토 덱스트린","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1023","품목보고번호2020035823510","업소명싼타바이오테크","품목유형혼합음료","유통/소비기한36개월","제품명코위드미-원","분류식품","업체명","싼타바이오테크","소재지","경기도 군포시 쟁골2길 18(지층 금정동)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"혼합음료","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"액티칼마라","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1022","품목보고번호20080181270192","업소명(재)대구테크노파크 부설바이오산업지원센터","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명코자아","분류식품","업체명","(재)대구테크노파크 부설바이오산업지원센터","소재지","대구광역시 달서구 성서공단로 46-17(대천동, 1동 1~2층, 2동 1층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","기타가공품","에리스리톨","기타가공품","테아닌","비타민B6염산염","비타민B12","염화마그네슘","구연산","혼합허브추출물","효소처리스테비아","DL-사과산","향료","체리농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","COZA산조인추출발효물","","멜라틴[글리신,호프추출물,L-트립토판]","L-테아닌","","","","함수구연산","복합허브추출물E","","","체리향","타트체리농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1021","품목보고번호20080181270191","업소명(재)대구테크노파크 부설바이오산업지원센터","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명코자아 체리","분류식품","업체명","(재)대구테크노파크 부설바이오산업지원센터","소재지","대구광역시 달서구 성서공단로 46-17(대천동, 1동 1~2층, 2동 1층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","기타가공품","에리스리톨","기타가공품","테아닌","비타민B6염산염","비타민B12","염화마그네슘","구연산","혼합허브추출물","효소처리스테비아","DL-사과산","향료","체리농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","COZA산조인추출발효물","","멜라틴[글리신,호프추출물,L-트립토판","L-테아닌","","","","함수구연산","복합허브추출물E","","","체리향","타트체리농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1020","품목보고번호19740344001160","업소명한국 코카콜라 유한회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명코카콜라 제로 원제 제1부","분류식품","업체명","한국 코카콜라 유한회사","소재지","경기도 의왕시 고천공업로 5(고천동)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"인산","카라멜색소","정제수","카페인","천연착향료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1019","품목보고번호19740344001161","업소명한국 코카콜라 유한회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명코카콜라 제로 원제 제2A부","분류식품","업체명","한국 코카콜라 유한회사","소재지","경기도 의왕시 고천공업로 5(고천동)","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"카라멜색소","천연착향료","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1018","품목보고번호19740344001162","업소명한국 코카콜라 유한회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명코카콜라 제로 포스트믹스 원제 제1D부","분류식품","업체명","한국 코카콜라 유한회사","소재지","경기도 의왕시 고천공업로 5(고천동)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"가공유지","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
