"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","성분 및 원료12","비고12","번호13","성분 및 원료13","비고13","번호14","성분 및 원료14","비고14"
"1","번호2584","품목보고번호20100543066310","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한CAN: 제조일로부터 36개월,    PET. BOTTLE: 제조일로부터 24개월","제품명알로에베라킹 오리지날","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","정제수","기타과당","알로에베라겔절편","젖산칼슘","구연산","합성향료","알로에베라겔분말","구연산삼나트륨","젤란검","백설탕","천연향료","","","태국산/알로에베라주스54.9%,알로에베라45%,구연산","","","포도향","유기농알로에베라겔파우더 200:1/멕시코산알로에베라파우더50%,말토덱스트린50%","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2583","품목보고번호20100543066980","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET : 제조일로부터 24개월, CAN : 제조일로부터 36개월","제품명알로에베라킹 제로슈가","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","정제수","알로에베라겔즙","에리스리톨","과.채가공품","젖산칼슘","구연산","합성향료","젤란검","아세설팜칼륨","구연산삼나트륨","수크랄로스","","태국산/알로에베라주스54.9%, 알로에베라45%, 구연산0.1%","","유기농알로에베라겔파우더(멕시코산, 유기농알로에로 환산시 22%)","","","포도향","","감미료","","감미료","12","천연향료","포도향",NA,NA,NA,NA,NA,NA
"3","번호2582","품목보고번호2010054306633","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명알로에베라킹 크랜베리","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","정제수","알로에베라겔즙","설탕","기타과당","과.채가공품","구연산","젖산칼슘","합성향료","혼합제제","합성향료","젤란검","","태국산/알로에베라주스54.9%, 알로에베라45%, 구연산0.1%","","","유기농알로에베라겔파우더(멕시코산, 유기농알로에로 환산시 22%)","","","믹스베리향","코치닐추출색소, 적양배추색소, 덱스트린","크랜베리향","","12","천연향료","크랜베리향","13","구연산삼나트륨","",NA,NA,NA
"4","번호2581","품목보고번호2010054306610","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명알로에베라킹 키위","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","정제수","설탕","알로에베라겔즙","과.채가공품","구연산","젖산칼슘","합성향료","비타민C","합성향료","천연향료","젤란검","","","태국산/알로에베라주스54.9%, 알로에베라45%, 구연산0.1%","유기농알로에베라겔파우더(멕시코산, 유기농알로에로 환산시 22%)","","","골드키위향","","키위향","키위향","","12","혼합제제","글리세린, 유화제, 정제수, β-카로틴(착색료), dl-α-토코페롤","13","구연산삼나트륨","","14","적양배추색소",""
"5","번호2580","품목보고번호20100543066662","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET: 제조일로부터24개월,    CAN: 제조일로부터36개월","제품명알로에베라킹 파인애플(UPC)","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","정제수","설탕","알로에베라겔즙","과.채가공품","구연산","젖산칼슘","합성향료","비타민C","젤란검","천연향료","혼합제제","","","태국산/알로에베라주스54.9%, 알로에베라45%, 구연산0.1%","유기농알로에베라겔파우더(멕시코산, 유기농알로에로 환산시 22%)","","","파인애플향","","","파인애플향","글리세린, 유화제, 정제수, β-카로틴(착색료), dl-α-토코페롤","12","구연산삼나트륨","","13","혼합제제","카라멜색소, 프로필렌글리콜","14","벌꿀",""
"6","번호2579","품목보고번호201005430667","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET,BOTTLE : 제조일로부터 24개월, CAN : 제조일로부터 36개월","제품명알로에베라킹 포도","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","정제수","기타과당","알로에베라겔즙","과.채가공품","구연산","젖산칼슘","합성향료","포도과피색소","천연향료","젤란검","구연산삼나트륨","","","태국산/알로에베라주스54.9%, 알로에베라45%, 구연산0.1%","유기농알로에베라겔파우더(멕시코산, 유기농알로에로 환산시 22%","","","포도향","","포도향","","","12","설탕","",NA,NA,NA,NA,NA,NA
"7","번호2578","품목보고번호2007046409483","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명알로에본구아바(수출용)","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10",NA,"알로에베라겔크러쉬","백설탕","액상과당","구연산","젖산칼슘","구연산삼나트륨","젤란검","구아바향1(K-110700)","구아바향2","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2577","품목보고번호2007046409482","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명알로에본망고(수출용)","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","11","알로에베라겔크러쉬","백설탕","액상과당","구연산","젖산칼슘","구연산삼나트륨","젤란검","망고향","카라멜당시럽","옐로우칼라(C-10441)","레드칼라 BV-2(혼합제재)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","정제수",NA,NA,NA,NA,NA,NA,NA
"9","번호2576","품목보고번호2007046409484","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명알로에본오리지널(수출용)","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10",NA,"알로에베라겔크러쉬","액상과당","백설탕","구연산","젖산칼슘","구연산삼나트륨","젤란검","알로에향(1)","알로에향(2)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2575","품목보고번호2007046409485","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명알로에본파인애플(수출용)","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9",NA,NA,"알로에베라겔즙함유절편","백설탕","액상과당","구연산","젖산칼슘","젤란검","구연산삼나트륨","파인애플향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
