"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","비고1","비고2","비고3","비고4","비고5","번호6","번호7","성분 및 원료6","성분 및 원료7","비고6","비고7","번호8","성분 및 원료8","비고8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","번호17","번호18","번호19","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고17","비고18","비고19"
"1","번호3053","품목보고번호201704970025","업소명농업회사법인 하오마을 유한회사","품목유형혼합음료","유통/소비기한제조일부터   냉동보관 1년","제품명시간이 머무는 하오마을 stay1773 단호박식혜","분류식품","업체명","농업회사법인 하오마을 유한회사","소재지","전라북도 장수군 산서면 산성로 62","1","2","3","4","5","정제수","서양호박","쌀","엿기름","설탕","","뉴질랜드 및 국산 단호박","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3052","품목보고번호2017049700217","업소명농업회사법인 하오마을 유한회사","품목유형혼합음료","유통/소비기한제조일부터   냉동보관 1년","제품명시간이 머무는 하오마을 stay1773 우슬식혜","분류식품","업체명","농업회사법인 하오마을 유한회사","소재지","전라북도 장수군 산서면 산성로 62","1","2","3","4","5","정제수","쌀","설탕","건조쇠무릅","엿기름",NA,NA,NA,NA,NA,"6","7","대추","구기자나무열매",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3051","품목보고번호201704970026","업소명농업회사법인 하오마을 유한회사","품목유형혼합음료","유통/소비기한제조일로부터 냉동보관 1년","제품명시간이 머무는 하오마을 stay1773 전통식혜","분류식품","업체명","농업회사법인 하오마을 유한회사","소재지","전라북도 장수군 산서면 산성로 62","1","2","3","4",NA,"정제수","쌀","백설탕","엿기름",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3050","품목보고번호19710570001629","업소명주식회사 네이처셀 칠곡공장","품목유형혼합음료","유통/소비기한24개월","제품명시골집귀리식혜","분류식품","업체명","주식회사 네이처셀 칠곡공장","소재지","경상북도 칠곡군 기산면 기산공단1길 21","1","2","3","4","5","정제수","엿기름","분리대두단백","설탕","생강엑기스",NA,NA,NA,NA,NA,"6","7","귀리","효소처리스테비아",NA,NA,"8","난소화성말토덱스트린(고시형)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3049","품목보고번호20130358242385","업소명주식회사 이수바이오","품목유형혼합음료","유통/소비기한제조일로부터 2년까지","제품명시그니처 스트롱 아르기닌 7000","분류식품","업체명","주식회사 이수바이오","소재지","경기도 이천시 신둔면 증신로 517-11","1","2","3","4","5","L-아르지닌","정제수","구연산(무수)","레몬농축액","시클로덱스트린","","","무수구연산","이스라엘산","시클로덱스트린시럽 SL-20","6","7","DL-사과산","레몬향","","SK-22-09709 / 서울향료","8","비타민C","","9","10","11","12","13","14","15","16","타우린","효소처리스테비아","산화아연","기타가공품","비타민B6염산염","비타민B1염산염","비타민B2","엽산","","스테비텐라이트 / 대평","","복합황금추출물","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3048","품목보고번호20100376046140","업소명(주)한국지네틱바이오팜","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명시벅썬베리","분류식품","업체명","(주)한국지네틱바이오팜","소재지","경기도 연천군 백학면 장백로 877","1","2",NA,NA,NA,"갈매보리수나무열매발효추출물","갈매보리수나무잎추출물",NA,NA,NA,"시벅썬베리발효추출물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3047","품목보고번호20100376046169","업소명(주)한국지네틱바이오팜","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명시벅썬베리 허니플러스","분류식품","업체명","(주)한국지네틱바이오팜","소재지","경기도 연천군 백학면 장백로 877","1","2","3","4","5","갈매보리수나무열매발효추출물","정제수","프락토올리고당","열대과일농축액","배농축액","시벅썬베리발효추출물","","","","","6","7","사양벌꿀","효소처리스테비아","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3046","품목보고번호2013062801996","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한제조일로 부터 12개월","제품명시오200플러스","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)","1","2",NA,NA,NA,"정제수","이산화규소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3045","품목보고번호2001043909851","업소명주식회사 사랑과 사람들(제2공장)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명시온 ( SiON)","분류식품","업체명","주식회사 사랑과 사람들(제2공장)","소재지","충청북도 보은군 내북면 산척상궁로 748","1","2",NA,NA,NA,"정제수","산소",NA,NA,NA,"먹는물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3044","품목보고번호19970464172479","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명시원Q","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","액상과당","생강농축액","귤껍질농축액","계피농축액","삽주농축액","","","진피농축액","","창출농축액","6","7","사철쑥농축액","감초농축액","인진쑥농축액","","8","대추농축액","","9","10","11","12","13","14","15","16","프로테아제(식물성)","구연산","구연산삼나트륨","l-멘톨","주정","L-카르니틴","효소처리스테비아","멘톨향","","","","L-멘톨","","","","","17","18","19","레몬라임향","정제수","기타가공품","","","식물혼합추출물BG"
