"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","번호15","성분 및 원료15","비고15","번호16","번호17","성분 및 원료16","성분 및 원료17","비고16","비고17"
"1","번호5887","품목보고번호20030473071357","업소명건강한사람들 주식회사 2사업장","품목유형혼합음료","유통/소비기한제조일로부터 15개월","제품명Sunkist 모과생강","분류식품","업체명","건강한사람들 주식회사 2사업장","소재지","충청남도 홍성군 결성면 만해로230번길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","모과추출농축액","기타가공품","생강추출농축액","배과즙","당시럽","구연산","사양벌꿀","구연산삼나트륨","효소처리루틴","수크랄로스","카라멜색소","천연향료","합성향료","정제수","40 Brix","진피추출농축액 (40 Brix)","20 Brix","","","결정","","","스테비텐 루틴","","","천연생강향","오렌지향","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5886","품목보고번호19980449002479","업소명해태에이치티비주식회사","품목유형혼합음료","유통/소비기한제조일로부터15개월(실온)","제품명Sunkist 모과생강","분류식품","업체명","해태에이치티비주식회사","소재지","충청남도 천안시 동남구 청당산업길 250(구룡동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","모과추출농축액","진피추출농축액","생강추출농축액","배즙","구연산","사양벌꿀","구연산삼나트륨","효소처리루틴","수크랄로스","카라멜색소","생강향","오렌지향","정제수","당시럽","","","","","","","","","","","천연","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5885","품목보고번호20100543066733","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한15개월(PET)","제품명Sunkist 모과생강","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","당시럽","배과즙","사양벌꿀","구연산","모과추출농축액","구연산삼나트륨","생강추출농축액","진피 추출물 혼합추출물","천연향료","카라멜색소","합성향료","효소처리루틴","수크랄로스","","","국산","국산","","국산,고형분 37.5%","","국산,고형분 18%","","천연생강향","","오렌지향","","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5884","품목보고번호20010515081327","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명Sunkist 바나나","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,"바나나농축과즙","당시럽","구연산(결정)","DL-사과산","정제소금","수크랄로스","아세설팜칼륨","시트러스향","바나나향","바나나향","정제수",NA,NA,NA,"","","","","","","Sunett","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5883","품목보고번호20100543066614","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명Sunkist 바나나","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,"정제수","당시럽","합성향료","DL-사과산","바나나농축액","정제소금","구연산","수크랄로스","아세설팜칼륨",NA,NA,NA,NA,NA,"","","바나나향, 시트러스향","","이스라엘산, 배합함량: 바나나 100%, 바나나과즙으로 환원기준 0.1%","국산","","감미료","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5882","품목보고번호20100543066644","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명Sunkist 블루하와이","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","당시럽","구연산","파인애플농축과즙","오렌지농축과즙","레몬농축과즙","합성향료","구연산삼나트륨","펙틴","비타민C","정제소금","효소처리스테비아","아세설팜칼륨","수크랄로스","","","","필리핀산,배합함량:파인애플 100%,파인애플과즙으로 환원기준 0.1%","스페인산,배합함량:오렌지 100%,오렌지과즙으로 환원기준 0.1%","이스라엘산,배합함량:레몬 100%,레몬과즙으로 환원기준 0.1%","","","","","국산","","감미료","감미료","15","식용색소청색제1호","착색료",NA,NA,NA,NA,NA,NA
"7","번호5881","품목보고번호19980449002525","업소명해태에이치티비주식회사","품목유형혼합음료","유통/소비기한제조일로부터  24개월까지","제품명Sunkist 블루하와이","분류식품","업체명","해태에이치티비주식회사","소재지","충청남도 천안시 동남구 청당산업길 250(구룡동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","파인애플농축액","오렌지농축과즙","레몬농축과즙","비타민C","구연산삼나트륨","정제소금","구연산","팩틴","스티비텐후레쉬","식용색소청색제1호","수크랄로스","아세설팜칼륨","오렌지향","파인애플향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","블루베리향",NA,"16","17","정제수","당시럽",NA,NA
"8","번호5880","품목보고번호20010515081324","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명Sunkist 블루하와이","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","10","11","12","13","14","파인애플농축액","오렌지농축액","레몬농축액","당류가공품","비타민 C(고시형)","구연산삼나트륨","정제소금","구연산(결정)","펙틴","효소처리스테비아","식용색소청색제1호","수크랄로스","아세설팜칼륨","합성향료","","","","당시럽","","","","","펙틴 JMJ","스테비텐후레쉬","","","Sunnet","오렌지향","15","합성향료","파인애플향","16","17","합성향료","정제수","블루하와이향",""
"9","번호5879","품목보고번호2015041501379","업소명(주)바른음료","품목유형혼합음료","유통/소비기한24개월","제품명Sunkist 블루하와이","분류식품","업체명","(주)바른음료","소재지","충청북도 청주시 서원구 현도면 선동2길 220","1","2","3","4","5","6","7","8","9","10","11","12","13","14","파인애플농축액","오렌지농축액","레몬농축액","당시럽","비타민C","구연산삼나트륨","정제소금","구연산(결정)","펙틴","스테비텐후레쉬","식용색소청색제1호","수크랄로스","아세설팜칼륨","오렌지향","파인애플과즙농축액, 61 brix","65 brix","레몬과즙농축액, 65 brix","67 brix","","","","","JMJ","","","","","987429","15","파인애플향","TZ-4794","16","17","향료","정제수","블루하와이향 TF-21394",""
"10","번호5878","품목보고번호19980449002511","업소명해태에이치티비주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명Sunkist 블루하와이 저칼로리","분류식품","업체명","해태에이치티비주식회사","소재지","충청남도 천안시 동남구 청당산업길 250(구룡동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","파인애플농축액","오렌지농축액","레몬농축액","당시럽","효소처리루틴","구연산삼나트륨","정제소금","구연산","펙틴","식용색소청색제1호","수크랄로스","아세설팜칼륨","오렌지향","파인애플향","","","","","","","","결정","","","","","","","15","블루하와이향","","16","17","시트러스향","정제수","",""
