"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17"
"1","번호3280","품목보고번호19860443015447","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명셀로맥스 아세로라2000","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","정제수","기타과당","블루베리농축액","레몬농축액","아세로라농축액","과당","석류농축액","황금혼합추출물","라즈베리향","","액상과당","","","","결정과당","","복합황금추출물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3279","품목보고번호19860443015342","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명셀로맥스 아잘드링크","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","정제수","올리고당","자일리톨","시클로덱스트린시럽","백포도농축액","기타가공품","합성향료","합성향료","기타가공품","","프락토올리고당","","","","쥐오줌풀추출물분말, 발레리안추출물분말","애플망고향","리치향","캐모마일추출분말","10","11","12","13","14","15","16","17","기타가공품","구연산","L-트립토판","황금혼합추출물","현미배아추출물분말","유단백가수분해물","효모식품","효소처리스테비아","시계꽃추출분말","무수구연산","","복합황금추출물","미배아추출물","","노트레스",""
"3","번호3278","품목보고번호20030415157444","업소명주식회사 노바렉스","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명셀로맥스 어린이 튼튼 시럽 스틱","분류식품","업체명","주식회사 노바렉스","소재지","충청북도 청주시 흥덕구 오송읍 오송생명14로 80(부4동1층,부5동1층,주1동 2~3층)","1","2","3","4","5","6","7","8","9","정제수","올리고당","팔라티노스","블랙엘더베리농축액","믹스베리향","나한과농축액","황금혼합추출물","잔탄검","레몬농축액","","듀올리고M","","엘더베리농축액","","","복합황금추출물","","","10","11","12","13",NA,NA,NA,NA,"아미노산혼합분말","기타가공품","인디안구스베리추출물분말","과일허브추출물분말",NA,NA,NA,NA,"아미노리버믹스","수용성발효칼슘S","","",NA,NA,NA,NA
"4","번호3277","품목보고번호19860443015228","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한24개월","제품명셀로맥스 어린이 튼튼시럽 (Cellromax Almighty Kids Syrup)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","정제수","올리고당","팔라티노스","앨더베리농축액","믹스베리향","나한과농축액","황금복합추출물","잔탄검","레몬농축액","","듀올리고","","엘더베리농축액","천연믹스베리향","","","","","10","11","12","13","14",NA,NA,NA,"아미노산혼합분말","천연칼슘","인디안구스베리추출물","과.채가공품","과.채가공품",NA,NA,NA,"아미노리버믹스","수용성발효칼슘","","베리주스","오르젠비에스",NA,NA,NA
"5","번호3276","품목보고번호20030415157440","업소명주식회사 노바렉스","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명셀로맥스 장생천 시럽","분류식품","업체명","주식회사 노바렉스","소재지","충청북도 청주시 흥덕구 오송읍 오송생명14로 80(부4동1층,부5동1층,주1동 2~3층)","1","2","3","4","5","6","7","8","9","라즈베리농축액","블루베리농축액","도라지농축액","사과농축액","맥문동농축액","프락토올리고당","배농축과즙","모과농축액","벌꿀","","","도라지농축액1","","","","배농축과즙액","","잡화꿀","10","11","12","13",NA,NA,NA,NA,"기타가공품","혼합제제","나한과추출물분말","도라지농축액",NA,NA,NA,NA,"비파엽농축액","라즈베리향","","도라지농축액2",NA,NA,NA,NA
"6","번호3275","품목보고번호20030415157441","업소명주식회사 노바렉스","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명셀로맥스 장생천 키즈 시럽","분류식품","업체명","주식회사 노바렉스","소재지","충청북도 청주시 흥덕구 오송읍 오송생명14로 80(부4동1층,부5동1층,주1동 2~3층)","1","2","3","4","5","6","7","8","9","망고농축액","사과농축액","오렌지농축액","도라지농축액","배농축액","맥문동농축액","기타가공품","도라지농축액","망고향","","","","도라지농축액1","","","비파엽농축액","도라지농축액2","","10",NA,NA,NA,NA,NA,NA,NA,"나한과추출물분말",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"7","번호3274","품목보고번호20130415052105","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명셀로맥스 캐치콜","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","6","7","8","9","물엿","정제수","생강시럽농축액","덱스트린","벌꿀","강황추출물분말","석류농축액","효모","올리브잎추출물","아빠랑유자곡물당","","","말토덱스트린","마누카꿀","","","엠가드, 베타글루칸","나투르올리브오이35","10","11","12",NA,NA,NA,NA,NA,"로얄젤리분말","프로폴리스추출물(고시형)","잔탄검",NA,NA,NA,NA,NA,"효소처리로얄젤리분말","유니크수용성프로폴리스","",NA,NA,NA,NA,NA
"8","번호3273","품목보고번호19860443015599","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명셀로맥스 트리플액션","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","정제수","올리고당","과.채가공품","당류","식물혼합추출물","과.채가공품","두류가공품","혼합제제","과.채가공품","","프락토올리고당","골드키위유산균배양물","발효오곡곡물당","식물혼합추출물 HR-4237","FD파인애플100","가스트로-에이디(Gastro-AD)","키위향","발효골드키위분말-D","10","11","12",NA,NA,NA,NA,NA,"황금혼합추출물","구연산","잔탄검",NA,NA,NA,NA,NA,"복합황금추출물","무수구연산","",NA,NA,NA,NA,NA
"9","번호3272","품목보고번호19860443015296","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명셀로맥스 푸룬알로에","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","정제수","서양자두농축액","올리고당","알로에겔농축동결건조분말","파인애플농축액","자일리톨","에리스리톨","천연향료","구연산","","푸룬농축액","듀올리고M, 듀올리고","알로에베라겔 200:1 분말","","","","천연파인애플향","무수구연산","10","11","12",NA,NA,NA,NA,NA,"안식향산나트륨","잔탄검","효소처리스테비아",NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA
"10","번호3271","품목보고번호19860443015205","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한18개월","제품명셀로맥스 푸룬올리고","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3",NA,NA,NA,NA,NA,NA,"푸룬농축액","올리고당","정제수",NA,NA,NA,NA,NA,NA,"","듀올리고","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
