"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","번호14","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고12","비고13","비고14"
"1","번호3093","품목보고번호19930571069566","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명스윗허그 알로에","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8","9","10","11","알로에베라겔주스","설탕","구연산","젖산칼슘","구연산삼나트륨","젤란검","비타민C","수크랄로스","혼합제제","알로에향","정제수","","","함수","","","","","","산그린LT","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3092","품목보고번호20120567001334","업소명농업회사법인 주식회사 생생초","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명스코비 체리","분류식품","업체명","농업회사법인 주식회사 생생초","소재지","경상북도 청도군 화양읍 남성현로 291-15","1","2","3","4","5","6",NA,NA,NA,NA,NA,"정제수","프락토올리고당","사과농축액","발효식초","체리농축액","체리향",NA,NA,NA,NA,NA,"","","","콤부발효식초","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3091","품목보고번호20120567001331","업소명농업회사법인 주식회사 생생초","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명스코비 콤부차 워터젤리 레몬진저","분류식품","업체명","농업회사법인 주식회사 생생초","소재지","경상북도 청도군 화양읍 남성현로 291-15","1","2","3","4","5","6","7","8","9","10",NA,"정제수","발효식초","백포도농축액","프락토올리고당","혼합제제","생강농축액","레몬농축액","레몬향","구연산","수크랄로스",NA,"","콤부발효식초","","","곤약분말, 카라기난, 구연산삼나트륨, 염화칼륨, 덱스트린, 젖산칼슘, 제일인산칼륨","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3090","품목보고번호20120567001333","업소명농업회사법인 주식회사 생생초","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명스코비 콤부차 워터젤리 석류","분류식품","업체명","농업회사법인 주식회사 생생초","소재지","경상북도 청도군 화양읍 남성현로 291-15","1","2","3","4","5","6","7","8","9",NA,NA,"정제수","사과농축액","프락토올리고당","발효식초","석류농축액","혼합제제","석류향","콜라겐","수크랄로스",NA,NA,"","","","콤부발효식초","","곤약분말, 카라기난, 구연산삼나트륨, 염화칼륨, 덱스트린, 젖산칼슘, 제일인산칼륨","","피쉬콜라겐","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3089","품목보고번호20120567001332","업소명농업회사법인 주식회사 생생초","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명스코비 콤부차 워터젤리 푸룬","분류식품","업체명","농업회사법인 주식회사 생생초","소재지","경상북도 청도군 화양읍 남성현로 291-15","1","2","3","4","5","6","7","8","9","10",NA,"정제수","프락토올리고당","락툴로즈","사과농축액","발효식초","서양자두농축액","보검선인장열매농축","혼합제제","푸룬향","수크랄로스",NA,"","","락툴로오스","","콤부발효식초","푸룬농축액","백년초농축액","곤약분말, 카라기난, 구연산삼나트륨, 염화칼륨, 덱스트린, 젖산칼슘, 제일인산칼륨","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3088","품목보고번호20180491044166","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명스크류바 에이드","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","9","10","11","정제수","백설탕","딸기농축액","구연산","사과농축액","딸기향","사과향","시트러스향","잔탄검","구연산삼나트륨","자색고구마색소","","","68Br, 미국산","구연산(결정)/산도조절제","70Br,칠레산","#1","#7","#1","용도:점증제","용도:산도조절제","용도:착색료","12","13","14","수크랄로스","메타인산나트륨","치자황색소","용도:감미료","용도:산도조절제",""
"7","번호3087","품목보고번호20000614238502","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명스크류바 에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","정제수","설탕","딸기농축액","구연산","사과농축액","딸기향","사과향","시트러스향","잔탄검","구연산삼나트륨","자색고구마색소","","","68br, 미국산","구연산(결정)/산도조절제","70br, 칠레산","#1","#7","#1","점증제","산도조절제","착색료","12","13","14","수크랄로스","메타인산나트륨","치자황색소","감미료","산도조절제",""
"8","번호3086","품목보고번호20040275056890","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월 까지","제품명스킨발란스업(Skin Balance Up)","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","정제수","석류농축액","포도당","에리스리톨","구연산","타우린","L-아르지닌","생선콜라겐","식품첨가물혼합제제","히알루론산","비타민C","","","","","","","","저분자 피쉬콜라겐","석류향","","","12","13",NA,"효소처리스테비아","엘라스틴가수분해물",NA,"","프로라스틴",NA
"9","번호3085","품목보고번호19990555093341","업소명농업회사법인(주)이비채","품목유형혼합음료","유통/소비기한제조일부터 24 개월","제품명스킨션샤인","분류식품","업체명","농업회사법인(주)이비채","소재지","경상북도 영천시 임고면 황강공단길 21","1","2","3","4","5","6","7","8","9","10","11","식물혼합발효농축액","라즈베리농축액","이소말토올리고당","블루베리농축액","사과농축액","생선콜라겐펩타이드분말","오디향","비타민 C(고시형)","구연산","혼합허브추출물","정제수","","","","","","피쉬콜라겐펩타이드","","","","복합허브추출물","탈염 해양암반수",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3084","품목보고번호1987036005442","업소명(주)아모레퍼시픽","품목유형혼합음료","유통/소비기한18개월","제품명스킨콜라겐","분류식품","업체명","(주)아모레퍼시픽","소재지","경기도 안성시 공단1로 36(신건지동)","1","2","3","4","5","6","7","8","9","10","11","피쉬콜라겐펩타이드","올리고당","프락토올리고당","망고농축액","파인애플농축액","구연산","트로피칼향혼합제제","효소처리스테비아","알로에겔농축동결건조분말","기타가공품","히알루론산혼합제제","","뷰티올리고","","","","","트로피킬향","","","밀크세라마이드","","12","13","14","기타가공품","비타민C","정제수","엘라스틴펩타이드","",""
