"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","비고1","비고2","비고3","비고4","비고5","번호6","번호7","번호8","번호9","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고6","비고7","비고8","비고9","번호...39","성분 및 원료","비고"
"1","번호2144","품목보고번호19810606006538","업소명서강유업(주)","품목유형혼합음료","유통/소비기한제조일로부터 09개월까지","제품명오트밸리오리지널","분류식품","업체명","서강유업(주)","소재지","경상남도 사천시 사남면 공단2로 20","1","2","3","4","5","정제수","귀리","채종유(유채유 또는 카놀라유)","천일염","천연향료","","유기농귀리","","","천연바닐라추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2143","품목보고번호19810606006506","업소명서강유업(주)","품목유형혼합음료","유통/소비기한제조일로부터 09개월까지","제품명오트밸리초코","분류식품","업체명","서강유업(주)","소재지","경상남도 사천시 사남면 공단2로 20","1","2","3","4","5","귀리","설탕","코코아분말","코코아매스","미강유(현미유)","유기농귀리","유기농설탕","","","","6","7","8","9","곡류가공품","천일염","천연향료","정제수","현미호분추출분말","","바닐라추출물","",NA,NA,NA
"3","번호2142","품목보고번호19810227007504","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한제조일로부터 4개월","제품명오트베이스","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","3","4","5","곡류가공품","정제수","귀리페이스트","고올레산해바라기유","폴리덱스트로스","오트원액(오트 고형분 10%이상)","","","","","6","7","8","9","탄산칼슘","제이인산칼륨","식염","레시틴","영양강화제","","","유화제",NA,NA,NA
"4","번호2141","품목보고번호2020040143998","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 3일","제품명오트액","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2",NA,NA,NA,"곡류가공품","정제수",NA,NA,NA,"귀리페이스트","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2140","품목보고번호20080395120551","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 3일","제품명오트액(Oatmeal drink)","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3",NA,NA,"정제수","귀리페이스트","글리세린지방산에스테르",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2139","품목보고번호20200401439170","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 3일","제품명오트액(고형분 7%)","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2",NA,NA,NA,"정제수","곡류가공품",NA,NA,NA,"","귀리농축페이스트",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2138","품목보고번호2016033265816","업소명(주)웰지스","품목유형혼합음료","유통/소비기한12개월","제품명오트유","분류식품","업체명","(주)웰지스","소재지","경기도 남양주시 수동면 남가로 1726","1","2","3",NA,NA,"천일염","프락토올리고당","베이스",NA,NA,"","","오트유베이스(귀리분말,귀리페이스트 정제수)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2137","품목보고번호20040275056795","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명오하루 자연가득 블랙커런트 마누카 허니스틱","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","음료베이스","콤비타 마누카허니& 블랙커런트"
"9","번호2136","품목보고번호20180491044239","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명오하루 자연가득 에브리데이 마시는 견과","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","땅콩 또는 견과류가공품","에리스리톨","채종유(유채유 또는 카놀라유)","기타가공품","천일염","혼합견과액(고형분7%이상)","","","해조분말(칼슘함량32%이상)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2135","품목보고번호201203802661","업소명옥산가음료공장","품목유형혼합음료","유통/소비기한제조일부터 1년","제품명옥산가","분류식품","업체명","옥산가음료공장","소재지","강원도 춘천시 동면 금옥길 136-9","1","2",NA,NA,NA,"정제수","발효칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
