"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","번호29","번호30","번호31","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","성분 및 원료29","성분 및 원료30","성분 및 원료31","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27","비고28","비고29","비고30","비고31"
"1","번호5162","품목보고번호2018045601112","업소명대상웰라이프주식회사천안공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명뉴케어 노엔피오","분류식품","업체명","대상웰라이프주식회사천안공장","소재지","충청남도 천안시 서북구 2공단5로 51(대상식품주 6.공장동 차암동)","1","2","3","4","5","6","7","8","9","정제수","덱스트린","결정과당","구연산삼나트륨","구연산칼륨","구연산(무수)","사과향","수크랄로스","토마틴","","말토덱스트린","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5161","품목보고번호2018045601187","업소명대상웰라이프주식회사천안공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명뉴케어 액티브 골든밸런스","분류식품","업체명","대상웰라이프주식회사천안공장","소재지","충청남도 천안시 서북구 2공단5로 51(대상식품주 6.공장동 차암동)","1","2","3","4","5","6","7","8","9","정제수","물엿","백설탕","채종유(유채유 또는 카놀라유)","분리대두단백","카제인나트륨","카제인칼슘","농축유청","소스류","","","","","","","","","효모농축물","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","비타민미네랄혼합제제","치커리식이섬유","구연산칼륨","탄산수소나트륨","소르비탄지방산에스테르","혼합제제","제3인산칼슘","L-아스코브산나트륨","땅콩향","향료","향료","염화칼륨","인공 윈터메론향","산화마그네슘","아미노산혼합제제","비타민E혼합제제","곡류가공품","산화아연","비타민D3혼합제제","수크랄로스","분말비타민A혼합제제","건조효모","","","","","","나노칼슘","","","","흑깨향","미숫가루향","","","","","","19곡물분말","","","","",""
"3","번호5160","품목보고번호202104570281","업소명대상웰라이프주식회사천안2공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명뉴케어 액티브 골든밸런스","분류식품","업체명","대상웰라이프주식회사천안2공장","소재지","충청남도 천안시 서북구 2공단2로 112(1~3층 업성동)","1","2","3","4","5","6","7","8","9","정제수","물엿","카제인나트륨","채종유(유채유 또는 카놀라유)","소르비탄지방산에스테르","백설탕","분리대두단백","카제인칼슘","소스류","","저감미당","","","","","","","효모농축물","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","농축유청","비타민미네랄혼합제제","치커리식이섬유","구연산칼륨","제3인산칼슘","혼합제제","땅콩향","검은깨향","L-아스코르브산나트륨","염화칼륨","인공 윈터메론향","합성향료","아미노산혼합제제","비타민E혼합제제","곡류가공품","산화마그네슘","산화아연","비타민D3혼합제제","수크랄로스","비타민A혼합분말","탄산수소나트륨","건조효모","","","","","","나노칼슘","","","","","","미숫가루향","","","19곡물분말","","","","","","",""
"4","번호5159","품목보고번호202104570282","업소명대상웰라이프주식회사천안2공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명뉴케어 액티브 프레소","분류식품","업체명","대상웰라이프주식회사천안2공장","소재지","충청남도 천안시 서북구 2공단2로 112(1~3층 업성동)","1","2","3","4","5","6","7","8","9","정제수","물엿","채종유(유채유 또는 카놀라유)","분리대두단백","카제인나트륨","카제인칼슘","농축유청","커피추출액","백설탕","","저감미당","","","","","","디카페인커피추출물","","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30",NA,"비타민미네랄혼합제제","소스류","치커리식이섬유","카페라떼향","구연산칼륨","혼합제제","소르비탄지방산에스테르","커피향","제3인산칼슘","L-아스코르브산나트륨","결정셀룰로스","염화칼륨","산화마그네슘","탄산수소나트륨","아미노산혼합제제","비타민E혼합제제","산화아연","수크랄로스","비타민D3혼합제제","분말비타민A혼합제제","건조효모",NA,"","효모농축물","","","","나노칼슘","","","","","","","","","","","","","","","",NA
"5","번호5158","품목보고번호1986039501376","업소명롯데제과(주)파스퇴르공장","품목유형혼합음료","유통/소비기한6개월","제품명뉴트리밀","분류식품","업체명","롯데제과(주)파스퇴르공장","소재지","강원도 횡성군 안흥면 봉화로 790","1","2","3","4","5","6","7","8","9","아몬드페이스트","백설탕","폴리덱스트로스","볶은현미분말","글리세린지방산에스테르","볶은수수분말","정제소금","합성착향료","탄산수소나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","11","12","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"계피알콜","젤란검","비타민B2인산에스테르나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5157","품목보고번호20190391582190","업소명(주)네추럴웨이 포천제2공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명뉴트리원 알로에","분류식품","업체명","(주)네추럴웨이 포천제2공장","소재지","경기도 포천시 군내면 용정경제로1길 48-60(1~3층)","1","2","3","4","5","6","7","8","9","정제수","백설탕","시클로덱스트린시럽","합성향료","혼합제제","세븐베리농축분말","과일채소혼합분말","알로에베라겔동결건조분말","DL-사과산","","","","알로에향","시트러스향","","파이토 과일야채발효분말 99","100:1","","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"건조효모(셀렌함유)","비타민C","초유분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5156","품목보고번호20190391582189","업소명(주)네추럴웨이 포천제2공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명뉴트리원 콜라겐","분류식품","업체명","(주)네추럴웨이 포천제2공장","소재지","경기도 포천시 군내면 용정경제로1길 48-60(1~3층)","1","2","3","4","5","6","7","8","9","정제수","시클로덱스트린시럽","올리고당","망고농축액","기타가공품","에리스리톨","혼합제제","혼합제제","레몬농축액","","","","","피쉬콜라겐","","망고향1","망고향2","","10","11","12","13","14","15","16","17","18","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"인산","혼합제제","비타민C","수크랄로스","분말비타민A혼합제제","비오틴","토마토농축추출물분말","글리신","L-시스틴","L-프롤린",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","씨트러스향","","","","","화이트 토마토 농축 추출 분말","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5155","품목보고번호20060445110710","업소명콜마비앤에이치(주) 음성공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명뉴트원콜라겐프리미엄5000","분류식품","업체명","콜마비앤에이치(주) 음성공장","소재지","충청북도 음성군 대소면 대풍산단1길 8","1","2","3","4","5","6","7","8","9","정제수","생선콜라겐","프락토올리고당","석류농축액","DL-사과산","레몬농축액","석류향","비타민C","맥아추출액","","저분자피쉬콜라겐","(액상)","","","","","","맥아추출물","10","11","12","13","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"스테비올배당체","레몬향","비오틴","히알루론산","엘라스틴가수분해물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5154","품목보고번호202103731441","업소명(주)채일푸드","품목유형혼합음료","유통/소비기한12개월","제품명느루식혜","분류식품","업체명","(주)채일푸드","소재지","경기도 파주시 운정2길 45-5(가, 나동 상지석동)","1","2","3","4",NA,NA,NA,NA,NA,"정제수","설탕","맥아","쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5153","품목보고번호20080358277250","업소명서정쿠킹(주)","품목유형혼합음료","유통/소비기한제조일로부터 6개월까지","제품명느린수박식혜","분류식품","업체명","서정쿠킹(주)","소재지","경기도 이천시 신둔면 서이천로853번길 346-179","1","2",NA,NA,NA,NA,NA,NA,NA,"전통식혜","수박주스",NA,NA,NA,NA,NA,NA,NA,"느린식혜","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
