"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25"
"1","번호1833","품목보고번호20130415052256","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명이너뷰 타임 투 콜라겐","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","정제수","콜라겐가수분해물","결정과당","석류농축액","라즈베리농축액","자몽농축액","이소말토올리고당","DL-사과산","자몽향","석류향","덱스트린 혼합","돼지태반분말","황금혼합추출물","비타민C","효소처리스테비아","염화마그네슘","젤란검","염화칼륨","병풀추출","포도당","히알루론산혼합제제","우유단백질","엘라스틴가수분해물","젖산칼슘","비오틴 혼합","","콜라겐펩타이드","","","","","","","향료, TF-36909","향료, TF-26428","MSX-1MF","돈태반발효추출물","복합황금추출물-2","","","","케코겔엘티100","","병풀추출물분말, 사용가능부위 : 잎","","","","프로라스틴","","비오틴 혼합제제"
"2","번호1832","품목보고번호20060392223238","업소명네오팜","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명이너뷰티 골드","분류식품","업체명","네오팜","소재지","강원도 양양군 양양읍 포월새말길 41-61","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"식물혼합추출물","푸룬농축액","석류농축액","농축사과과즙","락툴로즈","자일리톨","폴리덱스트로스","비타민C","구연산","매실향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"고형분 20%","68Bx","65Bx","72Bx","","","","","","합성착향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1831","품목보고번호20110149027152","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명이너뷰티 석류콜라겐","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"석류농축액","생선콜라겐","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65 brix","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1830","품목보고번호20110149027195","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명이너뷰티 석류콜라겐 미(美)","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"석류농축액","콜라겐","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65 brix","베트남산","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1829","품목보고번호20110149027253","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명이너뷰티 석류콜라겐美with타트체리","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"체리농축액","석류농축액","생선콜라겐펩타이드분말","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"타트체리농축액, 터키산","65brix, 스페인산","베트남산","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1828","품목보고번호20130415052132","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명이너비 글로우샷 콜라겐","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21",NA,NA,NA,NA,"정제수","생선콜라겐","망고농축액","덱스트린","에리스리톨","아카시아검(고시형)","설탕","구연산","망고향","DL-사과산","펙틴","과일향","시트러스향","비타민C","구연산삼나트륨","젤란검","스테비올배당체","엘라스틴가수분해물","니코틴산아미드","판토텐산칼슘","비타민B6염산염",NA,NA,NA,NA,"","저분자피쉬콜라겐","","말토덱스트린","","화이바검비, 아카시아식이섬유","하얀설탕","","망고향 #29, SK-D6032, 향료","","","과일향 #2, SK-B1162, 향료","SK-J8903, 향료제제","","","","레바텐 97%","프로라스틴","","","",NA,NA,NA,NA
"7","번호1827","품목보고번호20020383603604","업소명(주)팜텍코리아","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명이너스퀸","분류식품","업체명","(주)팜텍코리아","소재지","강원도 원주시 문막읍 문막공단길 59","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19",NA,NA,NA,NA,NA,NA,"생선콜라겐펩타이드","배농축액","밀배아추출물분말","아세로라추출분말","L-글루타민","L-프롤린","DL-사과산","히알루론산","합성착향료&#40;리치향&#41;","글리신","L-아르지닌","비타민C","혼합제제","β-시클로덱스트린","구연산(무수)","효모추출물제품","자몽종자추출물","수크랄로스","정제수",NA,NA,NA,NA,NA,NA,"액상피쉬콜라겐펩타이드 500","","밀배아추출분말","아세로라추출물분말","","","","","","","","","아미노믹스","","","프로솔이스트파우더 효모추출물","","","",NA,NA,NA,NA,NA,NA
"8","번호1826","품목보고번호20190391582130","업소명(주)네추럴웨이 포천제2공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명이너아이디 INNERID","분류식품","업체명","(주)네추럴웨이 포천제2공장","소재지","경기도 포천시 군내면 용정경제로1길 48-60(1~3층)","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"혼합음료","과.채가공품","기타식물성유지",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"이너아이디 듀얼 콜라겐","베지클린","아르간캡슐",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1825","품목보고번호20190391582128","업소명(주)네추럴웨이 포천제2공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명이너아이디 듀얼 콜라겐","분류식품","업체명","(주)네추럴웨이 포천제2공장","소재지","경기도 포천시 군내면 용정경제로1길 48-60(1~3층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19",NA,NA,NA,NA,NA,NA,"정제수","기타가공품","자일리톨","석류농축액","에리스리톨","기타가공품","포도농축액","인산","변성전분","향료","자주색고구마색소","기타가공품","효소처리스테비아","비타민C","혼합제제","기타가공품","기타가공품","기타가공품","비오틴",NA,NA,NA,NA,NA,NA,"","피쉬콜라겐","","","","베리솔(Verisol)","","","","석류향","","복합황금추출물","","","","복합허브추출물C","프로라스틴","밀크세라마이드","",NA,NA,NA,NA,NA,NA
"10","번호1824","품목보고번호19860443015508","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명이너지 MAXX","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19",NA,NA,NA,NA,NA,NA,"정제수","기타과당","자일리톨","시클로덱스트린시럽","사과농축액","L-아르지닌","레몬농축액","구연산","혼합제제","타우린","황금혼합추출물","글루콘산아연(고시형)","효소처리스테비아","비타민 B1염산염(고시형)","니코틴산(고시형)","비타민B6염산염","비타민 B2(고시형)","기타가공품","아셀렌산나트륨(고시형)",NA,NA,NA,NA,NA,NA,"","","","","","L-아르기닌, 아르기닌, 아르지닌","","","","","복합황금추출물","","","","","","","버섯추출물분말","",NA,NA,NA,NA,NA,NA
