"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","번호15","번호16","번호17","번호18","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고15","비고16","비고17","비고18"
"1","번호3440","품목보고번호20060392223211","업소명네오팜","품목유형혼합음료","유통/소비기한24개월","제품명상쾌한 변화","분류식품","업체명","네오팜","소재지","강원도 양양군 양양읍 포월새말길 41-61","1","2","3","4","5","6","7","8","9","10","11","12","13","14","다시마추출액","알로에추출물","요구르트혼합분말","농축사과과즙","포도농축액","석류농축액","D-소르비톨액","락툴로즈","구연산","글루코만난","폴리덱스트로스","요구르트향","정제수","기타가공품","","","","","","","","","","","","","","스킴밀크파우더",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3439","품목보고번호19900372087569","업소명(주)화인내츄럴","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명상쾌한 아침","분류식품","업체명","(주)화인내츄럴","소재지","경기도 포천시 소흘읍 호국로 493-43","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","액상과당","백설탕","현미배아추출물분말","타우린","헛개나무열매추출농축액","혼합농축액","스위트체스트넛로즈열매","효모추출물","황기추출분말","구연산","DL-사과산","DL-알라닌","니코틴산아미드","","","정백당","미배아발효추출물","","","","자리추출물","","황기로터스추출물분말","","","","","15","16","17","18","구연산삼나트륨","혼합제제","합성향료","벌꿀향","","복합허브추출물C","혼합과일향",""
"3","번호3438","품목보고번호19970464172125","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명상쾌한 아침 변하는 내몸 이브의 아침","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","프락토올리고당","D-소르비톨","폴리덱스트로스","이눌린","다시마농축분말","푸룬과즙분말","매실농축액","감식초","락툴로즈","황산마그네슘","구연산","황금복합추출물","사과향","복숭아향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15",NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA
"4","번호3437","품목보고번호20190391582200","업소명(주)네추럴웨이 포천제2공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명상쾌환 Booster","분류식품","업체명","(주)네추럴웨이 포천제2공장","소재지","경기도 포천시 군내면 용정경제로1길 48-60(1~3층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","백설탕","액상과당","과.채가공품","효모식품","구연산(무수)","향료제제","과.채가공품","식물혼합농축액","기타가공품","오르니틴염산염","혼합제제","구연산삼나트륨","비타민C","","","","레드시트러스믹스농축액","글루타치온효모추출물분말","","패션후르츠향","트로피컬그린믹스농축액","","밀크씨슬 피이 4:1 더블유에스","","아미노리버믹스","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3436","품목보고번호20020623009621","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명상큼한 그린키위","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,"키위농축액","파인애플농축액","백설탕","구연산","비타민C","수크랄로스","정제소금","치자황색소","시트러스향","키위향","정제수",NA,NA,NA,"65Brix, 15Brix기준 3%","","","산도조절제","영양강화제","합성감미료","","","합성착향료","합성착향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3435","품목보고번호20000614238257","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명상큼한 레몬에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,"레몬농축액","백설탕","분말결정포도당","구연산","비타민C","구연산삼나트륨","레몬향","라임향","천연카로틴","화이트컴파운드","정제수",NA,NA,NA,"미국산","","함수결정포도당","","","","천연레몬향","천연라임향","천연카로틴-앨","화이트클라우디","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3434","품목보고번호2006051212858","업소명좋은영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터12개월까지","제품명상큼한 레몬에이드","분류식품","업체명","좋은영농조합법인","소재지","전라남도 나주시 노안면 이슬촌길 87","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,"정제수","설탕","올리고당","비타민C","레몬농축액","구연산","착향료(레몬향)","구연산삼나트륨","홍화황색소",NA,NA,NA,NA,NA,"","","","","","","","","홍화황색소-100L(정제수, 글리세린, 홍화황색소)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3433","품목보고번호20000614238256","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명상큼한 망고에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","냉동망고퓌레","망고농축액","레몬농축액","액상과당","백설탕","효소처리스테비아분말","구연산","구연산삼나트륨","비타민C","잔탄검","천연카로틴","천연망고향","레몬향","정제수","망고퓨레","","","","","스테비아 45에스","","","","","천연카로틴-엘","","천연레몬향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3432","품목보고번호2012044303032","업소명(주)참선진녹즙","품목유형혼합음료","유통/소비기한12개월","제품명상큼한 블루베리초","분류식품","업체명","(주)참선진녹즙","소재지","충청북도 진천군 문백면 태락1길 27-82","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,"정제수","프락토올리고당","음료베이스","사과주스농축액","과.채가공품","아로니아주스농축액","구연산",NA,NA,NA,NA,NA,NA,NA,"","","현미흑초","","블루베리주스농축액","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3431","품목보고번호20020623009925","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명상큼한 비타민 레모나","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,"비타민C","비타민B2","비타민B6염산염","기타과당","자일리톨","아스파탐","구연산","구연산삼나트륨","펙틴","정제소금","드링크향","드링크향","정제수",NA,"","","","","","합성감미료","","","","","합성향료","합성향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
