"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","성분 및 원료1","성분 및 원료2","비고1","비고2","번호3","성분 및 원료3","비고3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","성분 및 원료13","비고13","번호14","번호15","성분 및 원료14","성분 및 원료15","비고14","비고15","번호16","번호17","번호18","번호19","번호20","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고16","비고17","비고18","비고19","비고20"
"1","번호2004","품목보고번호20200401439114","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명워터락 풀빅산 물","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","정제수","수산화마그네슘","물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2003","품목보고번호2009037514913","업소명한국알카리수 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명워터락(waterrok)","분류식품","업체명","한국알카리수 주식회사","소재지","경기도 여주시 강천면 다리골길 37-8","1","2","정제수","수산화칼슘",NA,NA,"3","수산화마그네슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2002","품목보고번호20100543066711","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET : 제조일로부터 24개월, CAN : 제조일로부터 36개월","제품명워터멜론","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","정제수","설탕","","","3","알로에베라겔즙","태국산/알로에베라주스54.9%,알로에베라45%,구연산0.1%","4","5","6","7","8","9","10","11","12","수박농축액","합성향료","젖산칼슘","구연산","혼합제제","구연산삼나트륨","젤란검","자당지방산에스테르","천연향료","미국산, 수박과즙으로 환원기준 5.4%","수박향","","","코치닐추출색소(천연색소), 적양배추색소(천연색소), 덱스트린","","","모노에스테르-P","천연메론향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2001","품목보고번호201005430661158","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET : 제조일로부터 24개월, CAN : 제조일로부터 36개월","제품명워터멜론 무가당","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","정제수","알로에베라겔즙","","태국산/알로에베라주스54.9%,알로에베라45%,구연산0.1%","3","수박농축액","미국산/배합함량 : 100%, 수박과즙으로 환원기준 5.4%","4","5","6","7","8","9","10","11","12","합성향료","젖산칼슘","혼합제제","구연산","구연산삼나트륨","아세설팜칼륨","아스파탐","젤란검","유화제","수박향","","코치닐추출색소, 적양배추색소, 덱스트린","","","감미료","감미료","","","13","수크랄로스","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2000","품목보고번호2003025701130","업소명(주)아너텍","품목유형혼합음료","유통/소비기한1년","제품명워터월드","분류식품","업체명","(주)아너텍","소재지","세종특별자치시 금남면 초정길 95","1","2","정제수","타우린",NA,NA,"3","산소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1999","품목보고번호2003025701127","업소명(주)아너텍","품목유형혼합음료","유통/소비기한제조일부터 1년","제품명워터인","분류식품","업체명","(주)아너텍","소재지","세종특별자치시 금남면 초정길 95","1","2","정제수","타우린",NA,NA,"3","산소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1998","품목보고번호20000614238326","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명워터젤리 깔라만시","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","과.채가공품","설탕","깔라만시착즙액","","3","액상과당","","4","5","6","7","8","9","10","11","12","수크랄로스","아세설팜칼륨","구연산","비타민C","구연산삼나트륨","칼라만시향","칼라만시향","혼합제제","식용색소황색제4호","","","","","","","","검믹스#33495","","13","안식향산나트륨","","14","15","과.채가공품","정제수","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1997","품목보고번호20000614238291","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명워터젤리 홍시","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","홍시퓌레","백설탕","국내산","","3","수크랄로스","","4","5","6","7","8","9","10","11","12","액상과당","구연산","비타민C","감향","감향","카라기난혼합제제","식용색소황색제5호","식용색소황색제4호","안식향산나트륨","","함수구연산","","홍시향","홍시향","","","","","13","나타드코코","","14","15","정제수","아세설팜칼륨","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1996","품목보고번호19940474018455","업소명(주)중앙타프라","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명원기력파워","분류식품","업체명","(주)중앙타프라","소재지","충청남도 예산군 응봉면 예당로 1053-15","1","2","기타가공품","추출가공식품","녹용엑기스분말","마카엑스-피엔","3","숙지황농축액","","4","5","6","7","8","9","10","11","12","액상과당","구연산","구연산삼나트륨","정제소금","잔탄검","안식향산나트륨","합성착향료","정제수","타우린","","","","","","","허브향","","","13","비타민C","","14","15","니코틴산아미드","효소처리스테비아","","","16","17","18","19","20","오미자농축액","사상자농축액","복분자농축액","구기자농축액","오디농축액","","","","","상심자농축액"
"10","번호1995","품목보고번호20040275056824","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명원더 슬러쉬 그레이플","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","정제수","사과농축액",NA,NA,"3","에리스리톨",NA,"4","5","6","7","8","9","10","11","12","청포도농축액","복숭아농축액","레몬농축액","라즈베리농축액","비타민C","구아검","그린커피빈주정추출물(기능성원료인정제2018-6호)","레드비트주스농축","자몽종자추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
