"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","비고1","비고2","비고3","비고4","비고5","번호6","번호7","번호8","번호9","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고6","비고7","비고8","비고9","번호10","번호11","성분 및 원료10","성분 및 원료11","비고10","비고11","번호12","번호13","성분 및 원료12","성분 및 원료13","비고12","비고13"
"1","번호3360","품목보고번호19880442004930","업소명풀무원건강생활(주)","품목유형혼합음료","유통/소비기한제조일로 부터 12개월까지","제품명석류","분류식품","업체명","풀무원건강생활(주)","소재지","충청북도 증평군 도안면 원명로 35","1","2","3","4","5","정제수","프락토올리고당","석류농축액","백포도농축액","라즈베리농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3359","품목보고번호2018049100818","업소명농업회사법인 주식회사 삼성농원","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명석류 곤약젤리","분류식품","업체명","농업회사법인 주식회사 삼성농원","소재지","전라북도 익산시 반월길 23(1층 월성동)","1","2","3","4","5","구연산","에리스리톨","수크랄로스","석류향","락색소","","","","","","6","7","8","9","정제수","식품첨가물혼합제제","구연산삼나트륨","펙틴","","제이단 ES-1092","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3358","품목보고번호20110149027263","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명석류 저분자콜라겐스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","석류농축액","생선콜라겐","로커스트콩검","잔탄검","분말한천(고시형)","65 brix, 스페인산","베트남산","","","","6","7","8","9","타마린드검","카라기난","염화칼륨","히알루론산","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3357","품목보고번호2008056020043","업소명발효촌","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명석류 헴프씨드 플러스","분류식품","업체명","발효촌","소재지","경상북도 경산시 진량읍 가야로 307(가,나동 1,2층)","1","2","3","4","5","석류농축액","올리고당","기타과당","삼씨앗추출액","검 베이스 혼합제제","6.5Brix","","고과당","수입산 캐나다","","6","7","8","9","사과농축액","벌꿀","구연산","비타민C","72Brix","","","","10","11","효소처리스테비아","정제수","","",NA,NA,NA,NA,NA,NA
"5","번호3356","품목보고번호20110149027250","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명석류&콜라겐C","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","석류과즙","생선콜라겐펩타이드분말","로커스트콩검","잔탄검","분말한천(고시형)","고형분 20%, 석류(터키산)100%","베트남산","","","","6","7","8",NA,"타마린드검","카라기난","비타민C",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3355","품목보고번호20170614111236","업소명(주)엔트리","품목유형혼합음료","유통/소비기한24개월","제품명석류&콜라겐C","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2","3","4","5","석류과즙","생선콜라겐분말","로커스트콩검","카라기난","비타민C","석류과즙100%(고형분20%)","","","","","6","7","8",NA,"타마린드검","잔탄검","분말한천(고시형)",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3354","품목보고번호2014049317138","업소명(주)웰그린김제공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명석류ADE","분류식품","업체명","(주)웰그린김제공장","소재지","전라북도 김제시 봉두로 148-22","1","2","3","4","5","정제수","과.채가공품","설탕","구연산","구연산삼나트륨","","석류농축액","","","","6","7","8","9","수크랄로스","식용색소적색제40호","카라멜색소","식품첨가물혼합제제","감미료","착색료","","혼합제제(합성향료,프로필렌글리콜,정제수,주정,글리세린,빙초산)","10",NA,"식품첨가물혼합제제",NA,"혼합제제(합성향료,프로필렌글리콜,주정,정제수,글리세린)",NA,NA,NA,NA,NA,NA,NA
"8","번호3353","품목보고번호20110149027364","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명석류가득 생유산균 초저분자콜라겐 젤리스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","석류농축액","생선콜라겐펩타이드분말","로커스트콩검","잔탄검","분말한천(고시형)","열매, 스페인산","","","","","6","7","8","9","타마린드검","카라기난","염화칼륨","히알루론산","","","","","10","11","유산균","유산균","혼합유산균21종","생유산균",NA,NA,NA,NA,NA,NA
"9","번호3352","품목보고번호1988044200456","업소명풀무원건강생활(주)","품목유형혼합음료","유통/소비기한제조일로부터1년","제품명석류가인","분류식품","업체명","풀무원건강생활(주)","소재지","충청북도 증평군 도안면 원명로 35","1","2","3","4","5","정제수","석류농축과즙","메이플시럽","아가베시럽","칡뿌리추출물","","터키산, 65brix","","","갈근추출물(칡 착즙액 100%)","6","7","8","9","라즈베리즙","라즈베리농축액","칡농축액","레드자몽농축액","","","칡농축엑기스","레드자몽농축과즙","10","11","약콩추출액","호박농축액","약콩(쥐눈이콩)농축액","","12","13","올리고당","해양심층수미네랄농축수","","미네랄농축액"
"10","번호3351","품목보고번호19970464172472","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명석류골드","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","석류농축액","아카시아검(고시형)","사과농축액","액상과당","구연산","","아카시아화이바","(72Brix)","","","6","7","8","9","구연산삼나트륨","비타민C","코치닐추출색소","석류향","","","","","10","11","효소처리스테비아","정제수","","",NA,NA,NA,NA,NA,NA
