"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","번호16","번호17","번호18","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고16","비고17","비고18","번호19","번호20","번호21","번호22","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고19","비고20","비고21","비고22"
"1","번호3630","품목보고번호20200401439112","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명비타미워터 오렌지","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","에리스리톨","알룰로오스","기타가공품","천연향료","구연산","염화마그네슘","정제소금","효소처리스테비아","구연산삼나트륨","혼합제제","구연산철암모늄","글루콘산아연","혼합제제","혼합제제","정제수","","","저분자피쉬콜라겐","","","","","","","니코틴산아미드, 판토텐산칼슘, 비타민B6염산염, 비타민B12혼합제제","","","포도당시럽분말, 옥수수전분, 아라비아검, 유성비타민A지방산에스테르, 비타민E","말토덱스트린, 구연산삼나트륨, 구연산, 비타민B12","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3629","품목보고번호20200401439111","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명비타미워터 자두향","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","에리스리톨","알룰로오스","기타가공품","합성향료","구연산","염화마그네슘","정제소금","효소처리스테비아","구연산삼나트륨","혼합제제","구연산철암모늄","글루콘산아연","혼합제제","혼합제제","정제수","","","저분자피쉬콜라겐","","","","","","","니코틴산아미드, 판토텐산칼슘, 비타민B6염산염, 비타민B12혼합제제","","","포도당시럽분말, 옥수수전분, 아라비아검, 유성비타민A지방산에스테르, 비타민E","말토덱스트린, 구연산삼나트륨, 구연산, 비타민B12","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3628","품목보고번호20100543066185","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한2년","제품명비타민 워터(Balance)","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","백설탕","결정과당","포도과피색소","블루베리농축액","구연산(무수)","석류농축액","알로에파우다","비타민C","글루콘산칼슘","판토텐산칼슘","니코틴산아미드","비타민B6염산염","비타민B12","만니톨","","","","","미국산","","","오가닉알로에파우더100:1/멕시코산","","","","","","","","16","17","18","적양배추색소","아사이베리향","블루베리향","","합성향료","합성향료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3627","품목보고번호20100543066188","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한2년","제품명비타민 워터(Energy-V)","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","백설탕","결정과당","구연산(무수)","적양배추색소","과라나추출물분말","알로에베라겔분말","타우린","아라비아검","화이트클라우디","비타민C","염화마그네슘","카페인","판토텐산칼슘","글루콘산칼슘","","","","","","20%","오가닉알로에파우더100:1/먹시코산","","","","","","천연카페인","","","16","17","18","니코틴산아미드","제이인산칼륨","비타민B6염산염","","","","19","20","21","22","비타민B12","만니톨","그레이프후르츠향","레드불향","","","합성향료","합성향료"
"5","번호3626","품목보고번호20100543066187","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한2년","제품명비타민 워터(Refresher)","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","백설탕","결정과당","구연산(무수)","블루베리농축액","화이트클라우디","알로에베라겔분말","산화마그네슘","만니톨","아라비아검","글루콘산칼슘","니코틴산아미드","산화아연","비타민B6염산염","비타민B12","","","","","미국산","","오가닉알로에파우더,100:1,멕시코산","","","","","","","","","16","17","18","비타민E","식용색소청색제1호","다크체리향","","착색료","합성향료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3625","품목보고번호20100543066184","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한2년","제품명비타민 워터(Ultra-C)","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","백설탕","결정과당","구연산(무수)","레몬청징농축액","알로에베라겔분말","사극청징농축액","비타민C","아라비아검","염화마그네슘","글루콘산칼슘","제이인산칼륨","니코틴산아미드","판토텐산칼슘","비타민B6염산염","","","","","이스라엘산","오가닉알로에파우더,100:1,멕시코산","국산","","","","","","","","","16","17","18","비타민B12","비타민E","엽산","","","","19","20","21","22","만니톨","베타카로틴(고시형)","사극향","그레이프후르츠향","","","합성향료","합성향료"
"7","번호3624","품목보고번호19920624042363","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명비타민C ACE","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,"농축사과과즙","액상과당","비타민C","구연산","타우린","구연산삼나트륨","니코틴산아미드","판토텐산칼슘","비타민B2","파인애플향SW-4348","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3623","품목보고번호19960308010558","업소명광동제약주식회사","품목유형혼합음료","유통/소비기한제조일로부터 18월","제품명비타민D 1,000IU","분류식품","업체명","광동제약주식회사","소재지","경기도 평택시 경기대로 1081(장당동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","기타과당","과.채가공품","비타민C","팔라티노스","합성향료","분말결정포도당","효소처리스테비아","주석산수소콜린","비타민 D 혼합제제","구연산삼나트륨","글루콘산아연","펙틴","구연산","재제소금(재제조소금)","","","패션후르츠농축액(당도 64Brix°이상)","","","패션후르츠향","","","","","","","","","","16","17","18","합성향료","용성비타민P","폴리글리세린지방산에스테르","오렌지향","","","19","20",NA,NA,"비타민B2","비오틴",NA,NA,"","",NA,NA
"9","번호3622","품목보고번호20110445029154","업소명주식회사 와우에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명비타민나무","분류식품","업체명","주식회사 와우에프앤비","소재지","충청북도 음성군 생극면 중원대로 124","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,"과채주스","설탕","카라기난","잔탄검","카복시메틸셀룰로스나트륨","구연산","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"비타민나무퓨레","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3621","품목보고번호2017014715527","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한해당없음.","제품명비타민나무열매","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,"비타민나무열매농축액","사과농축액","감귤농축과즙액","과당","비타민C","사카린나트륨","비타민B1라우릴황산염","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
