"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","성분 및 원료1","성분 및 원료2","성분 및 원료3","비고1","비고2","비고3","번호...21","성분 및 원료","비고","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","번호15","번호16","번호17","번호18","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고15","비고16","비고17","비고18"
"1","번호1107","품목보고번호19890445014813","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한36개월","제품명침향총기원","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","기타가공품","기타가공품","비타민 C(고시형)","침향혼합추출액","식물혼합농축액","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1106","품목보고번호2017014715543","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한해당없음.","제품명침향추출액","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","침향나무수지가침착된수간목추출액","고형분1%이상",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1105","품목보고번호20190391582153","업소명(주)네추럴웨이 포천제2공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명침향혼합액","분류식품","업체명","(주)네추럴웨이 포천제2공장","소재지","경기도 포천시 군내면 용정경제로1길 48-60(1~3층)","1","2","3","정제수","기타 농산가공품","배농축액","","침향추출액","",NA,NA,NA,"4","5","6","7","8","9","10","11","12","13","14","프락토올리고당","식물혼합농축액","사양벌꿀","잔탄검","맥아추출액","인산","과.채가공품","기타가공품","기타가공품","기타가공품","기타가공품","","LJG컴파운드305","","","","","복분자추출분말","산사자추출분말","오미자농축분말","복합황금추출물","복합허브추출물C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1104","품목보고번호2019037647625","업소명호랑이건강원에프앤비 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명침향활력수","분류식품","업체명","호랑이건강원에프앤비 주식회사","소재지","경기도 안성시 서운면 바우덕이로 326","1","2","3","침향나무수지가침착된수간목분말","녹용추출액","참당귀농축액","침향분말","","",NA,NA,NA,"4","5","6","7","8","9","10","11","12","13","14","산수유농축액","벌꿀","홍삼농축액","지황농축액","복령농축액","대추농축액","타우린","프로폴리스","비타민B1염산염","비타민B2","비타민B6염산염","","","","","백복령농축액","","","","","","","15","16","17","18","비타민C","올리고당","정제수","자몽종자추출물","","","",""
"5","번호1103","품목보고번호19890445014858","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한제조일부터 12개월","제품명카라멜마끼아또 시럽","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","정제수","백설탕","액상과당","","","",NA,NA,NA,"4","5","6","7","8","9","10","11","12","13","14","식물성 경화유 혼합","혼합분유","카라멜소스","덱스트린","자당지방산에스테르","탄산수소나트륨","정제소금","수크랄로스","합성향료","합성향료","자당지방산에스테르","삼익우유성분함유크리머1","혼합 탈지분유","","말토덱스트린","S-570","","","","카라멜향","연유향","P-1670","15",NA,NA,NA,"안식향산나트륨",NA,NA,NA,"",NA,NA,NA
"6","번호1102","품목보고번호199306250067","업소명현대약품(주)","품목유형혼합음료","유통/소비기한제조일로부터 1년(병, 합성수지재)","제품명카로에프","분류식품","업체명","현대약품(주)","소재지","경상남도 합천군 율곡면 임북길 196",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","액상과당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1101","품목보고번호20080181270152","업소명(재)대구테크노파크 부설바이오산업지원센터","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명카리스마","분류식품","업체명","(재)대구테크노파크 부설바이오산업지원센터","소재지","대구광역시 달서구 성서공단로 46-17(대천동, 1동 1~2층, 2동 1층)","1","2","3","기타가공품","벌꿀","배농축과즙","알바린농축액","","",NA,NA,NA,"4","5","6","7","8","9",NA,NA,NA,NA,NA,"구연산","혼합허브추출물","드링크향","자일리톨","효소처리스테비아","정제수",NA,NA,NA,NA,NA,"","복합허브추출물D","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1100","품목보고번호198506140552261","업소명(주)엠에스씨(MSC)","품목유형혼합음료","유통/소비기한제조일로부터 15개월","제품명카봇사과","분류식품","업체명","(주)엠에스씨(MSC)","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","백설탕","덱스트린","구연산","","","",NA,NA,NA,"4","5","6","7","8","9","10",NA,NA,NA,NA,"젖산칼슘","비타민C","수크랄로스","정제수","과.채가공품","홍삼농축액(고시형)","식품첨가물혼합제제",NA,NA,NA,NA,"","","","","사과농축액","","사과향 엠에프-120446",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1099","품목보고번호198506140552260","업소명(주)엠에스씨(MSC)","품목유형혼합음료","유통/소비기한제조일로부터 15개월까지","제품명카봇오렌지","분류식품","업체명","(주)엠에스씨(MSC)","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","오렌지농축액","홍삼농축액","백설탕",NA,NA,NA,NA,NA,NA,"4","5","6","7","8","9","10","11","12","13",NA,"덱스트린","구연산","젖산칼슘","비타민C","수크랄로스","오렌지향","MF","오렌지향","MF","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1098","품목보고번호20000614238508","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명카페드롭탑 복숭아 아이스티","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","복숭아농축액","홍차추출분말","설탕","","","",NA,NA,NA,"4","5","6","7","8","9","10","11",NA,NA,NA,"수크랄로스","아세설팜칼륨","구연산","비타민C","혼합제제","혼합제제","합성향료","정제수",NA,NA,NA,"","","","","정제수, 규소수지,글리세린지방산에스테르,소르비탄지방산에스테르,카르복시메틸셀룰로오스나트륨","프로필렌글리콜,주정,정제수,합성향료,트리아세틴,천연향료","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
