"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","비고1","비고2","비고3","비고4","비고5","비고6","비고7","번호8","번호9","번호10","번호11","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고8","비고9","비고10","비고11","번호12","번호13","번호14","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고12","비고13","비고14"
"1","번호1007","품목보고번호20020623009855","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한합성수지제: 제조일로부터12개월까지, 금속캔: 제조일로부터 24개월까지","제품명코코팜 포도","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","청포도농축액","과.채가공품","당시럽","음료베이스","음료베이스","정제수","구연산삼나트륨","청포도과즙농축액(68˚ Bx)","나타드코코","","코코팜 포도 원제 제1A부(구연산,구연산삼나트륨,비타민C)","코코팜 포도 원제 2부 (합성착향료(포도향)","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1006","품목보고번호20100543066403","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한12개월","제품명코코팜 피치핑크 복숭아","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","정제수","당시럽","나타드코코","탈지분유","복숭아농축과즙","구연산","합성향료","","","나타드코코 젤리(베트남산)80%,설탕,정제수,구연산","국산","스페인산,배합함량:복숭아100%,복숭아과즙으로 환원기준 3.3%","","복숭아향","8","9","10","11","두류가공품","프로필렌글리콜","구연산삼나트륨","혼합제제","대두다당류","","","타피오카전분시럽,유화제",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1005","품목보고번호20030473071271","업소명건강한사람들 주식회사 2사업장","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명코코팜 피치핑크 복숭아","분류식품","업체명","건강한사람들 주식회사 2사업장","소재지","충청남도 홍성군 결성면 만해로230번길 11","1","2","3","4","5","6","7","정제수","당시럽","복숭아농축과즙","과.채가공품","탈지분유","식품첨가물혼합제제","두류가공품","","67% 고형분","65 Brix","나타드코코(나타드 코코 젤리80%, 백설탕, 정제수, 구연산)","","아와브레이크(타피오카전분시럽, 글리세린지방산에스테르, d-토코페롤(혼합형))","대두다당류","8","9",NA,NA,"식품첨가물혼합제제","음료베이스",NA,NA,"코코팜 피치핑크 복숭아 원제 제1A부(구연산, 구연산삼나트륨)","코코팜 피치핑크 복숭아 원제 제2부(합성향료(복숭아향), 프로필렌글리콜)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1004","품목보고번호19980449002534","업소명해태에이치티비주식회사","품목유형혼합음료","유통/소비기한제조일로부터 : PET(9개월까지) /  캔(12개월까지) / (실온)","제품명코코팜 피치핑크 복숭아","분류식품","업체명","해태에이치티비주식회사","소재지","충청남도 천안시 동남구 청당산업길 250(구룡동)","1","2","3","4","5","6","7","복숭아농축과즙","당시럽","탈지분유","대두다당류","나타드코코","식품첨가물혼합제제","식품첨가물혼합제제용액","","","","","","아와브레이크","코코람피치핑크복숭아 원제 제1A부","8","9",NA,NA,"식품첨가물혼합제제용액","정제수",NA,NA,"코코팜피치핑크복숭아 원제 제2부","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1003","품목보고번호20020623009856","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터: PET(9개월까지) / CAN(12개월까지)","제품명코코팜 피치핑크 복숭아","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","탈지분유","과.채가공품","정제수","식품첨가물혼합제제","식품첨가물혼합제제용액","식품첨가물혼합제제용액","복숭아농축과즙","","나타드코코","","아와브레이크, 타피오카 전분시럽, 글리세린지방산에스테르, d-토코페롤(혼합형)","코코팜피치핑크복숭아 원제 제1A부 구연산, 구연산삼나트륨","코코팜피치핑크복숭아 원제 제2부 합성착향료[복숭아향], 프로필렌글리콜","","8","9",NA,NA,"당시럽","대두",NA,NA,"","대두다당류",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1002","품목보고번호19710570001488","업소명주식회사 네이처셀 칠곡공장","품목유형혼합음료","유통/소비기한12월","제품명코코팜 피치핑크 복숭아","분류식품","업체명","주식회사 네이처셀 칠곡공장","소재지","경상북도 칠곡군 기산면 기산공단1길 21","1","2","3","4","5","6","7","복숭아클리어농축액","나타드코코","정제수","당시럽","탈지분유","대두다당류","식품첨가물혼합제제","65BX,복숭아과즙으로 3.3%","나타드코코 젤리80%,백설탕,정제수,구연산","","67%고형분","","","아와브레이크","8","9",NA,NA,"식품첨가물혼합제제","음료베이스",NA,NA,"코코팜피치핑크복숭아 원제 제1A부","코코팜피치핑크복숭아 원제 제2부",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1001","품목보고번호19920562023307","업소명대구경북능금농협음료가공공장","품목유형혼합음료","유통/소비기한제조일부터 12개월","제품명코코팜 피치핑크 복숭아","분류식품","업체명","대구경북능금농협음료가공공장","소재지","경상북도 군위군 의흥면 동부로 935-14","1","2","3","4","5","6","7","복숭아농축과즙","탈지분유","당시럽","과.채가공품류","정제수","식품첨가물혼합제제","두류가공품","65brix","","67% 고형분","나타드코코","","아와브레이크","대두다당류","8","9",NA,NA,"식품첨가물혼합제제","음료베이스",NA,NA,"코코팜 피치 핑크 복숭아 원제 제1A부","코코팜 피치 핑크 복숭아 원제 제2부",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1000","품목보고번호19710570001502","업소명주식회사 네이처셀 칠곡공장","품목유형혼합음료","유통/소비기한12월","제품명코코팜 피치핑크 복숭아-스쿨","분류식품","업체명","주식회사 네이처셀 칠곡공장","소재지","경상북도 칠곡군 기산면 기산공단1길 21","1","2","3","4","5","6","7","복숭아클리어농축액","나타드코코","정제수","당시럽","탈지분유","구연산","대두다당류",NA,NA,NA,NA,NA,NA,NA,"8","9","10","11","구연산삼나트륨","합성착","향료(복숭아향)","소포제",NA,NA,NA,NA,"12","13","14","아세설팜칼륨","수크랄로스","모노에스테르-P",NA,NA,NA
"9","번호999","품목보고번호19980449002518","업소명해태에이치티비주식회사","품목유형혼합음료","유통/소비기한금속캔:제조일로부터 12개월까지 / 합성수지제:제조일로부터 9개월까지","제품명코코팜 화이트 요구르트","분류식품","업체명","해태에이치티비주식회사","소재지","충청남도 천안시 동남구 청당산업길 250(구룡동)","1","2","3","4","5","6","7","요구르트베이스","나타드코코","탈지분유","대두다당류","정제수","식품첨가물혼합제제","당시럽","","나타드코코 젤리80%(베트남산)","","","","아와브레이크","","8","9",NA,NA,"식품첨가물혼합제제","음료베이스",NA,NA,"코코팜 화이트 요구르트 원제 제1A부(경기도 의왕시 제 1991-0001호)","코코팜 화이트 요구르트 원제 제2부(경기도 의왕시 제3호)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호998","품목보고번호20030473071306","업소명건강한사람들 주식회사 2사업장","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명코코팜 화이트 요구르트","분류식품","업체명","건강한사람들 주식회사 2사업장","소재지","충청남도 홍성군 결성면 만해로230번길 11","1","2","3","4","5","6","7","정제수","당시럽","샤베트믹스","과.채가공품","탈지분유","식품첨가물혼합제제","식품첨가물혼합제제","","67% 고형분","요구르트 베이스[백설탕, 탈지분유, 구연산, 유산균]","나타드코코[나타드코코 젤리 80%, 백설탕, 정제수, 구연산]","","아와브레이크[타피오카전분시럽, 글리세린지방산에스테르, d-토코페롤(혼합형)]","코코팜 화이트 요구르트 원제 제1A부","8","9",NA,NA,"두류가공품","음료베이스",NA,NA,"대두다당류","코코팜 화이트 요구르트 원제 제2부",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
