"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","번호14","번호15","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고13","비고14","비고15"
"1","번호2384","품목보고번호19860443015512","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명에스리턴 콜라겐엘라스틴 앰플","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","정제수","기타과당","콜라겐","과.채가공품","자일리톨","구연산(무수)","혼합제제","엘라스틴가수분해물","혼합제제","황금혼합추출물","혼합제제","구연산삼나트륨","","","피쉬콜라겐, 생선콜라겐, GT콜라겐","샤인머스캣혼합농축액","","구연산","샤인머스켓향","","히알루론산혼합제제","복합황금추출물","복숭아향","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2383","품목보고번호19990364004125","업소명블루원","품목유형혼합음료","유통/소비기한24개월","제품명에스엘미네랄","분류식품","업체명","블루원","소재지","경기도 화성시 서신면 염전길 30-14(1동 1층,2층)","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"프리파레이션K-22","모창출줄기","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2382","품목보고번호2017062837211","업소명(주)우영이앤티","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명에오스365","분류식품","업체명","(주)우영이앤티","소재지","제주특별자치도 제주시 임항로 270(건입동)","1","2","3","4","5","6","7","8","9","10",NA,NA,"땅콩새싹추출물","백설탕","감귤향","믹스후르츠향","정제수","진피 추출물 혼합추출물","사양벌꿀","구연산","배농축액","비타민C혼합분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2381","품목보고번호20070440079170","업소명(주)다원","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명에이드청포도","분류식품","업체명","(주)다원","소재지","충청북도 옥천군 청산면 인정1길 65","1","2","3","4","5","6","7","8","9","10",NA,NA,"백포도농축액","액상과당","백설탕","구연산","구연산삼나트륨","비타민C","효소처리스테비아","혼합제제류","청포도향","정제수",NA,NA,"65brix","","","","","","","그린색소","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2380","품목보고번호20040275056600","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명에이비씨주스","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","사과농축액","당근농축액","레드비트농축액",NA,NA,NA,NA,NA,NA,NA,NA,"","유기농사과농축액","유기농당근농축액","유기농레드비트농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2379","품목보고번호200903751499","업소명한국알카리수 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명에이수 플러스(A水+)","분류식품","업체명","한국알카리수 주식회사","소재지","경기도 여주시 강천면 다리골길 37-8","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","수산화마그네슘","수산화칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2378","품목보고번호200903751496","업소명한국알카리수 주식회사","품목유형혼합음료","유통/소비기한제조일부터  24 개월","제품명에이수88","분류식품","업체명","한국알카리수 주식회사","소재지","경기도 여주시 강천면 다리골길 37-8","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","수산화마그네슘","수산화칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2377","품목보고번호1989044501468","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명에이스화이바후레쉬","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,"홀리덱스트로스","배즙","구연산","산레드색소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2376","품목보고번호2009015604934","업소명(주)에이치비티","품목유형혼합음료","유통/소비기한12개월","제품명에이엠파워","분류식품","업체명","(주)에이치비티","소재지","부산광역시 기장군 일광읍 횡계길 7(B동 102호 재부산테크노파크 해양생물산업육성센터)","1","2","3","4","5","6","7","8","9","10","11","12","노니원액","액상차","건조서양자두농축액","포도농축액","구연산","식품첨가물혼합제제","아사이베리혼합분말","가시여지잎분말","보검선인장농축분말","부아메라","키토올리고당(고시형)","구아검","","산야초[어성초,오가피,배추,케일,치커리,파래,칡)","푸룬주스농축액","","","레몬미크론(물엿,레몬오일,아라비아검,시트랄)","(아사이주스45.96%,말토덱스트린51.79%,아라비아검2.25%)","그라비올라잎분말(뜨거운 물로 추출하여 필터 후 추출액을 사용)","백년초열매분말(뜨거운 물로 추출하여 필터 후 추출액을 사용)","부아메라분말(뜨거운 물로 추출하여 필터 후 추출액을 사용)","","","13","14","15","자몽종자추출물","스테비텐후레쉬","정제수","","",""
"10","번호2375","품목보고번호20110394009208","업소명(주)하티","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명에이엠피케이 부스터(AMPK Booster)","분류식품","업체명","(주)하티","소재지","강원도 홍천군 홍천읍 생명과학관길 84","1","2","3","4","5","6","7","8","9","10",NA,NA,"돌외잎주정추출분말(액티포닌®)(기능성원료인정제2013-8호)","레드자몽농축액","벌꿀","프락토올리고당","건조수박열매껍질","비타민C","갈락토올리고당","난소화성말토덱스트린(고시형)","구연산","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
