"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","비고1","비고2","비고3","비고4","비고5","비고6","번호7","번호8","번호9","번호10","번호11","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고7","비고8","비고9","비고10","비고11"
"1","번호5072","품목보고번호20090242118118","업소명(주)아람","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명단호박식혜","분류식품","업체명","(주)아람","소재지","대전광역시 대덕구 대전로1364번길 21(읍내동)","1","2","3","4","5","6","정제수","설탕","엿기름","쌀","과.채가공품","생강","","","","","단호박 분말","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5071","품목보고번호19950611073119","업소명동밀양농협가공사업소","품목유형혼합음료","유통/소비기한제조일로 부터 12개월(실온)","제품명단호박식혜","분류식품","업체명","동밀양농협가공사업소","소재지","경상남도 밀양시 단장면 표충로 89-62","1","2","3","4","5","6","설탕","멥쌀","엿기름","물엿","DL-사과산","안식향산나트륨","","","겉보리 엿기름","맥아물엿","","보존료","7","8","9","10","11","α-아밀라아제","셀룰라아제","혼합제제","단호박분말","정제수","효소제","효소제","가드엠-53신","",""
"3","번호5070","품목보고번호201906218112","업소명메리앤제주","품목유형혼합음료","유통/소비기한제조일로부터1년","제품명단호박식혜","분류식품","업체명","메리앤제주","소재지","제주특별자치도 제주시 성신로2길 21(연동)","1","2","3","4","5",NA,"엿기름","정제수","설탕","멥쌀","서양호박",NA,"","","","","단호박",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5069","품목보고번호200603682148","업소명삼남매식품","품목유형혼합음료","유통/소비기한12개월","제품명단호박식혜","분류식품","업체명","삼남매식품","소재지","경기도 광주시 곤지암읍 열미길 141(1층)","1","2","3","4",NA,NA,"정제수","백설탕","엿기름","쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5068","품목보고번호19970368029312","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한18개월(실온)","제품명단호박식혜","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4","5","6","곡류가공품","서양호박퓌레","백설탕","쌀","소스류","합성향료","엿기름추출액(1)","단호박퓨레","","","생생강농축액(생생강추출액 98.18%, 말토덱스트린 1.27%, 정제염 0.55%)","단호박향","7","8",NA,NA,NA,"비타민C","정제수",NA,NA,NA,"","",NA,NA,NA
"6","번호5067","품목보고번호1992044300376","업소명(주)팔도","품목유형혼합음료","유통/소비기한제조일로부터 1년 (12개월)","제품명단호박식혜","분류식품","업체명","(주)팔도","소재지","충청북도 진천군 광혜원면 광혜원산단길 88","1","2","3","4","5","6","엿기름추출액","백설탕","밥류","쌀당화액","서양호박퓌레","비타민C","이론수율 63%","","당화밥","이론수율 69.8%","","","7",NA,NA,NA,NA,"정제수",NA,NA,NA,NA,"",NA,NA,NA,NA
"7","번호5066","품목보고번호2013049416649","업소명완주로컬푸드영농조합법인꿈드림","품목유형혼합음료","유통/소비기한6개월","제품명단호박식혜","분류식품","업체명","완주로컬푸드영농조합법인꿈드림","소재지","전라북도 완주군 하이1길 52-5","1","2","3","4","5",NA,"엿기름","서양호박페이스트","멥쌀","정제수","백설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5065","품목보고번호202206551572","업소명옥경식품 제2공장","품목유형혼합음료","유통/소비기한제조일로부터 50일","제품명단호박식혜","분류식품","업체명","옥경식품 제2공장","소재지","충청남도 부여군 장암면 의자로1235번길 167-5","1","2","3","4","5",NA,"정제수","단호박씨앗","엿기름","쌀","설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5064","품목보고번호19970368029394","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한18개월","제품명단호박식혜오리지날","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4","5",NA,"정제수","서양호박퓌레","설탕","곡류가공품","쌀",NA,"","단호박 100 %","","엿기름추출액/엿기름21.05%, 정제수78.95%","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5063","품목보고번호2019051612627","업소명농업회사법인(주)나주시골농장","품목유형혼합음료","유통/소비기한냉장6일, 냉동12개월","제품명단호박찹쌀식혜","분류식품","업체명","농업회사법인(주)나주시골농장","소재지","전라남도 나주시 노안면 이슬촌길 267-7","1","2","3","4","5",NA,"정제수","엿기름","서양호박","찹쌀","설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
