"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26"
"1","번호2703","품목보고번호2009044006841","업소명(주)건영제과","품목유형혼합음료","유통/소비기한제조일로부터24개월까지","제품명아이스파워","분류식품","업체명","(주)건영제과","소재지","충청북도 옥천군 옥천읍 지용로 134-14(외 1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","정제수","기타과당","설탕","혼합제제","카르복시메틸셀룰로오스나트륨","DL-사과산","탈지분유","포도당","딸기향","사과향","복숭아향","소다향","레드칼라","그린색소","홍화황색소","효소처리스테비아","안식향산나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2702","품목보고번호20140493171125","업소명(주)웰그린김제공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월 까지","제품명아이스한라봉","분류식품","업체명","(주)웰그린김제공장","소재지","전라북도 김제시 봉두로 148-22","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","설탕","구연산","과.채가공품류","합성향료","합성향료","천연첨가물","비타민 C(고시형)","수크랄로스",NA,NA,NA,NA,NA,NA,NA,NA,"","백설탕","산도조절제","한라봉주스농축액","한라봉향","시트러스향","카로틴C-1264(카로틴)","","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2701","품목보고번호2019048889110","업소명농업회사법인(주)담음","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명아이스한라봉 주스","분류식품","업체명","농업회사법인(주)담음","소재지","전라북도 군산시 임피면 수반들길 17","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","설탕","구연산","과.채가공품류","합성향료","합성향료","천연첨가물","비타민 C(고시형)","수크랄로스",NA,NA,NA,NA,NA,NA,NA,NA,"","백설탕","산도조절제","한라봉주스농축액","한라봉향","시트러스향","카로틴C-1264(카로틴)","","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2700","품목보고번호19890445014618","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한12월(실온)","제품명아이스헛개수","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,"헛개나무열매추출농축액","칡즙농축액","니코틴산아미드","나한과추출물분말","레드칼라-L","카라멜색소","헛개향","라이스향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2699","품목보고번호2014049317125","업소명(주)웰그린김제공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월 까지","제품명아이스히비스커스레몬","분류식품","업체명","(주)웰그린김제공장","소재지","전라북도 김제시 봉두로 148-22","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,"과.채가공품","기타가공품","설탕","구연산","비타민 C(고시형)","효소처리루틴","자주색고구마색소","락색소","수크랄로스","아세설팜칼륨","정제수","천연향료",NA,NA,NA,NA,NA,"레몬주스농축액","히비스커스농축액","백설탕","","","","","","","","","천연레몬향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2698","품목보고번호19890445014237","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월","제품명아이슬","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"콜라겐펩타이드","비타민C","백설탕","과당","말티톨시럽 등",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2697","품목보고번호2020042406515","업소명(주)비엘헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명아이에스업케어","분류식품","업체명","(주)비엘헬스케어","소재지","충청북도 청주시 청원구 오창읍 양청송대길 39(주2동:1~2층, 주3동:1~2층, 부2동:1층, 부5동:1층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","정제수","프락토올리고당","배농축액","도라지농축액","베타인","지황농축액","L-아르지닌","구연산(무수)","DL-사과산","옥수수수염추출분말","이노시톨","타우린","참당귀추출분말","잔탄검","효소처리스테비아","구기자추출물분말","L-아스파트산","","","","","","","","","","옥수수수염추출농축액분말","","","당귀추출분말","","","구기자추출분말","","18","19","20","21","22","23","24","25","26","L-히스티딘","비타민B6염산염","자몽종자추출물","비타민B1염산염","판토텐산칼슘","캐롭분말","니코틴산아미드","비타민B2","엽산","","","","","","캐롭추출분말","","",""
"8","번호2696","품목보고번호202205378991","업소명(주)아루이","품목유형혼합음료","유통/소비기한유통기한  설정사유서 참조","제품명아이엠 하이드로겐","분류식품","업체명","(주)아루이","소재지","강원도 원주시 소초면 범골길 45-5(4동 1층)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"수소","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수에 충진","수소충진",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2695","품목보고번호20070358224397","업소명코스맥스엔비티(주)","품목유형혼합음료","유통/소비기한24개월","제품명아이오닉 퓨어","분류식품","업체명","코스맥스엔비티(주)","소재지","경기도 이천시 마장면 덕평로663번길 127-16","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","정제수","액상과당","식용당밀","노니주스","오미자추출농축액","생강농축액","블루베리농축액","리시움바바륨주스","연잎농축액","다시마엑기스","씨벅슨주스분말","베타인","아싸이퓨레","망고스틴퓨레","마카뿌리추출물","인디언구스베리","남가새열매","","","","","","생강혼합농축액","","","연잎혼합농축액","","","","","","","","백질려열매추출물","18","19","20","21","22","23","24","25","26","비타민미네랄혼합분말","구연산","옐로우독추출분말","마테추출분말","파인애플추출분말","효소처리스테비아","겨자무뿌리분말","안식향산나트륨","헛개나무과병추출분말","","","","","","","서양고추냉이분말","",""
"10","번호2694","품목보고번호20080395120631","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명아이즈 프로틴 아몬드유","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"혼합음료","두류가공품","정제수","식품첨가물","기타소금","과.채가공품","젤란검","제이인산칼륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,"아몬드액","분리대두단백","","대두레시틴","히말라야 크리스탈 핑크솔트","나한과추출분말","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
