"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11"
"1","번호4284","품목보고번호19980449002316","업소명해태에이치티비주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명몸에좋은헛개","분류식품","업체명","해태에이치티비주식회사","소재지","충청남도 천안시 동남구 청당산업길 250(구룡동)","1","2","3","4","5","6","7","8","9","10","11","헛개나무열매추출액","영지추출액","당시럽","구연산","비타민C","L-아스파라긴","말토덱스트린","카라멕색소","정제수","구연산삼나트륨","허브향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4283","품목보고번호20020623009838","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한12개월","제품명몸에좋은헛개","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","헛개나무열매추출액","영지엑기스","당시럽","구연산","비타민C","구연산삼나트륨","L-아스파라긴","덱스트린","카라멜색소","허브향","정제수","","영지추출액","","","","","","말토덱스트린","","",""
"3","번호4282","품목보고번호19890445014458","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한12월","제품명몸에좋은헛개골드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8",NA,NA,NA,"헛개나무열매추출액","액상과당","구연산","고려홍삼농축액(4년근)","혼합농축액h-30","영지추출액","벌꿀","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4281","품목보고번호20140395066223","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명몸이 반한 곤약 (깔라만시맛)","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9",NA,NA,"정제수","칼라만시원액","에리스리톨","혼합제제","구연산삼나트륨","구연산","천연오렌지향","수크랄로스","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4280","품목보고번호20140395066240","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명몸이 반한 곤약 젤리 (깔라만시맛)","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9",NA,NA,"정제수","칼라만시원액","정제곤약분말","혼합제제","구연산삼나트륨","구연산","천연오렌지향","수크랄로스","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4279","품목보고번호20140395066241","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명몸이 반한 곤약 젤리 (석류)","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9",NA,NA,"정제수","석류농축액","에리스리톨","혼합제제","구연산삼나트륨","구연산","석류향","수크랄로스","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4278","품목보고번호20140395066242","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명몸이 반한 곤약 젤리 (와일드망고맛)","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9","10",NA,"정제수","망고농축액","아프리카망고 종자추출물(IGOB131)(기능성원료인정제2015-14호)","혼합제제","구연산삼나트륨","구연산","정제곤약분말","망고향","수크랄로스","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4277","품목보고번호20140395066243","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명몸이 반한 곤약 젤리 (청포도맛)","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9","10",NA,"정제수","청포도농축액","사과농축액","혼합제제","구연산삼나트륨","구연산","정제곤약분말","청포도향","수크랄로스","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4276","품목보고번호20140395066244","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명몸이 반한 곤약 젤리 (풋사과맛)","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9","10",NA,"정제수","사과추출물분말","사과농축액","혼합제제","구연산삼나트륨","구연산","정제곤약분말","사과향","수크랄로스","비타민C",NA,"","(풋사과 추출분말)","","","","","","","","",NA
"10","번호4275","품목보고번호20140395066247","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명몸이 반한 곤약 젤리 청포도맛","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9","10",NA,"정제수","기타과당","청포도농축액","사과농축액","혼합제제","구연산삼나트륨","구연산","곤약분말","청포도향","수크랄로스",NA,"","(포도당액 100%)","","","","","","","","",NA
