"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고13","비고14","비고15","비고16","비고17","비고18","비고19"
"1","번호3240","품목보고번호19890445014422","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명속청수","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12","식물혼합추출액","L-카르니틴","구연산","아세설팜칼륨","안식향산나트륨","정제염","폴리소르베이트80","효소처리스테비아","l-멘톨","파인애플향","드링크향","사과향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3239","품목보고번호19970464172123","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명속큐","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","액상과당","귤껍질농축액","계피농축액","사철쑥농축액","생강농축액","감초농축액","매실농축액","대추농축액","사과식초","구연산","구연산삼나트륨","l-멘톨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","14","15","16","17","18","19","주정","L-카르니틴","황금복합추출물","효소처리스테비아","멘톨향","드링크향","정제수",NA,NA,NA,NA,NA,NA,NA
"3","번호3238","품목보고번호2013052104611","업소명농업회사법인황칠다담주식회사","품목유형혼합음료","유통/소비기한24개월","제품명속편애(愛)","분류식품","업체명","농업회사법인황칠다담주식회사","소재지","전라남도 장흥군 장흥읍 산단1로 40","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,"황칠진액","해당화진액","꾸지뽕진액","올리고당","시클로덱스트린","구연산","구연산삼나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3237","품목보고번호198804420041745","업소명풀무원건강생활(주)","품목유형혼합음료","유통/소비기한18개월","제품명속편한 진","분류식품","업체명","풀무원건강생활(주)","소재지","충청북도 증평군 도안면 원명로 35","1","2","3","4","5","6","7","8","9",NA,NA,NA,"정제수","프락토올리고당","사과농축액","배농축액","식물혼합추출물","알로에베라겔동결건조분말","매실농축액","양배추농축액","잔탄검",NA,NA,NA,"","","","","","","","양배추착즙액","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3236","품목보고번호19890445014819","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명속편한 청명","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11",NA,"헛개나무추출액","땅콩새싹추출물","액상과당","카복시메틸셀룰로스나트륨","카라멜색소","구연산","타우린","L-아스파라진","안식향산나트륨","효소처리스테비아","정제수",NA,"고형분 : 5.0%","고형분 : 7.0%이상","","","카라멜색소(BA)","","","","합성보존료","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3235","품목보고번호20070443110346","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명속풀어유","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","10","11","12","우유","혼합분유","설탕","식물성크림","기타가공품","사양벌꿀","혼합제제","헛개나무추출액","탄산수소나트륨","자당지방산에스테르","합성향료","정제수","","혼합탈지분유","","가공전지분1","대추농축액","","밀크씨슬추출분말","","","","헛개나무향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3234","품목보고번호202004731744","업소명손끝으로 만드는 세상","품목유형혼합음료","유통/소비기한제조일로 12개월","제품명손만세돼지감자음료수","분류식품","업체명","손끝으로 만드는 세상","소재지","충청남도 금산군 금성면 금산로 2044","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,"뚱딴지추출액","오미자청","자일리톨","구연산","효소처리스테비아","정제수","자몽종자추출물",NA,NA,NA,NA,NA,"돼지감자90,물10","오미자50,원당50","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3233","품목보고번호2019057102517","업소명친정농업회사법인(주)","품목유형혼합음료","유통/소비기한제조일로부터120일","제품명손찬단호박식혜","분류식품","업체명","친정농업회사법인(주)","소재지","경상북도 청도군 이서면 각계길 25","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,"엿기름","설탕","건조호박분말","멥쌀","정제수",NA,NA,NA,NA,NA,NA,NA,"맥아","","국산단호박분말","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3232","품목보고번호2019057102516","업소명친정농업회사법인(주)","품목유형혼합음료","유통/소비기한제조일로부터120일","제품명손찬식혜","분류식품","업체명","친정농업회사법인(주)","소재지","경상북도 청도군 이서면 각계길 25","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,"엿기름","설탕","멥쌀","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3231","품목보고번호19880442004523","업소명풀무원건강생활(주)","품목유형혼합음료","유통/소비기한1년","제품명솔루션 디엑스(Solution DX)","분류식품","업체명","풀무원건강생활(주)","소재지","충청북도 증평군 도안면 원명로 35","1","2","3","4","5","6","7","8","9","10","11","12","기타가공품","정제수","과.채가공품류","난소화성말토덱스트린(고시형)","기타가공품","치아씨앗","기타가공품","기타가공품","바질씨앗","아로니아주스농축액","매실과즙","유산균배양액","모링가씨앗추출액","","어린잎발효추출물{알로에야채발효추출물(프락토올리고당61.6%, 알로에베라즙18.398%, 팔라티노스8%, 케일6%, 신선초5%, 비타민0.5%, 치커리0.1%, 로메인0.1%, 적청경채0.1%, 바타비아레드0.05%, 경수채0.05%, 오크립0.05%, 배추0.05%, Lactobacillus plantarum PMO 080.002%)100%}","","바이탈뷰티발효추출물(프락토올리고당, 토마토, 프락토올리고당분말, 신선초, 배농축과즙, 샐러리, 치아시드, Lactobacillus plantarum PMO 08, Lactobacillus casei, Bifidobacterium infantis)","","열대혼합과일농축액(오렌지농축액79%, 망고농축액9%, 패션후르츠농축액6%, 구아바농축액3%, 바나나퓨레3%)","믹스베리농축액(크랜베리농축액45.56%, 블루베리과즙36.36%, 블랙베리농축액9.09%, 블랙커런트농축액9.09%)","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
