"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","비고1","비고2","비고3","비고4","비고5","비고6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14"
"1","번호3777","품목보고번호19890445014836","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24개월","제품명블랙다이아몬드 석류 스위트","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","석류주스","액상과당","구연산","효소처리스테비아","카복시메틸셀룰로스나트륨","정제수","블랙석류주스","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3776","품목보고번호19940474018479","업소명(주)중앙타프라","품목유형혼합음료","유통/소비기한24개월","제품명블랙라즈베리 골드","분류식품","업체명","(주)중앙타프라","소재지","충청남도 예산군 응봉면 예당로 1053-15","1","2","3","4","5","6","복분자농축액","산수유농축액","액상과당","구연산","DL-사과산","구연산삼나트륨",NA,NA,NA,NA,NA,NA,"7","8","9","10","11","12","13","14","비타민C","스테비올배당체","정제염","잔탄검","말토덱스트린","레드칼라색소","카라멜색소","복분자향",NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3775","품목보고번호20110084489495","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명블랙마카 파워업 2000","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","정제수","마카뿌리분말","대추야자농축액","사양벌꿀","비수리분말","향료","","블랙마카분말","","","비수리농축분말","천연향료/천연허니향","7","8","9","10","11","12","13",NA,"오자농축액","고량강뿌리줄기추출분말","흑마늘분말","산수유농축액","기타가공품","잔탄검","효소처리스테비아",NA,"","갈랑가(갈랑갈)추출물분말","흑마늘농축분말","","복합황금추출물","","",NA
"4","번호3774","품목보고번호1987055800373","업소명(주) 썬레이크푸드","품목유형혼합음료","유통/소비기한12개월","제품명블랙밀크티","분류식품","업체명","(주) 썬레이크푸드","소재지","경상북도 문경시 마성면 마성공단길 130","1","2","3","4","5","6","우유","백설탕","홍차향","홍차분말","당류가공품","밀크향",NA,NA,NA,NA,NA,NA,"7","8","9","10",NA,NA,NA,NA,"식염","젤란검","탄산수소나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3773","품목보고번호20070464094513","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명블랙밀크티","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","우유","설탕","홍차분말","당류가공품","정제소금","젤란검",NA,NA,NA,NA,NA,NA,"7","8","9","10","11",NA,NA,NA,"수크랄로스","탄산수소나트륨","홍차향","밀크향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3772","품목보고번호19970443044326","업소명(주)다정","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명블랙블루베리(Black Blueberry liquid)","분류식품","업체명","(주)다정","소재지","충청북도 진천군 이월면 장수로 371","1","2","3","4","5","6","정제수","블루베리농축액","프락토올리고당","Red grape농축액","용설란시럽","흑삼분말","","","","적포도농축액","유기농아가베시럽","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3771","품목보고번호2001046403875","업소명주식회사 하이세븐","품목유형혼합음료","유통/소비기한제조일로부터 3년","제품명블랙스타 라임주스 음료","분류식품","업체명","주식회사 하이세븐","소재지","충청남도 논산시 광석면 사계로 594-4","1","2","3","4","5","6","정제수","백설탕","라임농축액","라임향","구연산","식용색소황색제4호",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3770","품목보고번호2017037259055","업소명상아생명과학주식회사","품목유형혼합음료","유통/소비기한제조일로부터 실온에서 24개월","제품명블랙아웃","분류식품","업체명","상아생명과학주식회사","소재지","경기도 포천시 가산면 마정로 192(가동, 나동 1층)","1","2","3","4","5","6","정제수","식물혼합추출액","식물혼합농축액","액상차","프락토올리고당","영지농축액","","ACE추출액","","수국잎농축액","","","7",NA,NA,NA,NA,NA,NA,NA,"l-멘톨",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"9","번호3769","품목보고번호19970443044343","업소명(주)다정","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명블랙앤틀러스틱 골드","분류식품","업체명","(주)다정","소재지","충청북도 진천군 이월면 장수로 371","1","2","3","4","5","6","흑삼분말","홍삼액","식물혼합추출농축액","녹용추출액","D-말티톨","감귤농축액","흑삼분말액","꿀홍삼액","식물혼합추출농축액(S)","","","미숙감귤추출농축액","7","8",NA,NA,NA,NA,NA,NA,"구연산","비타민 C(고시형)",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA
"10","번호3768","품목보고번호19970443044344","업소명(주)다정","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명블랙앤틀러스틱 로얄","분류식품","업체명","(주)다정","소재지","충청북도 진천군 이월면 장수로 371","1","2","3","4","5","6","흑삼분말","홍삼액","식물혼합추출농축액","녹용추출액","감귤농축액","홍삼농축액","흑삼분말액","꿀홍삼액","식물혼합추출농축액(S)","","미숙감귤추출농축액","","7","8",NA,NA,NA,NA,NA,NA,"대추농축액","칡농축액",NA,NA,NA,NA,NA,NA,"","갈근농축액",NA,NA,NA,NA,NA,NA
