"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","번호18","번호19","성분 및 원료18","성분 및 원료19","비고18","비고19"
"1","번호3390","품목보고번호200904332321","업소명동화약품(주)","품목유형혼합음료","유통/소비기한24개월","제품명생생톤","분류식품","업체명","동화약품(주)","소재지","충청북도 충주시 충주산단1로 167(용탄동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","비타민C","이노시톨","비타민B2인산에스테르나트륨","구연산","파인애플후레바(엣센스)에이-961039","애플후레바(엣센스)13896","탄산수소나트륨","타우린","비타민B6염산염","액상과당","구연산삼나트륨","DL-사과산","효소처리스테비아","L-주석산","정제수","재제소금(재제조소금)","기타가공품","","","","","","","","","","","","","","","","","복합황금추출물",NA,NA,NA,NA,NA,NA
"2","번호3389","품목보고번호20020623009881","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명생생톤","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","비타민C","이노시톨","비타민B2인산에스테르나트륨","구연산","파인애플엣센스","사과에센스","탄산수소나트륨","타우린","비타민B6염산염","기타과당","구연산삼나트륨","DL-사과산","효소처리스테비아","L-주석산","정제수","재제소금(재제조소금)","기타가공품","","","","","파인애플후레바(엣센스)에이-961039","애플후레바(엣센스)13896","","","","","","","","","","","복합황금추출물",NA,NA,NA,NA,NA,NA
"3","번호3388","품목보고번호19970464172374","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명생생톤UP","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","비타민C","타우린","이노시톨","비타민B6염산염","비타민 B2 인산에스테르나트륨(고시형)","L-카르니틴","백설탕","분말결정포도당","구연산","구연산삼나트륨","DL-사과산","L-주석산","정제소금","효소처리스테비아","탄산수소나트륨","합성향료","합성향료","","","","","","","","","","","","","","","","애플후레바","파인애플향","18","19","합성향료","정제수","파인애플후레바",""
"4","번호3387","품목보고번호200904332328","업소명동화약품(주)","품목유형혼합음료","유통/소비기한24개월","제품명생생톤큐","분류식품","업체명","동화약품(주)","소재지","충청북도 충주시 충주산단1로 167(용탄동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","비타민C","타우린","이노시톨","비타민B6염산염","비타민B2인산에스테르나트륨","액상과당","구연산","구연산삼나트륨","DL-사과산","효소처리스테비아","L-주석산","탄산수소나트륨","애플후레바(엣센스)13896","파인애플후레바(엣센스)에이-961039","정제수","재제소금(재제조소금)","기타가공품","","","","","","","","","","","","","","","","","복합황금추출물",NA,NA,NA,NA,NA,NA
"5","번호3386","품목보고번호20020623009889","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월.","제품명생생톤큐","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","이노시톨","비타민C","비타민B2인산에스테르나트륨","구연산","파인애플엣센스","사과에센스","탄산수소나트륨","타우린","비타민B6염산염","기타과당","구연산삼나트륨","DL-사과산","효소처리스테비아","L-주석산","정제수","재제소금(재제조소금)","기타가공품","","","","","파인애플후레바(엣센스)에이-961039","애플후레바(엣센스)13896","","","","","","","","","","","복합황금추출물",NA,NA,NA,NA,NA,NA
"6","번호3385","품목보고번호200503682931","업소명(주)서은경푸드포라이프","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명생생허브티","분류식품","업체명","(주)서은경푸드포라이프","소재지","경기도 광주시 광남안로 48-5(태전동)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","식물성혼합추출물","매실추출액","벌꿀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3384","품목보고번호1980041500418","업소명(주)일화초정공장","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명생솔","분류식품","업체명","(주)일화초정공장","소재지","충청북도 청주시 청원구 내수읍 미원초정로 1358","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,"기타 농산가공품","백설탕","액상과당","농축사과과즙","구연산삼나트륨","비타민C","구연산","DL-사과산","에리스리톨","수크랄로스","레몬향","정제수",NA,NA,NA,NA,NA,"솔잎농축액","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3383","품목보고번호19940543023109","업소명북안동농협산약가공공장","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명생알로에","분류식품","업체명","북안동농협산약가공공장","소재지","경상북도 안동시 북후면 북평로 819","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,"알로에베라(고시형)","액상과당","젖산칼슘","구연산","구연산삼나트륨","젤란검","알로에향-E","알로에향","치자청색소","홍화황색소","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3382","품목보고번호1992056202361","업소명대구경북능금농협음료가공공장","품목유형혼합음료","유통/소비기한CAN:제조일로부터 2년, PET:제조일로부터 1년","제품명생알로에","분류식품","업체명","대구경북능금농협음료가공공장","소재지","경상북도 군위군 의흥면 동부로 935-14","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,"알로에베라(고시형)","액상과당","젖산칼슘","구연산","구연산삼나트륨","젤란검","알로에향2","알로에향E","치자청색소","홍화황색소","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3381","품목보고번호2013044306161","업소명(주)에그앤씨드 진천공장","품목유형혼합음료","유통/소비기한1년","제품명샤낙스","분류식품","업체명","(주)에그앤씨드 진천공장","소재지","충청북도 진천군 덕산읍 석장로 101","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","황칠나무추출물","황칠나무농축액","벌꿀","스쿠알렌(고시형)","허브추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","국내산,유기농,줄기,잎 사용","국내산,유기농,줄기,잎사용","국내산","아랍에미레이트산","국내산,페파민트오일",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
