"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","비고1","비고2","비고3","비고4","비고5","비고6","비고7","번호8","성분 및 원료8","비고8","번호9","번호10","번호11","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고9","비고10","비고11","번호12","번호13","성분 및 원료12","성분 및 원료13","비고12","비고13"
"1","번호3540","품목보고번호19890445014830","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24개월","제품명사과에이드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","사과농축액","정제수","설탕","구연산","사과향","수크랄로스","카라멜색소","","","","","합성향료","감미료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3539","품목보고번호20180491044164","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명사과에이드","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","정제수","백설탕","과.채가공품","구연산","합성향료","구연산삼나트륨","수크랄로스","","","사과주스농축액/칠레산/70~71Br","구연산(결정)/용도:산도조절제","사과 후레바 #36(SK-A0006)","용도:산도조절제","용도:감미료","8","식품첨가물혼합제제","베타카로틴-엘/용도:착색료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3538","품목보고번호2017055519564","업소명농업회사법인(주)동서웰빙(도동공장)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명사과에이드","분류식품","업체명","농업회사법인(주)동서웰빙(도동공장)","소재지","경상북도 영천시 도동구역길 71-10(도동)","1","2","3","4","5","6","7","정제수","백설탕","사과농축액","구연산","사과향","DL-사과산","비타민C",NA,NA,NA,NA,NA,NA,NA,"8","수크랄로스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3537","품목보고번호20000614238496","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명사과에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","사과농축액","설탕","합성향료","구연산","구연산삼나트륨","수크랄로스","혼합제제","사과주스농축액","","","","","","베타카로틴","8","정제수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3536","품목보고번호202003767991","업소명안성농산물가공협동조합","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명사과왕자아로공주","분류식품","업체명","안성농산물가공협동조합","소재지","경기도 안성시 보개면 보개원삼로 219(안성시농업기술센터 주10동 1층)","1","2","3","4","5","6",NA,"사과","아로니아열매","정제수","설탕","효소처리스테비아","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3535","품목보고번호19860443015250","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한18개월","제품명사노티스 더 탱탱","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","정제수","복숭아농축액","올리고당","콜라겐","사과농축액","구연산","배농축액","","","프락토올리고당","","","","","8","황금혼합추출물","","9","10","11","복숭아향분말","펙틴","효소처리스테비아","","","",NA,NA,NA,NA,NA,NA
"7","번호3534","품목보고번호19860443015328","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명사노티스 프리미엄 콜라겐 드링크 [SANOTIS PREMIUM COLLAGEN DRINK]","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","정제수","콜라겐","기타과당","구연산(무수)","에리스리톨","복숭아향","애플망고향","","GT콜라겐, 저분자피쉬콜라겐","액상과당","","","","","8","수크랄로스","","9","10","11","안식향산나트륨","효소처리스테비아","건조효모","","","엥게비타 지에스에이치, 건조효모(글루타치온)",NA,NA,NA,NA,NA,NA
"8","번호3533","품목보고번호19960571018197","업소명우일음료","품목유형혼합음료","유통/소비기한제조일로부터 PET,BOTTLE-18개월간  CAN-24개월간","제품명사루띠 무설탕 알로에","분류식품","업체명","우일음료","소재지","경상북도 예천군 예천읍 농공단지길 9","1","2","3","4","5","6","7","알로에즙액함유절편","벌꿀","액상과당","말토덱스트린","젤란검","젖산칼슘","구연산",NA,NA,NA,NA,NA,NA,NA,"8","비타민C",NA,"9","10","11","구연산삼나트륨","글리신","SY-GREEN",NA,NA,NA,"12","13","청포도향","정제수",NA,NA
"9","번호3532","품목보고번호1996057101899","업소명우일음료","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명사루띠 알로에(수출용)","분류식품","업체명","우일음료","소재지","경상북도 예천군 예천읍 농공단지길 9","1","2","3","4","5","6","7","알로에베라겔즙액함유절편","액상과당","백설탕","말토덱스트린","젖산칼슘","구연산","비타민C",NA,NA,NA,NA,NA,NA,NA,"8","구연산삼나트륨",NA,"9","10","11","글리신","켈코겔","알로에향",NA,NA,NA,"12",NA,"정제수",NA,NA,NA
"10","번호3531","품목보고번호198904450141011","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명사슴생녹용골드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","녹용혼합추출액","정제수","이소말토올리고당","카복시메틸셀룰로스나트륨","카라멜색소","비타민B2","허브향","사슴생녹용혼합추출액, 고형분 1.0%","","","","","","합성향료","8","안식향산나트륨","보존료","9",NA,NA,"구연산(결정)",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
