"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","비고1","비고2","비고3","비고4","비고5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","번호29","번호30","번호31","번호32","번호33","번호34","번호35","번호36","번호37","번호38","번호39","번호40","번호41","번호42","번호43","번호44","번호45","번호46","번호47","번호48","번호49","번호50","번호51","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","성분 및 원료29","성분 및 원료30","성분 및 원료31","성분 및 원료32","성분 및 원료33","성분 및 원료34","성분 및 원료35","성분 및 원료36","성분 및 원료37","성분 및 원료38","성분 및 원료39","성분 및 원료40","성분 및 원료41","성분 및 원료42","성분 및 원료43","성분 및 원료44","성분 및 원료45","성분 및 원료46","성분 및 원료47","성분 및 원료48","성분 및 원료49","성분 및 원료50","성분 및 원료51","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27","비고28","비고29","비고30","비고31","비고32","비고33","비고34","비고35","비고36","비고37","비고38","비고39","비고40","비고41","비고42","비고43","비고44","비고45","비고46","비고47","비고48","비고49","비고50","비고51"
"1","번호1047","품목보고번호2009051703098","업소명쿱푸드시스템 주식회사","품목유형혼합음료","유통/소비기한제조일부터 6개월","제품명컵식혜","분류식품","업체명","쿱푸드시스템 주식회사","소재지","전라남도 구례군 용방면 용산로 107-74","1","2","3","4","5","정제수","설탕","곡류가공품","쌀","과.채가공품","해양심층수","유기","엿기름","유기농쌀","생강농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1046","품목보고번호201304150524","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한18개월","제품명컷&풀","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","결정과당","말티톨시럽","난소화성말토덱스트린(고시형)","블루베리농축액","구연산",NA,NA,NA,NA,NA,"6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","오렌지추출물분말","구연산삼나트륨","젖산칼슘","패션후르츠향","황금복합추출물","젤란검","잔탄검","로커스트콩검","효소처리스테비아","용성비타민P","효모추출분말","감자","출분말","정제수","오렌지추출분말","오렌지추출물","아라비아검","패션후르츠향","오렌지오일","합성착향료(Benzaldehyde)","합성착향료(Hexanal)","합성착향료(Phenethyl alcohol)","시스-3-헥사놀","시스-3-헥세닐부티레이트","합성착향료(Ethyl maltol)","합성착향료(γ-Decalactone)","2-헥세노익에시트","카리오필렌","합성착향료(Methyl mercaptan)","합성착향료(Ethanol)","프로필렌글리콜","트리아세틴","정제수","황금복합추출물","황금농축액","감초농축액","대추농축액","황기농축액","덱스트린10","젖산","효모추출분말","효모추출물","감자","출분말","감자추출물","결정셀룰로오스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1045","품목보고번호19980308080368","업소명한미사이언스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명케어미 care me","분류식품","업체명","한미사이언스(주)","소재지","경기도 평택시 산단로 106(모곡동)","1","2","3","4","5","정제수","물엿","분리대두단백","분리유단백","백설탕","","저감미당","SUPRO 661","","","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"채종유(유채유 또는 카놀라유)","콩기름(대두유)","난소화성말토덱스트린(고시형)","혼합제제","소르비탄지방산에스테르","올리브유","가공유지","향료","곡류가공품","EPA 및 DHA 함유 유지(고시형)","혼합제제","구연산","카라기난","구연산칼륨","젤란검","수크랄로스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","미네랄프리믹스","","","어니스트 코코넛 MCT 오일","오트향","귀리페이스트","","비타민프리믹스","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1044","품목보고번호19890528010100","업소명보해양조(주) 장성공장","품목유형혼합음료","유통/소비기한제조일부터   24개월","제품명케어칸알파","분류식품","업체명","보해양조(주) 장성공장","소재지","전라남도 장성군 장성읍 보해길 41","1","2","3","4","5","정제수","결정과당","시클로덱스트린","D-소르비톨액","헛개나무열매추출분말",NA,NA,NA,NA,NA,"6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"구연산","드링크향","타우린","구연산삼나트륨","잔탄검",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1043","품목보고번호19860435013841","업소명코스맥스바이오","품목유형혼합음료","유통/소비기한제조일부터                             24  개월","제품명케이뉴트라콜라겐3.2진","분류식품","업체명","코스맥스바이오","소재지","충청북도 제천시 바이오밸리3로 30(왕암동)","1","2","3","4","5","정제수","생선콜라겐","액상과당","오디농축액","석류농축액","","(콜라겐-트리펩20G, 원물: 피쉬젤라틴)","","","(64Brix)","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"자일리톨","DL-사과산","석류향","비타민C","히알루론산혼합제제","효소처리스테비아","잔탄검",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","(합성향료)","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1042","품목보고번호2005007713141","업소명케이에이취팜(주)","품목유형혼합음료","유통/소비기한제조일로 부터 24개월","제품명케이엠파나탑액","분류식품","업체명","케이에이취팜(주)","소재지","서울특별시 강서구 공항대로41길 65(등촌동)","1","2","3","4","5","KHP태반추출농축액","L-아르기닌","올리고당","아미노믹스","석류 추출물",NA,NA,NA,NA,NA,"6","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"구연산","과일향","자몽추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1041","품목보고번호201603723262","업소명(주)엔바이오","품목유형혼합음료","유통/소비기한24개월","제품명케이청","분류식품","업체명","(주)엔바이오","소재지","경기도 포천시 화현면 화동로 319(가동 1층,2층 나동 1층)","1","2","3","4","5","정제수","식물혼합발효농축액","사과농축액","벌꿀","블루베리원액","","꽃증류액[칡꽃, 민들레, 국화꽃, 인동꽃, 칡뿌리, 약쑥, 헛개나무열매, 오리나무, 오미자, 감초, 뽕나무잎, 솔잎, 쇠비름, 정제수]","","","","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"천연향료(Lemon)","구연산(무수)","황금추출물","복합허브추출물","스테비올배당체",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","복합허브추출물C","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1040","품목보고번호201603723266","업소명(주)엔바이오","품목유형혼합음료","유통/소비기한24개월","제품명케이쿨 디(K-COOL D)","분류식품","업체명","(주)엔바이오","소재지","경기도 포천시 화현면 화동로 319(가동 1층,2층 나동 1층)","1","2","3","4","5","정제수","식물혼합발효농축액","벌꿀시럽","망고농축액","자일리톨","","［꽃혼합증류액13%/갈근(국산),약쑥(국산),칡꽃(중국산),국화꽃,헛개나무열매,오리나무,솔잎,뽕나무잎,인동꽃,감초,쇠비름,오미자,민들레］","벌꿀(잡화)","망고농축액","D-자일리톨","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D-소르비톨액","사과농축액","비타민C","드링크향","파인애플향","구연산삼나트륨","구연산(무수)","황금추출물","스테비아추출물","혼합허브추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D-소르비톨","사과농축액","비타민C","드링크향","파인애플향","구연산나트륨","무수구연산","대두(레시틴)함유","스테비아","복합허브추출물C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1039","품목보고번호201603723263","업소명(주)엔바이오","품목유형혼합음료","유통/소비기한24개월","제품명케이쿨(K-COOL)","분류식품","업체명","(주)엔바이오","소재지","경기도 포천시 화현면 화동로 319(가동 1층,2층 나동 1층)","1","2",NA,NA,NA,"혼합음료","기타가공품",NA,NA,NA,"케이청(액상)","건미환(환제)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1038","품목보고번호2016037232661","업소명(주)엔바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명케이쿨D","분류식품","업체명","(주)엔바이오","소재지","경기도 포천시 화현면 화동로 319(가동 1층,2층 나동 1층)","1","2","3","4","5","정제수","기타가공품","과.채가공품","벌꿀류","과.채가공품","","꽃증류액","배농축액","잡화꿀","보이즌베리농축액","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"향료","비타민C","구연산(무수)","기타가공품","글루콘산아연","기타가공품","스테비올배당체",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"사과향","","","황금추출물","","복합허브추출물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
