"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12"
"1","번호1473","품목보고번호202207205824","업소명(재)남해안권발효식품산업지원센터","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명정원 음료","분류식품","업체명","(재)남해안권발효식품산업지원센터","소재지","전라남도 순천시 승주읍 승주로 538-4(라동 1층)","1","2","3","4","정제수","배","액상차","수크랄로스","","배착즙액","순복숭아청","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1472","품목보고번호20180504025121","업소명주식회사내츄럴코어","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명정원 홍삼수","분류식품","업체명","주식회사내츄럴코어","소재지","전라북도 고창군 부안면 복분자로 434-50","1","2","3","4","정제수","프락토올리고당","식물혼합농축액","사양벌꿀","","","","","5","6","7","8","9","10","11","12","당류가공품","난소화성말토덱스트린분말(고시형)","홍삼향","홍삼농축액","구연산","타우린","구기자농축액","L-아르지닌","슈가시럽","","","","함수구연산","","",""
"3","번호1471","품목보고번호2021060692854","업소명주식회사 청담","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명정직한 하루 석류콜라겐","분류식품","업체명","주식회사 청담","소재지","경상남도 양산시 어실로 353-3(어곡동)","1","2","3",NA,"석류농축액","생선콜라겐펩타이드분말","기타가공품",NA,"(스페인산65brix)","","(로커스트콩검,잔탄검,타마린드검,한천,포도당)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1470","품목보고번호201901823881","업소명(주)엔피베버리지","품목유형혼합음료","유통/소비기한제조·가공일부터 12개월","제품명제너두 효소수","분류식품","업체명","(주)엔피베버리지","소재지","대구광역시 달서구 성서공단로11길 62(벤처공장2호관 5층 524호 호산동)","1","2",NA,NA,"정제수","기타가공품",NA,NA,"","엔자임믹스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1469","품목보고번호19950433026725","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명제네바 알로에 오리지널","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","알로에베라겔원액","백설탕","구연산","구연산삼나트륨","","","","","5","6","7","8","9","10","11","12","젤란검","젖산칼슘","잔탄검","비타민C","수크랄로스","알로에향","알로에베라겔건조분말","정제수","","","","","","월드G알로에MJF01","",""
"6","번호1468","품목보고번호2015041512544","업소명(주)충청바이오텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명제노핏 캐치콜B","분류식품","업체명","(주)충청바이오텍","소재지","충청북도 청주시 흥덕구 직지대로 398(B동 1,2층 송정동)","1","2","3","4","올리브유","오렌지농축액","자몽농축액","과당",NA,NA,NA,NA,"5","6",NA,NA,NA,NA,NA,NA,"비타민미네랄혼합분말","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1467","품목보고번호20080358277224","업소명서정쿠킹(주)","품목유형혼합음료","유통/소비기한6개월","제품명제대로 만든 경기식혜","분류식품","업체명","서정쿠킹(주)","소재지","경기도 이천시 신둔면 서이천로853번길 346-179","1","2","3","4","정제수","백설탕","엿기름","쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1466","품목보고번호20110493072379","업소명코엔에프(유)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명제로 레몬녹차","분류식품","업체명","코엔에프(유)","소재지","전라북도 김제시 금구면 봉두로 148-22","1","2","3","4","에리스리톨","레몬농축액","녹차농축액","구연산","감미료","68bx, 이스라엘산","국내산","산도조졀제","5","6","7","8","9","10","11","12","비타민C","홍화황색소","스테비올배당체","수크랄로스","합성향료","합성향료","합성향료","정제수","영양강화제","","Reb97","감미료","레몬향 #1","녹차향 #6","녹차향 #7",""
"9","번호1465","품목보고번호2010018127975","업소명주식회사 프로엠홀딩스","품목유형혼합음료","유통/소비기한제조일로 부터 12개월","제품명제로 레몬에이드","분류식품","업체명","주식회사 프로엠홀딩스","소재지","대구광역시 달서구 성서공단로 46-17(대천동,신기술산업지원센터 2동 10호지상2층)","1","2","3","4","정제수","레몬농축액","에리스리톨","구연산","","","","함수","5","6","7","8","9","10",NA,NA,"수크랄로스","아세설팜칼륨","정제소금","라임향","시트러스향","자몽향",NA,NA,"","","","F-21578A","JS-20304","F-22834",NA,NA
"10","번호1464","품목보고번호20110493072380","업소명코엔에프(유)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명제로 복숭아녹차","분류식품","업체명","코엔에프(유)","소재지","전라북도 김제시 금구면 봉두로 148-22","1","2","3","4","에리스리톨","복숭아농축액","녹차농축액","구연산","감미료","68bx, 이스라엘산","국내산","산도조절제","5","6","7","8","9","10","11",NA,"비타민C","락색소","스테비올배당체","수크랄로스","합성향료","합성향료","정제수",NA,"영양강화제","JS","Reb97","감미료","복숭아향 #5","녹차향 #6","",NA
