"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","성분 및 원료11","성분 및 원료12","비고11","비고12","번호13","번호14","번호15","번호16","번호17","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고13","비고14","비고15","비고16","비고17"
"1","번호4872","품목보고번호202006032816","업소명동아바이오헬스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명동아생강쌍화골드","분류식품","업체명","동아바이오헬스(주)","소재지","경상남도 밀양시 초동면 온천로 1365(가,나동)","1","2","3","4","5","6","7","8","9","10","쌍화추출액","백설탕","구연산","구연산삼나트륨","아스파탐","아세설팜칼륨","카라멜색소","쌍화향","안식향산나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4871","품목보고번호202006032819","업소명동아바이오헬스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명동아쌍화","분류식품","업체명","동아바이오헬스(주)","소재지","경상남도 밀양시 초동면 온천로 1365(가,나동)","1","2","3","4","5","6","7","8","9","10","쌍화추출액","백설탕","구연산","구연산삼나트륨","아스파탐","아세설팜칼륨","카라멜색소","허브향","안식향산나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4870","품목보고번호1999061119339","업소명동아메딕스","품목유형혼합음료","유통/소비기한24개월","제품명동아알로에","분류식품","업체명","동아메딕스","소재지","경상남도 밀양시 상남면 고노실길 16","1","2","3","4","5","6","7","8","9","10","백설탕","알로에베라겔분말","타우린","구연산","구연산삼나트륨","젖산칼슘","STEVIOSIDE 스테비오사이드","수크랄로스","알로에향","안식향산나트륨","","","","산도조절제","산도조절제","향미증진제","효소처리제","합성감미료","착향료","합성보존료","11","12","정제수","그린색소","","합성색소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4869","품목보고번호1999061119329","업소명동아메딕스","품목유형혼합음료","유통/소비기한24개월","제품명동아위풍당당가시오가피","분류식품","업체명","동아메딕스","소재지","경상남도 밀양시 상남면 고노실길 16","1","2","3","4","5","6","7","8","9","10","가시오갈피추출액","사과과증농축액","대추추출액","당귀추출액","천궁추출액","감초추출액","계피추출액","액상과당","구연산","DL-사과산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","12","구연산삼나트륨","L-글루타민산",NA,NA,"13","14","15","16","17","아스파탐","안식향산나트륨","카라멜","허니향","정제수",NA,NA,NA,NA,NA
"5","번호4868","품목보고번호1999061119330","업소명동아메딕스","품목유형혼합음료","유통/소비기한24개월","제품명동아좋은아침복분자","분류식품","업체명","동아메딕스","소재지","경상남도 밀양시 상남면 고노실길 16","1","2","3","4","5","6","7","8","9","10","복분자농축액","구연산","구연산삼나트륨","아스파탐","안식향산나트륨","정제수","백설탕","L-글루타민산나트륨","타우린","식용색소적색제40호","","함수구연산","","","","","정백당","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4867","품목보고번호202006032815","업소명동아바이오헬스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명동아좋은아침복분자","분류식품","업체명","동아바이오헬스(주)","소재지","경상남도 밀양시 초동면 온천로 1365(가,나동)","1","2","3","4","5","6","7","8","9","10","복분자농축액","백설탕","딸기농축액","구연산","DL-사과산","타우린","L-글루탐산나트륨","아스파탐","구연산삼나트륨","안식향산나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","12","식용색소적색제40호","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4866","품목보고번호1999061119320","업소명동아메딕스","품목유형혼합음료","유통/소비기한2년","제품명동아화이바플러스","분류식품","업체명","동아메딕스","소재지","경상남도 밀양시 상남면 고노실길 16","1","2","3","4","5","6","7","8","9","10","폴리덱스트로스(고시형)","백설탕","구연산(결정)","비타민C혼합분말","DL-사과산","아스파탐","식용색소황색제5호","안식향산나트륨","오렌지향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4865","품목보고번호202103374677","업소명콩그린식품 2공장","품목유형혼합음료","유통/소비기한냉장보관3개월","제품명동앤미식혜","분류식품","업체명","콩그린식품 2공장","소재지","경기도 고양시 일산서구 장자길 145(덕이동)","1","2","3","4","5",NA,NA,NA,NA,NA,"정제수","백설탕","엿기름","쌀","밀리타리스동충하초",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4864","품목보고번호2007055811127","업소명농업회사법인주식회사 한농","품목유형혼합음료","유통/소비기한12개월","제품명동양식혜","분류식품","업체명","농업회사법인주식회사 한농","소재지","경상북도 문경시 농암면 승리동길 9","1","2","3","4",NA,NA,NA,NA,NA,NA,"엿기름","멥쌀","설탕","정제수",NA,NA,NA,NA,NA,NA,"보리,국산","국산","정백당","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4863","품목보고번호19890528010108","업소명보해양조(주) 장성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명동원 꿀물","분류식품","업체명","보해양조(주) 장성공장","소재지","전라남도 장성군 장성읍 보해길 41","1","2","3","4","5","6","7","8","9","10","액상과당","이소말토올리고당","사양벌꿀","덱스트린","벌꿀향","비타민 C(고시형)","카라멜색소","수크랄로스","구연산삼나트륨","정제수","","IS850","","","SK-C5641","","P212","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
