"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","번호15","번호16","번호17","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고15","비고16","비고17","번호18","번호19","번호20","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고18","비고19","비고20"
"1","번호1543","품목보고번호20000449035853","업소명(주)쟈뎅","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명쟈뎅 새콤달콤 포도 에이드","분류식품","업체명","(주)쟈뎅","소재지","충청남도 천안시 서북구 정자1길 166","1","2","3","4","5","6","7","8","9","10","11","12","13","14","설탕","과.채가공품","구연산(무수)","DL-사과산","비타민C","혼합제제","구연산삼나트륨","수크랄로스","아세설팜칼륨","식용색소적색제40호","식용색소청색제1호","향료","향료","정제수","","포도 농축액","","","","시트러스향","","","","","","포도향","포도향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1542","품목보고번호20000449035266","업소명(주)쟈뎅","품목유형혼합음료","유통/소비기한12개월(실온)","제품명쟈뎅까페리얼모히또","분류식품","업체명","(주)쟈뎅","소재지","충청남도 천안시 서북구 정자1길 166","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,"정제수","백설탕","발사믹레몬시럽","구연산","애플민트혼합농축액","합성착향료","라임농축액","홍화황색소","치자황색소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1541","품목보고번호20000449035148","업소명(주)쟈뎅","품목유형혼합음료","유통/소비기한제조일부터 6월(상온)","제품명쟈뎅까페리얼핑크레몬에이드","분류식품","업체명","(주)쟈뎅","소재지","충청남도 천안시 서북구 정자1길 166","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,"레몬농축액","석류농축액","액상과당","백설탕","비타민C","구연산","레몬향분말","레몬향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1540","품목보고번호20000449035123","업소명(주)쟈뎅","품목유형혼합음료","유통/소비기한제조일부터6월(상온)","제품명쟈뎅리얼아이스레몬에이드","분류식품","업체명","(주)쟈뎅","소재지","충청남도 천안시 서북구 정자1길 166","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,"레몬농축액","액상과당","백설탕","비타민C","구연산","레몬향분말","레몬향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1539","품목보고번호20000449035124","업소명(주)쟈뎅","품목유형혼합음료","유통/소비기한제조일부터6월(상온)","제품명쟈뎅리얼핑크레몬에이드","분류식품","업체명","(주)쟈뎅","소재지","충청남도 천안시 서북구 정자1길 166","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,"레몬농축액","석류농축액","액상과당","백설탕","비타민C","구연산","레몬향분말","레몬향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1538","품목보고번호19890445014321","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명저녁양파진액","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12","13","14","저녁양파추출액","액상과당","이소말토올리고당","벌꿀","구연산","카르복시메틸셀룰로오스나트륨","카라멜색소","향료","안식향산나트륨","정제수","저녁양파추출액","양파","대추","생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","16","17","참당귀","두충","감초",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1537","품목보고번호20110149027281","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명저분자 몽모랑시 타트체리콜라겐스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,"체리농축액","체리과즙","생선콜라겐펩타이드","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨",NA,NA,NA,NA,NA,"65Brix이상, 타트체리, 터키산","NFC 타트체리착즙액, 13Brix이상, 터키산","저분자, 중국산","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1536","품목보고번호20110149027280","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명저분자 석류콜라겐스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,"석류농축액","생선콜라겐펩타이드","로커스트콩검","잔탄검","타마린드검","분말한천(고시형)","카라기난","염화칼륨",NA,NA,NA,NA,NA,NA,"고형분 60%, 65Brix, 스페인산","저분자, 중국산","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1535","품목보고번호20030415157527","업소명주식회사 노바렉스","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명저분자 엘라스틴 이너업","분류식품","업체명","주식회사 노바렉스","소재지","충청북도 청주시 흥덕구 오송읍 오송생명14로 80(부4동1층,부5동1층,주1동 2~3층)","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,"정제수","석류농축액","프락토올리고당","에리스리톨","생선콜라겐","석류향","엘라스틴가수분해물","잔탄검","비오틴(고시형)","감귤추출물","히알루론산","건조효모복합","우유단백질",NA,"","","","","저분자피쉬콜라겐펩타이드","","","","건조효모(비오틴함유)","","","","우유단백질농축",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1534","품목보고번호20040275056717","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명저분자 캡쳐 콜라겐 플러스","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","프락토올리고당","생선콜라겐펩타이드","석류농축액","체리농축액","레몬농축액","비타민C","회화나무열매추출분말","구연산","펙틴","석류향","효소처리스테비아","황금혼합추출물","산화아연","","","마린콜라겐펩타이드(300D)","","타트체리농축액","","","고형차","함수구연산","펙틴JMJ","혼합제제","스테비텐후레쉬","복합황금추출물","","15","16","17","5종혼합유산균","히알루론산혼합제제","엘라스틴가수분해물","","","프로라스틴(엘라스틴 가수분해물)","18","19","20","비오틴","비타민D3혼합제제","유단백농축분말","","","밀크세라마이드"
