"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","번호17","성분 및 원료17","비고17"
"1","번호3640","품목보고번호19970464172480","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한해당없음.","제품명비타C허브 플러스","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","정제수","기타과당","레몬그라스추출물","사과농축액","비타민C","파인애플향","민트향","구연산","말토덱스트린혼합제제","효소처리스테비아","L-카르니틴","구연산삼나트륨","비타민B2","니코틴산아미드","탄산수소나트륨","산화아연","","","레몬그라스추출물(배합함량 2.5%)","사과농축과즙","","","","","말토덱스트린","","","","","","","아연80%",NA,NA,NA
"2","번호3639","품목보고번호19990555093421","업소명농업회사법인(주)이비채","품목유형혼합음료","유통/소비기한제조일자로부터 24개월","제품명비타C허브플러스","분류식품","업체명","농업회사법인(주)이비채","소재지","경상북도 영천시 임고면 황강공단길 21","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","정제수","기타과당","사과농축액","비타민C","덱스트린","향료","레몬그라스추출물","구연산","구연산삼나트륨","혼합허브추출물","효소처리스테비아","향료","L-카르니틴","산화아연","탄산수소나트륨","비타민B2","","고과당","","","말토덱스트린","파인애플향","","","","복합허브추출물","","민트향","","아연","","","17","니코틴산아미드",""
"3","번호3638","품목보고번호20020623009944","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명비타그란 비타민C","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,"비타민C","비타민B2인산에스테르나트륨","과.채가공품","구연산","기타엿","효소처리스테비아","정제소금","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","주정","정제수",NA,NA,NA,"","","사과농축과즙(Clear72)","구연산(무수)","","","","오렌지향12048","파인애플향52065","딸기향72039","허니향S-3000","mL(v/v)","",NA,NA,NA,NA,NA,NA
"4","번호3637","품목보고번호2014060761413","업소명한보D&F","품목유형혼합음료","유통/소비기한2년","제품명비타레몬","분류식품","업체명","한보D&F","소재지","경상북도 경산시 압량읍 가일길28길 59-4(가동 한보D&F)","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,"레몬즙","액상과당","사과즙","구연산","착향료(레몬향)","안식향산나트륨","구연산삼나트륨","비타민B2","비타민 B","사카린산나트륨","소금","스테비텐","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3636","품목보고번호2016018171736","업소명(주)엔피베버리지","품목유형혼합음료","유통/소비기한제조·가공일부터 12개월","제품명비타마나 망고","분류식품","업체명","(주)엔피베버리지","소재지","대구광역시 달서구 성서공단로11길 62(지상4층 호산동, 대구TTP벤처 2공장)","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,"정제수","사과농축액","망고농축액","구연산","자일리톨","망고향","수크랄로스","DL-사과산","효소처리스테비아","니코틴산아미드","분말비타민A혼합제제","비타민 B2(고시형)","비타민D3혼합제제","비타민B6염산염혼합제제",NA,NA,"","DI사과농축액","","","","","","","","","","","","",NA,NA,NA,NA,NA
"6","번호3635","품목보고번호2016018171735","업소명(주)엔피베버리지","품목유형혼합음료","유통/소비기한제조？가공일로부터  12개월","제품명비타마나 석류","분류식품","업체명","(주)엔피베버리지","소재지","대구광역시 달서구 성서공단로11길 62(지상4층 호산동, 대구TTP벤처 2공장)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,"정제수","사과농축액","석류농축액","구연산","DL-사과산","자일리톨","과.채가공품","석류향","수크랄로스","효소처리스테비아","니코틴산아미드","분말비타민A혼합제제","판토텐산칼슘","비타민D3혼합제제","비타민B6염산염혼합제제",NA,"","DI사과농축액","","","","","베리주스","","","","","","","","",NA,NA,NA,NA
"7","번호3634","품목보고번호200206230095","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월/제조일로부터12개월(PET)","제품명비타마인","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,"농축사과과즙","비타민C","액상과당","구연산","구연산삼나트륨","타우린0","오렌지농축과즙","니코틴산아미드","판토텐산칼슘","효소처리스테비아","비타민B2","파인애플향","딸기향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3633","품목보고번호2002062300981","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한유리병,PET-제조일로부터 18개월/CAN-제조일로부터 24개월","제품명비타마인","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","농축사과과즙","비타민C","액상과당","구연산","구연산삼나트륨","타우린","오렌지엑기스","비타민B2","스테비텐라이트","니코틴산아미드","판토텐산칼슘","황금복합추출물","모노솔","파인애플향","딸기향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3632","품목보고번호19890445014534","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년(실온)","제품명비타맥스","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,"농축사과과즙","비타민C","액상과당","백설탕","구연산","타우린","비타민B1염산염","비타민B2","드링크향","합성착향료","해인25240","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3631","품목보고번호19940543023147","업소명북안동농협산약가공공장","품목유형혼합음료","유통/소비기한24개월","제품명비타맥스","분류식품","업체명","북안동농협산약가공공장","소재지","경상북도 안동시 북후면 북평로 819","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,"사과농축액","비타민C","액상과당","백설탕","구연산","타우린","비타민B1염산염","비타민B2","합성착향료","정제수",NA,NA,NA,NA,NA,NA,"72Brix","","","","","","","","드링크향","",NA,NA,NA,NA,NA,NA,NA,NA,NA
