"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","번호14","번호15","번호16","번호17","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고14","비고15","비고16","비고17"
"1","번호1853","품목보고번호20020383603622","업소명(주)팜텍코리아","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명유한m 화사안 시스타치온C","분류식품","업체명","(주)팜텍코리아","소재지","강원도 원주시 문막읍 문막공단길 59","1","2","3","4","5","6","7","8","9","10","11","12","13","청포도농축액","프락토올리고당","비타민C","구연산삼나트륨","효모추출물","β-시클로덱스트린","청포도향","타우린","L-시스테인염산염","효소처리스테비아","DL-사과산","자몽종자추출물","정제수","","","","구연산나트륨","글루타치온 50%","베타시클로덱스트린","합성향료","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1852","품목보고번호19920624042440","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명유후와친구들포도","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10","11","12","13","포도농축액","폴리덱스트로스","산도조절제","구연산","구연산삼나트륨","젖산칼슘","효소처리스테비아","천연착향료","포도향","천연착향료","포도향","SJ-N","결정과당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","15","16","17","비타민C","DL-알라닌","씨트러스추출물","정제수",NA,NA,NA,NA
"3","번호1851","품목보고번호2008033218033","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한냉장 150일","제품명육칠이 식혜","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"쌀","설탕","맥아농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"국내산","","엿기름(국내대맥70%,미국소맥30%)4%,정제수96%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1850","품목보고번호202103374672","업소명콩그린식품 2공장","품목유형혼합음료","유통/소비기한냉장보관3개월","제품명윤성순장모님 수정과","분류식품","업체명","콩그린식품 2공장","소재지","경기도 고양시 일산서구 장자길 145(덕이동)","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,"정제수","기타설탕","생강","백설탕","계피","곶감",NA,NA,NA,NA,NA,NA,NA,"","흑설탕100%","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1849","품목보고번호202103374671","업소명콩그린식품 2공장","품목유형혼합음료","유통/소비기한냉장보관3개월","제품명윤성순장모님식혜","분류식품","업체명","콩그린식품 2공장","소재지","경기도 고양시 일산서구 장자길 145(덕이동)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","백설탕","엿기름","쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1848","품목보고번호201203781719","업소명에이앤지","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명으뜸","분류식품","업체명","에이앤지","소재지","경기도 양평군 강하면 전의3길 90","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"탄산칼슘","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1847","품목보고번호19860443015530","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명으뜸아르기닌","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"정제수","L-아르지닌","에리스리톨","구연산","DL-사과산","사과농축액","혼합제제","효소처리스테비아","황금혼합추출물","수크랄로스",NA,NA,NA,"","","","무수구연산","","","사과향","","복합황금추출물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1846","품목보고번호200903721129","업소명농업회사법인정이가득주식회사","품목유형혼합음료","유통/소비기한제조일로 부터 12개월","제품명으라잣차 Pinemint","분류식품","업체명","농업회사법인정이가득주식회사","소재지","경기도 포천시 신북면 지동길 119","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","잣나무잎추출액","자일리톨","비타민C","매실농축액","천연향료(Fir(“pine”)needles 및 twigs)","효소처리스테비아","l-멘톨","그린색소","치자황색소","포도당","구연산","나트륨","","액상차","","","","천연잣잎향","","","","","","","","14",NA,NA,NA,"물엿",NA,NA,NA,"",NA,NA,NA
"9","번호1845","품목보고번호19920624042631","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명으？으？ 타우린 3000","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,"액상과당","타우린","구연산","D-소르비톨","드링크향","L글루타민산나틂","비타민C","수크랄로스","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1844","품목보고번호19890445014739","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24개월","제품명은행열알","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"은행추출물","식물혼합추출액","비타민 B2(고시형)","비타민B6염산염혼합제제","액상과당","카르복시메틸셀룰로오스나트륨","구연산","타우린","L-아스파라긴","효소처리스테비아분말",NA,NA,NA,"","","","","","","함수","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
