"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","비고1","비고2","비고3","비고4","비고5","비고6","비고7","번호8","번호9","번호10","번호11","번호12","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고8","비고9","비고10","비고11","비고12","번호13","번호14","번호15","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고13","비고14","비고15","번호16","번호17","번호18","번호19","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고16","비고17","비고18","비고19"
"1","번호161","품목보고번호19810606006529","업소명서강유업(주)","품목유형혼합음료","유통/소비기한제조일로부터 06개월까지","제품명홍루이젠 로얄밀크티 퀸","분류식품","업체명","서강유업(주)","소재지","경상남도 사천시 사남면 공단2로 20","1","2","3","4","5","6","7","유당분해우유","정제수","당류가공품","홍차","제이인산칼륨","폴리소르베이트60","천일염","","","비정제사탕수수당","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호160","품목보고번호19810606006513","업소명서강유업(주)","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명홍루이젠 밀크티 홍차","분류식품","업체명","서강유업(주)","소재지","경상남도 사천시 사남면 공단2로 20","1","2","3","4","5",NA,NA,"원유","탈지분유","홍차","정제수","제이인산칼륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호159","품목보고번호19810606006518","업소명서강유업(주)","품목유형혼합음료","유통/소비기한제조일로부터 06개월까지","제품명홍루이젠밀크티휴","분류식품","업체명","서강유업(주)","소재지","경상남도 사천시 사남면 공단2로 20","1","2","3","4","5","6","7","유당분해우유","제이인산칼륨","당류가공품","당류가공품","폴리소르베이트60","홍차","정제수","","","다크머스코바도비정제사탕수수당","브라운슈가베이스","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호158","품목보고번호200605542664","업소명영농조합법인순우리인삼","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명홍비체홍삼초","분류식품","업체명","영농조합법인순우리인삼","소재지","경상북도 영주시 풍기읍 전구로 166(A동)","1","2","3","4","5","6","7","순우리홍삼식초","액상과당","이소말토올리고당","백설탕","벌꿀","구연산","효소처리스테비아",NA,NA,NA,NA,NA,NA,NA,"8","9","10","11","12","정제수","순우리홍삼식초","현미식초","홍삼음료","순우리홍삼초",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호157","품목보고번호20040445073217","업소명(주)대일","품목유형혼합음료","유통/소비기한24월(실온)","제품명홍삼 골드","분류식품","업체명","(주)대일","소재지","충청북도 음성군 금율로 220-35","1","2","3","4","5","6","7","홍삼엑기스","칡농축액","당귀농축액","계피농축액","액상과당","구연산","글리신","","","","","","함수 구연산","","8","9","10","11","12","잔탄검","카라멜색소","정제수","효소처리스테비아","홍삼향","","","","","","13","14","15","덱스트린","백설탕","자몽종자추출액","제네덱스","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호156","품목보고번호19860443015443","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명홍삼 로얄 본액","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","정제수","포도농축액","아라비아검(고시형)","식물혼합추출농축액","배농축액","홍삼농축액(고시형)","사양벌꿀","","","아카시아검","","","","","8","9","10","11","12","서양자두농축액","구연산삼나트륨","식물혼합추출물","기타가공품","효소처리스테비아","푸룬농축액","","","복합허브추출물","","13",NA,NA,"구연산",NA,NA,"함수구연산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호155","품목보고번호19970464172489","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명홍삼 산삼배양근 골드","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","산삼배양근추출액","홍삼농축액","사철쑥농축액","참당귀농축액","대추농축액","천궁농축액","지황농축액","","고형분 60%, 진세노사이드 합 10mg/g","","","","","","8","9","10","11","12","타우린","비타민B1염산염","니코틴산아미드","구연산","구연산삼나트륨","","","","","","13","14","15","사양벌꿀","기타과당","잔탄검","","","","16","17","18","19","카라멜색소","허브향","인삼향","정제수","","","",""
"8","번호154","품목보고번호19970464172195","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명홍삼 프라임","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","홍삼농축액","대추농축액","계피농축액","당귀농축액","백설탕","구연산","구연산삼나트륨",NA,NA,NA,NA,NA,NA,NA,"8","9","10","11","12","액상카라멜","효소처리스테비아","정제염","홍삼향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호153","품목보고번호20070435177890","업소명(주)태경식품","품목유형혼합음료","유통/소비기한24개월","제품명홍삼 프로폴리스","분류식품","업체명","(주)태경식품","소재지","충청북도 제천시 바이오밸리1로 115(왕암동)","1","2","3","4","5","6","7","정제수","이소말토올리고당","사양벌꿀","프락토올리고당","기타가공품","프로폴리스추출액","홍삼농축액","","","","","기력원농축액","수용성프로폴리스추출물","고려홍삼농축액","8","9","10","11","12","구연산","펙틴","로열젤리제품","합성향료","구연산삼나트륨","","","엔자임티 로열젤리펩타이드","한방향(22111123)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호152","품목보고번호2014060761414","업소명한보D&F","품목유형혼합음료","유통/소비기한2년","제품명홍삼골드","분류식품","업체명","한보D&F","소재지","경상북도 경산시 압량읍 가일길28길 59-4(가동 한보D&F)","1","2","3","4","5","6","7","액상과당","대추엑기스","홍삼농축액","쌍화농축액","카라멜색소","홍삼향","구연산",NA,NA,NA,NA,NA,NA,NA,"8","9","10","11","12","구연산삼나트륨","안식향산나트륨","식염","말토덱스트린","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
