"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","성분 및 원료1","성분 및 원료2","성분 및 원료3","비고1","비고2","비고3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","성분 및 원료13","비고13"
"1","번호4722","품목보고번호20120543109116","업소명(재)경북바이오산업연구원 바이오벤처프라자","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명레몬꿀","분류식품","업체명","(재)경북바이오산업연구원 바이오벤처프라자","소재지","경상북도 안동시 풍산읍 산업단지길 88","1","2","3","벌꿀","레몬농축액","레몬향","","천연레몬농축액","천연레몬향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4721","품목보고번호198506140551671","업소명(주)엠에스씨(MSC)","품목유형혼합음료","유통/소비기한제조일로부터12개월(직광피하고 실온보관)","제품명레몬녹차","분류식품","업체명","(주)엠에스씨(MSC)","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","녹차농축액","백설탕","폴리덱스트로스","","","","4","5","6","7","8","9","10","11","12","구연산","구연산삼나트륨","비타민C","홍화황색소-200","레몬향","녹차향","수크랄로스","정제수","레몬주스농축액","","","","","#2","#3","","","",NA,NA,NA
"3","번호4720","품목보고번호19930571069157","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명레몬녹차","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","녹차농축액","레몬농축액","백설탕",NA,NA,NA,"4","5","6","7","8","9","10","11","12","구연산","폴리덱스트로스","구연산삼나트륨","비타민C","홍화황색소","수크랄로스","레몬향MF","녹차향MF","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4719","품목보고번호2011044502968","업소명주식회사 와우에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명레몬녹차","분류식품","업체명","주식회사 와우에프앤비","소재지","충청북도 음성군 생극면 중원대로 124","1","2","3","백설탕","레몬농축액","녹차농축액","","(65'bx)","(20'bx)","4","5","6","7","8","9","10","11",NA,"구연산","비타민C","수크랄로스","β-카로틴","맥아추출물분말","레몬향","녹차향","정제수",NA,"함수구연산","","","베타카로틴FC","말트익스트렉트","","","",NA,NA,NA,NA
"5","번호4718","품목보고번호20110493072195","업소명코엔에프(유)","품목유형혼합음료","유통/소비기한제조일로부터 12개월.","제품명레몬녹차","분류식품","업체명","코엔에프(유)","소재지","전라북도 김제시 금구면 봉두로 148-22","1","2","3","정제수","백설탕","레몬농축액","","","65Brix, 이스라엘산","4","5","6","7","8","9","10","11","12","녹차농축액","폴리덱스트로스","구연산","구연산삼나트륨","비타민 C(고시형)","수크랄로스","홍화황색소","레몬향","녹차향","국내산","","산도조절제","산도조절제","영양강화제","감미료","착색제","#1, 합성향료","#6, 합성향료","13","녹차향","#1, 합성향료"
"6","번호4717","품목보고번호20020623009604","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명레몬녹차","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","녹차농축액","레몬농축액","백설탕","고형분50%이상","65Brix","","4","5","6","7","8","9","10","11","12","구연산","구연산삼나트륨","폴리덱스트로스","비타민C","홍화황색소","수크랄로스","레몬향","녹차향","정제수","산도조절제","산도조절제","","영양강화제","","합성감미료","합성착향료","합성착향료","",NA,NA,NA
"7","번호4716","품목보고번호2019041307991","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명레몬녹차","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","설탕","레몬농축액","구연산","","65brix이상, 이스라엘산","","4","5","6","7","8","9","10","11","12","녹차농축액","폴리덱스트로스","구연산삼나트륨","비타민C","홍화황색소","수크랄로스","합성향료","합성향료","정제수","68Brix이상, 국산","","","","","","레몬향","녹차향","",NA,NA,NA
"8","번호4715","품목보고번호20190413079120","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명레몬녹차제로","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","에리스리톨","레몬농축액","녹차농축액","","이스라엘산","","4","5","6","7","8","9","10","11","12","구연산","비타민C","홍화황색소","스테비올배당체","수크랄로스","합성향료","합성향료","합성향료","정제수","","","","Red97","","레몬향","녹차향","녹차향","",NA,NA,NA
"9","번호4714","품목보고번호19860443015115","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한24개월,실온","제품명레몬디톡","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","레몬농축과즙","프락토올리고당","메이플시럽",NA,NA,NA,"4","5","6","7","8","9",NA,NA,NA,"고추추출물분말","사프란추출물","히알루론산","생선콜라겐","황금복합추출물","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4713","품목보고번호2013055510893","업소명주식회사 도투락","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명레몬만시","분류식품","업체명","주식회사 도투락","소재지","경상북도 영천시 화산면 유성길 75-4","1","2","3","칼라만시원액","레몬밤분말","L-아르기닌(기능성원료인정제2015-19호)","","레몬밤추출분말,프랑스산","","4","5","6","7","8",NA,NA,NA,NA,"구연산","수크랄로스","에리스리톨","안식향산","정제수",NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA
