"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","비고1","비고2","비고3","비고4","비고5","비고6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고7","비고8","비고9","비고10","비고11","비고12","번호13","번호14","번호15","번호16","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고13","비고14","비고15","비고16","번호17","번호18","번호19","번호20","번호21","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고17","비고18","비고19","비고20","비고21"
"1","번호511","품목보고번호20110527046140","업소명(주)새암푸드먼트","품목유형혼합음료","유통/소비기한제조일로부터 실온10개월","제품명프리미엄 생강식혜 1˚茶(실온)","분류식품","업체명","(주)새암푸드먼트","소재지","전라남도 영광군 묘량면 영대로2길 23-15(외1)","1","2","3","4","5","6","엿기름","설탕","기타엿","생강","멥쌀","정제수","유기농,국산","유기농","생강조청","국산","유기농,국산","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호510","품목보고번호19970464172526","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명프리미엄 석류콜라겐","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","석류농축액","생선콜라겐분말","아라비아검(고시형)","사과농축액","액상과당","구연산","","저분자피쉬콜라겐","아카시아화이바","","","","7","8","9","10","11","12","구연산삼나트륨","비타민C","코치닐추출색소","석류향","효소처리스테비아","정제수","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호509","품목보고번호2012049904215","업소명(주)앤앤비","품목유형혼합음료","유통/소비기한첨부파일 참조","제품명프리미엄 수소나노버블수","분류식품","업체명","(주)앤앤비","소재지","전라북도 순창군 인계면 인덕로 427-122","1","2",NA,NA,NA,NA,"지하수","수소",NA,NA,NA,NA,"지하암반수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호508","품목보고번호19970464172517","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명프리미엄 스트로베리","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","딸기농축액","기타과당","구연산","구연산삼나트륨","아라비아검","비타민C","","","","","아카시아식이섬유","","7","8","9","10",NA,NA,"효소처리스테비아","딸기향","펙틴","정제수",NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호507","품목보고번호20110084489525","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명프리미엄 아르기닌 7000","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","정제수","L-아르지닌","구연산","열대과일혼합농축액","효소처리스테비아","혼합제제","","","함수구연산","열대혼합과일농축액","","열대과일향","7","8","9","10","11","12","프락토올리고당","타우린","기타가공품","비타민B6염산염","비타민B1염산염","비타민B2","","","복합황금추출물","","","","13","14","15","16","오르니틴염산염","마카뿌리분말","수박분말","L-아스파트산","","블랙마카분말","수박추출분말","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호506","품목보고번호20110149027408","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명프리미엄 아르기닌 7000","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","정제수","L-아르지닌","구연산(무수)","블루베리농축액","포도농축액","마카추출분말","","","","미국산","적포도","","7","8","9","10","11","12","비타민C","아로니아농축액","효소처리스테비아","헛개나무열매추출분말","비수리추출분말","수크랄로스","","폴란드산","","","","","13","14","15","16","글루콘산아연","구연산삼나트륨","분말비타민B","타우린","","","","","17","18","19","20","21","비타민B12, 혼합제제","오르니틴염산염","L-아스파트산","L-카르니틴","페룰린산","","","","","L-시트룰린"
"7","번호505","품목보고번호19890401002266","업소명주식회사백천바이오텍(Biotech)","품목유형혼합음료","유통/소비기한제조일로부터 36개월까지","제품명프리미엄 아카시아 꿀차","분류식품","업체명","주식회사백천바이오텍(Biotech)","소재지","강원도 양구군 양구읍 학안로 78-12","1","2","3","4",NA,NA,"정제수","벌꿀","기타가공품","안식향산나트륨",NA,NA,"","아카시아꿀(국산)","제품명:프로폴리스액2","합성보존료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호504","품목보고번호20190391582177","업소명(주)네추럴웨이 포천제2공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명프리미엄 아티초크 앰플","분류식품","업체명","(주)네추럴웨이 포천제2공장","소재지","경기도 포천시 군내면 용정경제로1길 48-60(1~3층)","1","2","3","4","5","6","정제수","알룰로오스","자일리톨","식물혼합농축액","아티초크 추출물(기능성원료인정제2010-8호)","시클로덱스트린시럽","","","","","","","7","8","9","10","11","12","천연향료","인산","변성전분","혼합제제","구연산(무수)","기타가공품","","","","","","복합황금추출물","13","14","15",NA,"스테비올배당체","기타가공품","나한과추출물분말",NA,"","복합허브추출물C","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호503","품목보고번호19920562023235","업소명대구경북능금농협음료가공공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명프리미엄 알로에 베라 드링크 망고","분류식품","업체명","대구경북능금농협음료가공공장","소재지","경상북도 군위군 의흥면 동부로 935-14","1","2","3","4","5","6","알로에베라잎(껍질제외)","즙액절편","액상과당","망고농축액","알로에베라잎(껍질제외)","말토덱스트린",NA,NA,NA,NA,NA,NA,"7","8","9","10","11","12","백설탕","젤란검","구연산삼나트륨","구연산","벌꿀","젖산칼슘",NA,NA,NA,NA,NA,NA,"13","14","15","16","비타민C","카로틴","코치닐추출색소","망고향",NA,NA,NA,NA,"17",NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호502","품목보고번호19920562023246","업소명대구경북능금농협음료가공공장","품목유형혼합음료","유통/소비기한제조일로부터 18월","제품명프리미엄 알로에 베라 드링크 키위","분류식품","업체명","대구경북능금농협음료가공공장","소재지","경상북도 군위군 의흥면 동부로 935-14","1","2","3","4","5","6","알로에베라겔즙액절편","액상과당","키위농축액","말토덱스트린","알로에베라잎(껍질제외)","백설탕",NA,NA,NA,NA,NA,NA,"7","8","9","10","11","12","젤란검","구연산삼나트륨","구연산","벌꿀","젖산칼슘","비타민C",NA,NA,NA,NA,NA,NA,"13","14",NA,NA,"키위향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
