"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","비고1","비고2","비고3","비고4","비고5","비고6","번호7","번호8","번호9","번호10","번호11","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고7","비고8","비고9","비고10","비고11","번호12","번호13","성분 및 원료12","성분 및 원료13","비고12","비고13","번호14","번호15","번호16","번호17","번호18","번호19","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고14","비고15","비고16","비고17","비고18","비고19"
"1","번호2613","품목보고번호2021060692849","업소명주식회사 청담","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명알로에 콜라겐 스틱","분류식품","업체명","주식회사 청담","소재지","경상남도 양산시 어실로 353-3(어곡동)","1","2","3","4","5","6","알로에베라겔원액","청포도농축액","생선콜라겐펩타이드분말","기타가공품","구연산","비타민C","","(칠레산)","(중국산)","푸드겔(로커스트콩검,잔탄검,분말한천,타마린드검,포도당)","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2612","품목보고번호20110149027373","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명알로에 콜라겐 스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","알로에베라겔원액","청포도농축액","생선콜라겐펩타이드분말","비타민C","로커스트콩검","잔탄검",NA,NA,NA,NA,NA,NA,"7","8","9","10","11","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2611","품목보고번호199306250064","업소명현대약품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명알로에 탑","분류식품","업체명","현대약품(주)","소재지","경상남도 합천군 율곡면 임북길 196","1","2","3","4","5","6","알로에베라잎(껍질제외)","배농축액","액상과당","구연산","체리과즙","잔탄검",NA,NA,NA,NA,NA,NA,"7","8","9","10","11","소르빈산칼륨","구연산삼나트륨","레몬라임향","무스카트향","그레이프후르츠향",NA,NA,NA,NA,NA,"12","13","체리향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2610","품목보고번호20110149027296","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명알로에&콜라겐C","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","알로에농축액","청포도농축액","사과농축액","생선콜라겐펩타이드분말","엘라스틴가수분해물","비타민C",NA,NA,NA,NA,NA,NA,"7","8","9","10","11","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난",NA,NA,NA,NA,NA,"12","13","염화칼륨","히알루론산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2609","품목보고번호2007046409473","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명알로에(수출용)","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","알로에베라겔크러쉬","알로에분말","백설탕","액상과당","구연산","젖산칼슘",NA,NA,NA,NA,NA,NA,"7","8","9","10","11","구연산삼나트륨","비타민C","젤란검","알로에향1","알로에향",NA,NA,NA,NA,NA,"12","13","벌꿀","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2608","품목보고번호19890445014550","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년(실온)","제품명알로에100","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","알로에베라분말","농축사과과즙","포도농축과즙","생선콜라겐","대두추출물분말","비타민C",NA,NA,NA,NA,NA,NA,"7","8","9","10","11","아미노산믹스","합성착향료","구연산","구연산삼나트륨","합성보존료",NA,NA,NA,NA,NA,"12","13","액상과당","치자청색소",NA,NA,"14","15","16","17","18","19","홍화황색소","젖산칼슘","돈태반가수분말","효소처리스테비아","카르복시메틸셀룰로오스나트륨","정제수",NA,NA,NA,NA,NA,NA
"7","번호2607","품목보고번호1995061107327","업소명동밀양농협가공사업소","품목유형혼합음료","유통/소비기한2년","제품명알로에가족","분류식품","업체명","동밀양농협가공사업소","소재지","경상남도 밀양시 단장면 표충로 89-62","1","2","3","4","5","6","기타가공품","기타과당","젖산칼슘","구연산","구연산삼나트륨","알로에향","알로에베라겔","","","","","","7","8","9","10","11","청포도향","치자청색소","정제수","홍화황색소","젤란검","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2606","품목보고번호19960458039670","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명알로에농장","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","정제수","설탕","알로에베라겔즙","알로에베라겔농축분말","구연산","젖산칼슘","","","","100:1","","","7","8","9","10","11","젤란검","비타민C","구연산삼나트륨","혼합제제","향료","","","","그린칼라 K-3526/C","드링크 후레바 K-0806081","12","13","향료","향료","화이트그레이프후레바","청포도향 FAC-04041","14",NA,NA,NA,NA,NA,"스테비올배당체",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"9","번호2605","품목보고번호20070464094134","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명알로에드림(수출용)","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","알로에베라겔절편","백설탕","과당","구연산","젖산칼슘","젤란검",NA,NA,NA,NA,NA,NA,"7","8","9","10","11","구연산삼나트륨","비타민C","식용색소황색4호","식용색소청색1호","알로에향1",NA,NA,NA,NA,NA,"12","13","알로에향2","망고향",NA,NA,"14",NA,NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2604","품목보고번호20100543066802","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET : 제조일로부터 24개월, CAN : 제조일로부터 36개월","제품명알로에망고맛","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","정제수","알로에베라겔즙","백설탕","과.채가공품","구연산","젖산칼슘","","태국산/알로에베라주스 54.9%, 알로에베라 45%, 구연산 0.1%","","알로에베라겔파우더, 멕시코산, 알로에로 환산시 15%","","","7","8","9","10","11","합성향료","비타민C","젤란검","혼합제제","구연산삼나트륨","망고향","","","글리세린, 글리세린지방산에스테르, 정제수, 베타카로틴, 비타민 E","","12","13","수크랄로스","기타과당","감미료","","14",NA,NA,NA,NA,NA,"적양배추색소",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
