"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","번호19","번호20","성분 및 원료19","성분 및 원료20","비고19","비고20"
"1","번호1203","품목보고번호19970570162272","업소명경북과학대학식품공장","품목유형혼합음료","유통/소비기한24월","제품명천지개벽","분류식품","업체명","경북과학대학식품공장","소재지","경상북도 칠곡군 기산면 지산로 520","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","정제수","액상과당","헛개나무열매추출농축액","배농축액","타우린","울금추출물","구연산","혼합과일향","홍삼농축액","L-알라닌","DL-사과산","니코틴산아미드","벌꿀향","비타민 B1(고시형)","비타민B2","발효식초","황금복합추출물","아미노산혼합분말","","","","","","","","","","","","","","","","오이발효식초","","아미노리버믹스 L- (루이신,이소루이신,발린,아르기닌,글루타민,메티오닌,알라닌)",NA,NA,NA,NA,NA,NA
"2","번호1202","품목보고번호2002043905030","업소명보은제약주식회사","품목유형혼합음료","유통/소비기한2년","제품명천지산삼배양액","분류식품","업체명","보은제약주식회사","소재지","충청북도 보은군 산외면 내북산외로 684","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,"산삼배양근추출물","혼합추출물","프락토올리고당","액상과당","비타민B6염산염","비타민 B1(고시형)","니코틴산아미드","스테비올배당체","구연산","허브향","안식향산나트륨(보존료)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1201","품목보고번호20060467265161","업소명향토농산홍삼사업부","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명천지연산삼배양근","분류식품","업체명","향토농산홍삼사업부","소재지","충청남도 금산군 제원면 송림길 166","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,"산삼배양근추출액","산삼배양근생체","상황버섯복합추출액","영지버섯추출농축액","산삼배양근추출액","비타민C","허브향","구연산","자몽종자추출물","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"고형분0.3%","국산","상황버섯농축액, 고형분65%이상","영지버섯농축액, 고형분65%이상","명품산삼배양근액정(품목보고번호:20060467265158)","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1200","품목보고번호200106277631","업소명(주)대승","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명천지인","분류식품","업체명","(주)대승","소재지","제주특별자치도 제주시 남조로3길 13","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"스모크향","액상과당","치자청색소","치자황색소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1199","품목보고번호2004046721311","업소명금산인삼약초영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명천지인천마진액","분류식품","업체명","금산인삼약초영농조합법인","소재지","충청남도 금산군 복수로 123","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,"천마추출액","오가피추출액","눈꽃누에동충하초추출액","칡뿌리추출액","당귀추출액","천궁추출액","감초추출액","복분자추출액","고과당","벌꿀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1198","품목보고번호202305013261","업소명(주)신동문","품목유형혼합음료","유통/소비기한1년","제품명천현 율곡수","분류식품","업체명","(주)신동문","소재지","경기도 파주시 법원읍 자운서원로 410-10(2층)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","팔라티노스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1197","품목보고번호20110467162185","업소명농업회사법인(주) 케이앤바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명천황 프레스티지","분류식품","업체명","농업회사법인(주) 케이앤바이오","소재지","경상남도 함양군 서상면 서상로 217","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","흑마늘농축액","홍삼농축액","벌꿀","마카추출분말","구기자농축액","산수유농축액","L-아르지닌","5종혼합유산균","비타민C","타우린","대두레시틴분말(고시형)","옥타코사놀분말(고시형)","글루콘산아연","기타가공품","정제수","비오틴","대추농축액","프락토올리고당","(효소발효황제마늘농축액(고형분60%, 국산))","(고형분60%, 6년근, 국산, 4.5mg/g)","(잡화꿀, 국산)","(페루산)","(고형분 60%, 중국산)","(고형분 60%, 국산)","L-아르기닌(분말, 인도네시아산)","(분말, 국산)","(분말, 중국산)","(분말, 중국산)","(분말, 미국산)","(분말, 미국산, 원료순도 60%)","(분말, 미국산)","(복합마늘추출물(국산, 천연보존제))","","(분말,프랑스산)","(고형분30%,국산)","(국산)","19","20","칡농축액","참당귀농축액","(갈근,고형분30%,국산)","(고형분60%,국산)"
"8","번호1196","품목보고번호202104170142","업소명성신푸드","품목유형혼합음료","유통/소비기한1년","제품명철원오대쌀 식혜","분류식품","업체명","성신푸드","소재지","강원도 철원군 김화읍 외골길 17-31","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","설탕","엿기름","멥쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","(국내산)","(철원유기농쌀)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1195","품목보고번호200703720229","업소명숭인내추럴팜 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명청간액A","분류식품","업체명","숭인내추럴팜 주식회사","소재지","경기도 포천시 일동면 영일로764번길 57","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,"황산마그네슘","배농축액","프락토올리고당","스테비올배당체","락튜로스","구연산","자몽농축액","안식향산","레몬향","호두추출물","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1194","품목보고번호20000614238402","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명청귤캐모마일에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,NA,"과.채가공품","캐모마일추출물분말","설탕","구연산","구연산삼나트륨","비타민C","수크랄로스","아세설팜칼륨","합성향료","합성향료","엿류","식용색소황색제4호","정제수",NA,NA,NA,NA,NA,"청귤농축액","","","","","","","","청귤향SK-20-06821","캐모마일향SK-21-00196","맥아엿","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
