"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","번호...36","성분 및 원료","비고","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고9","비고10","비고11","비고12","비고13","비고14","비고15"
"1","번호3470","품목보고번호20060512128274","업소명좋은영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명삼채하고 강(황)한하루","분류식품","업체명","좋은영농조합법인","소재지","전라남도 나주시 노안면 이슬촌길 87","1","2","3","4","5","6","7","8","강황가루","건해삼채","에리스리톨","수크랄로스","난소화성말토덱스트린(고시형)","비타민C","식물혼합추출물","정제수","동결건조된 강황","동결건조된 삼채","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3469","품목보고번호2002046726820","업소명자연과사람 영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명삼천년기 구기자 골드","분류식품","업체명","자연과사람 영농조합법인","소재지","충청남도 금산군 군북면 내부리 624-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","고형분",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3468","품목보고번호2002046726818","업소명자연과사람 영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명삼천년기 산수유 골드","분류식품","업체명","자연과사람 영농조합법인","소재지","충청남도 금산군 군북면 내부리 624-2","1","2","3",NA,NA,NA,NA,NA,"산수유","산수유","벌꿀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3467","품목보고번호2002046726817","업소명자연과사람 영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명삼천년기 오미자 골드","분류식품","업체명","자연과사람 영농조합법인","소재지","충청남도 금산군 군북면 내부리 624-2","1","2","3","4",NA,NA,NA,NA,"오미자","이상고형분중","오미자","벌꿀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3466","품목보고번호201304150527","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한18개월","제품명삼흑플러스","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","6","7","8","대보농축액","쌍화농축액","식물혼합추출액","타우린","흑마늘농축액","검정콩농축액","흑염소농축액","시클로덱스트린시럽",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","10","11","12","13","14","15","대추야자시럽","대추향","연잎혼합추출물","구연산","구연산삼나트륨","효소처리스테비아","정제수",NA,NA,NA,NA,NA,NA,NA
"6","번호3465","품목보고번호1992047403641","업소명삽다리전통한과","품목유형혼합음료","유통/소비기한제조 일로부터 1년","제품명삽다리전통식혜","분류식품","업체명","삽다리전통한과","소재지","충청남도 예산군 대치2길 60","1","2","3","4","5","6","7",NA,"정제수","설탕","쌀","엿기름","사과","생강","유자",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3464","품목보고번호201701471554","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한24개월","제품명상감보","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2","3","4","5","6",NA,NA,"식물성혼합추출액","정제수","액상과당","덱스트린","비타민B1라우릴황산염","쌍화농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3463","품목보고번호201701471558","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한해당없음.","제품명상기보","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2","3","4","5","6",NA,NA,"식물성혼합추출액","정제수","과당","덱스트린","비타민B1라우릴황산염","쌍화농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3462","품목보고번호201701471557","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한24개월","제품명상비보","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2","3","4","5","6",NA,NA,"식물성혼합추출액","액상과당","덱스트린","비타민 B1라우릴황산염(고시형)","정제수","쌍화농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3461","품목보고번호1999041506411","업소명(주)상수허브랜드","품목유형혼합음료","유통/소비기한제조일부터 12개월","제품명상수허브워터라벤더","분류식품","업체명","(주)상수허브랜드","소재지","충청북도 청주시 서원구 남이면 부용외천길 18","1","2","3","4",NA,NA,NA,NA,"정제수","허브추출물","허브꽃추출물","순이추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
