"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","성분 및 원료13","비고13"
"1","번호471","품목보고번호202004651635","업소명농업회사법인 보령우유(주)","품목유형혼합음료","유통/소비기한제조일로부터 15일까지","제품명플래너츠 프레시 오트 오리지널","분류식품","업체명","농업회사법인 보령우유(주)","소재지","충청남도 보령시 천북면 홍보로 574","1","2","3","4","5","6","7","8","9","10","11","12","혼합음료","옥수수기름(옥배유)","정제소금","곡류가공품","곡류가공품","기타가공품","올리고당","혼합제제","당류가공품","혼합제제","합성향료","정제수","오트유액","","","블랙선식미숫가루분말","귀리분말","유산균배양분말(Lb.Plantarum사균체)","프락토올리고당","탄산칼슘혼합제제","현미믹스시럽","비타민E혼합제제","오트향","",NA,NA,NA
"2","번호470","품목보고번호2019047315541","업소명동진바이오농업회사법인(주)","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명플래티넘 L아르기닌 5000","분류식품","업체명","동진바이오농업회사법인(주)","소재지","충청남도 금산군 부리면 신촌길 164","1","2","3","4","5","6","7","8","9","10","11","12","정제수","프락토올리고당","L-아르지닌","레몬농축액","구연산","혼합농축액","펙틴","타우린","마카뿌리분말","자몽종자추출물","혼합제제","천연향료(Lemon)","","","","Brix 65이상(20050449025-882)","함수구연산","베리믹스농축과즙[63brix이상](20050449025-1106)","","","마카분말","","아미노믹스(2016027504640)","천연레몬향(20050449039-250)",NA,NA,NA
"3","번호469","품목보고번호20150375129101","업소명(주)헬스앤라이프","품목유형혼합음료","유통/소비기한24개월","제품명플래티넘 석류콜라겐 이너뷰티 스틱","분류식품","업체명","(주)헬스앤라이프","소재지","경기도 여주시 가남읍 여주남로 714-58","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,"석류농축액","생선콜라겐분말","잔탄검","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호468","품목보고번호20190473161276","업소명(주)휴온스푸디언스금산3공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명플랜트 식물성 콜라겐 비오틴","분류식품","업체명","(주)휴온스푸디언스금산3공장","소재지","충청남도 금산군 금산읍 인삼광장로 19(금산인삼농협국제유통센타 2~3층)","1","2","3","4","5","6","7","8","9","10","11",NA,"정제수","프락토올리고당","기타가공품","레몬농축액","향료","효모식품","구연산(무수)","잔탄검","혼합제제","기타가공품","니코틴산아미드",NA,"","","식물성 콜라겐 부스터 (H)","","천연레몬향1","엠엔와이 (MNY)","무수 구연산","","비오틴 1% (BIOTIN 1% VITATRIT)","복합황금추출물, 품목보고번호:20080360405-33","",NA,NA,NA,NA
"5","번호467","품목보고번호20030415157509","업소명주식회사 노바렉스","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명플랜트 식물성콜라겐 비오틴","분류식품","업체명","주식회사 노바렉스","소재지","충청북도 청주시 흥덕구 오송읍 오송생명14로 80(부4동1층,부5동1층,주1동 2~3층)","1","2","3","4","5","6","7","8","9","10","11",NA,"정제수","프락토올리고당","기타가공품","레몬농축액","레몬향","건조효모복합","구연산","잔탄검","비오틴(고시형)","황금혼합추출물","니코틴산아미드(고시형)",NA,"","","식물성콜라겐부스터(H)","","","","","","비오틴혼합분말","복합황금추출물","",NA,NA,NA,NA
"6","번호466","품목보고번호2011061812187","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터12개월 까지","제품명플레이버워터레몬","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","5","6","7","8","9","10","11",NA,"레몬농축액","정제수","에리스리톨","레몬향","구연산","안식향산나트륨","DL-사과산","정제소금","탄산수소나트륨","수크랄로스","비타민C",NA,"","","","합성향료","","","","","","","",NA,NA,NA,NA
"7","번호465","품목보고번호2011061812188","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터12개월까지","제품명플레이버워터자몽","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","5","6","7","8","9","10","11",NA,"레드자몽농축액","정제수","에리스리톨","자몽향","구연산","안식향산나트륨","DL-사과산","정제소금","탄산수소나트륨","수크랄로스","비타민C",NA,"","","","합성향료","","","","","","","",NA,NA,NA,NA
"8","번호464","품목보고번호2007062004741","업소명주식회사 일백","품목유형혼합음료","유통/소비기한12개월","제품명플로라 블루멜로우티","분류식품","업체명","주식회사 일백","소재지","경상남도 남해군 고현면 화방로 51","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,"사양벌꿀","블루베리농축액","히비스커스농축액","천연색소","히비스커스향","당아욱꽃","정제수",NA,NA,NA,NA,NA,"국산","65브릭스/미국산","65브릭스/이집트산","블루","천연","국산","",NA,NA,NA,NA,NA,NA,NA,NA
"9","번호463","품목보고번호2007062004742","업소명주식회사 일백","품목유형혼합음료","유통/소비기한12개월","제품명플로라로즈티","분류식품","업체명","주식회사 일백","소재지","경상남도 남해군 고현면 화방로 51","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,"정제수","사양벌꿀","장미분말","히비스커스농축액","천연향료(Rose(otto of roses, attar of roses))","장미꽃",NA,NA,NA,NA,NA,NA,"","국산","국산","이집트산","장미향","국산",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호462","품목보고번호1988044200460","업소명풀무원건강생활(주)","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명피곤한오후4시 흑초와모로미초","분류식품","업체명","풀무원건강생활(주)","소재지","충청북도 증평군 도안면 원명로 35","1","2","3","4","5","6","7","8","9","10","11","12","모로미원액","백포도농축과즙","흑초","포도식초","벌꿀","골든키위농축액","단풍나무농축수액","자색고구마농축액","유자농축액","노니농축액","블루베리농축액","매실농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","정제수",NA
