"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17"
"1","번호4762","품목보고번호2016037232650","업소명(주)엔바이오","품목유형혼합음료","유통/소비기한12개월","제품명라이코객 바이탈C","분류식품","업체명","(주)엔바이오","소재지","경기도 포천시 화현면 화동로 319(가동 1층,2층 나동 1층)","1","2","3","4","5","6","7","8","9","정제수","프락토올리고당","과.채가공품","과.채가공품","열대과일농축액","과.채가공품","시트러스믹스농축과즙","과.채가공품","비타민C","정제수","프락토올리고당","그라비올라 퓨레","객 퓨레","열대혼합과일농축액","토마토페이스트","시트러스혼합농축액","적자몽농축액","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4761","품목보고번호19860443015557","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명라이크샐리 콜라겐 워터","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","콜라겐","자일리톨","에리스리톨","구연산","합성향료","DL-사과산","과.채가공품","과.채가공품류","효소처리스테비아","피쉬콜라겐","","","무수구연산","오미자향","","오미자농축액","베리주스","","10","11","12","13","14","15","16","17","황금혼합추출물","수크랄로스","우유단백질","비오틴","엘라스틴가수분해물","히알루론산혼합제제","병풀추출","정제수","","","우유단백질농축","비오틴 1%","","","병풀추출분말",""
"3","번호4760","품목보고번호201600844326","업소명(주)죠이라이프","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명라이프노니골드","분류식품","업체명","(주)죠이라이프","소재지","서울특별시 금천구 벚꽃로 232(3층 가산동)","1","2","3","4","5",NA,NA,NA,NA,"액상과당","구연산","정제수","노니열매","사과농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4759","품목보고번호20170614111301","업소명(주)엔트리","품목유형혼합음료","유통/소비기한24개월","제품명라이프석류콜라겐","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2","3","4","5","6","7",NA,NA,"석류농축액","생선콜라겐분말","로커스트콩검","카라기난","잔탄검","분말한천(고시형)","타마린드검",NA,NA,"65brix(고형분40%)","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4758","품목보고번호20170614111296","업소명(주)엔트리","품목유형혼합음료","유통/소비기한24개월","제품명라이프타트체리콜라겐","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2","3","4","5","6","7",NA,NA,"체리농축액","생선콜라겐분말","로커스트콩검","카라기난","타마린드검","잔탄검","분말한천(고시형)",NA,NA,"고형분40%,타트체리100%)","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4757","품목보고번호19880442004657","업소명풀무원건강생활(주)","품목유형혼합음료","유통/소비기한12개월","제품명라인톡","분류식품","업체명","풀무원건강생활(주)","소재지","충청북도 증평군 도안면 원명로 35","1","2","3","4","5","6","7","8","9","정제수","과.채가공품류","과.채가공품류","난소화성말토덱스트린(고시형)","치아씨앗","농축과채즙(또는과채분)","농축과채즙(또는과채분)","아로니아농축액","매실농축액","","어린잎발효추출물","바이탈뷰티발효추출물","","치아씨드","열대혼합과일농축액","믹스베리농축액","아로니아쥬스농축액","","10",NA,NA,NA,NA,NA,NA,NA,"선인장열매농축",NA,NA,NA,NA,NA,NA,NA,"캑티니아",NA,NA,NA,NA,NA,NA,NA
"7","번호4756","품목보고번호20010515081435","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 6개월 (실온)","제품명라잇미닛 리얼 아몬드","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","기타가공품","대두추출물","백설탕","분리대두단백","땅콩 또는 견과류가공품","탄산칼슘혼합제제","정제소금","땅콩 또는 견과류가공품","레시틴","아몬드액R","대두추출액G","","","아몬드버터","","","아몬드단백분말","해바라기레시틴","10","11","12","13",NA,NA,NA,NA,"젤란검","비타민E혼합제제","아몬드향","메이플향",NA,NA,NA,NA,"","","","",NA,NA,NA,NA
"8","번호4755","품목보고번호20010515081436","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 6개월 (실온)","제품명라잇미닛 리얼 코코넛","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","기타가공품","폴리덱스트로스","백설탕","탄산칼슘혼합제제","자당지방산에스테르","구연산칼륨","정제소금","젤란검","비타민E혼합제제","코코넛밀크액","","","","","","","","","10",NA,NA,NA,NA,NA,NA,NA,"코코넛향",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"9","번호4754","품목보고번호2017055519581","업소명농업회사법인(주)동서웰빙(도동공장)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명라즈베리 그린티","분류식품","업체명","농업회사법인(주)동서웰빙(도동공장)","소재지","경상북도 영천시 도동구역길 71-10(도동)","1","2","3","4","5","6","7","8","9","정제수","설탕","라즈베리농축액","향료","구연산","녹차농축액","향료","구연산삼나트륨","혼합제제","","","미국산","라즈베리향","함수구연산","국내산","녹차향","","향료, 자당지방산에스테르, D-솔비톨액, 정제가공유지","10","11","12",NA,NA,NA,NA,NA,"수크랄로스","식용색소적색제40호","식용색소청색제1호",NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA
"10","번호4753","품목보고번호20050555180773","업소명농업회사법인(주)동서웰빙","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명라즈베리 그린티","분류식품","업체명","농업회사법인(주)동서웰빙","소재지","경상북도 영천시 산업단지로 164(본촌동)","1","2","3","4","5","6","7","8","9","정제수","설탕","라즈베리농축액","향료","구연산","녹차농축액","향료","혼합제제","구연산삼나트륨","","","미국산","라즈베리향","함수구연산","국내산","녹차향","향료 자당지방산에스테르, D-솔비톨액, 정제가공유지","","10","11","12",NA,NA,NA,NA,NA,"수크랄로스","식용색소적색제40호","식용색소청색제1호",NA,NA,NA,NA,NA,"감미료","","",NA,NA,NA,NA,NA
