"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","비고1","비고2","비고3","비고4","비고5","비고6","번호7","성분 및 원료7","비고7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","번호29","번호30","번호31","번호32","번호33","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","성분 및 원료29","성분 및 원료30","성분 및 원료31","성분 및 원료32","성분 및 원료33","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27","비고28","비고29","비고30","비고31","비고32","비고33"
"1","번호401","품목보고번호2007062004745","업소명주식회사 일백","품목유형혼합음료","유통/소비기한24 개월","제품명하루톡톡 매실스틱","분류식품","업체명","주식회사 일백","소재지","경상남도 남해군 고현면 화방로 51","1","2","3","4","5","6","정제수","매실농축액","물엿","생선콜라겐","사양벌꿀","잔탄검","","60브릭스이상/국산","저당","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호400","품목보고번호2007062004746","업소명주식회사 일백","품목유형혼합음료","유통/소비기한24 개월","제품명하루톡톡 석류스틱","분류식품","업체명","주식회사 일백","소재지","경상남도 남해군 고현면 화방로 51","1","2","3","4","5","6","정제수","석류농축액","올리고당","생선콜라겐","잔탄검","구연산","","60브릭스이상/터키산","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호399","품목보고번호2007062004744","업소명주식회사 일백","품목유형혼합음료","유통/소비기한24 개월","제품명하루톡톡 유자스틱","분류식품","업체명","주식회사 일백","소재지","경상남도 남해군 고현면 화방로 51","1","2","3","4","5","6","정제수","유자농축액","올리고당","생선콜라겐","구연산","사양벌꿀",NA,NA,NA,NA,NA,NA,"7","잔탄검",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호398","품목보고번호2007062004747","업소명주식회사 일백","품목유형혼합음료","유통/소비기한24 개월","제품명하루톡톡 포도스틱","분류식품","업체명","주식회사 일백","소재지","경상남도 남해군 고현면 화방로 51","1","2","3","4","5",NA,"정제수","포도농축액","올리고당","생선콜라겐","구연산",NA,"","60브릭스이상/터키산","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호397","품목보고번호19810227007204","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한6개월","제품명하루한팩 밤맛","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","3","4","5","6","덱스트린","카제인나트륨","채종유(유채유 또는 카놀라유)","분리대두단백","결정과당","폴리덱스트로스","","","","","","","7","난소화성말토덱스트린(고시형)","","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","구연산칼륨","소르비탄지방산에스테르","제이인산칼슘","밤향","제이인산칼륨","제삼인산칼슘","L-아스코르빈산나트륨","염화마그네슘","L-아르기닌","밤가루","구연산삼나트륨","염화칼륨","DL-ALPHA 토코페릴 아세테이트","황산제일철","비타민 A 혼합제제","니코틴산아미드","비타민D3혼합제제","산화아연","판토텐산칼슘","비타민B6염산염","비타민B1염산염","비타민B2","엽산","비오틴","비타민B12","정제수","산도조절제","유화제","영양강화제","합성착향료","산도조절제","영양강화제","영양강화제","영양강화제","영양강화제","","산도조절제","","영양강화제","영양강화제","","영양강화제","","영양강화제","","영양강화제","영양강화제","영양강화제","영양강화제","영양강화제,0.000027","영양강화제, 0.000006","64.430527"
"6","번호396","품목보고번호19810227007203","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한6개월","제품명하루한팩 팥맛","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","3","4","5","6","정제수","덱스트린","카제인나트륨","채종유(유채유 또는 카놀라유)","분리대두단백","폴리덱스트로스","64.630527","","","","","","7","난소화성말토덱스트린(고시형)","","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","결정과당","구연산칼륨","소르비탄지방산에스테르","제이인산칼슘","제이인산칼륨","제삼인산칼슘","L-아스코르빈산나트륨","염화마그네슘","L-아르기닌","팥향","팥가루","구연산삼나트륨","염화칼륨","DL-ALPHA 토코페릴 아세테이트","황산제일철","비타민 A 혼합제제","니코틴산아미드","비타민D3혼합제제","산화아연","판토텐산칼슘","비타민B6염산염","비타민B1염산염","비타민B2","엽산","비오틴","비타민B12","","산도조절제","유화제","영양강화제","산도조절제","영양강화제","영양강화제","영양강화제","영양강화제","","","산도조절제","","영양강화제","영양강화제","","영양강화제","","영양강화제","영양강화제","영양강화제","영양강화제","영양강화제","영양강화제","영양강화제, 0.000027","영양강화제, 0.000006"
"7","번호395","품목보고번호2008050000937","업소명고창황토복분자영농조합법인","품목유형혼합음료","유통/소비기한12개월","제품명하여간","분류식품","업체명","고창황토복분자영농조합법인","소재지","전라북도 고창군 고창읍 녹두로 1114","1","2","3","4","5","6","사과농축액","흰점박이꽃무지유충","도라지농축액","헛개나무농축액","정제수","액상과당","72브릭스","","65브릭스","헛개농축액(65브릭스)","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호394","품목보고번호202205378992","업소명(주)아루이","품목유형혼합음료","유통/소비기한유통소비기한  설정사유서 참조","제품명하이","분류식품","업체명","(주)아루이","소재지","강원도 원주시 소초면 범골길 45-5(4동 1층)","1","2",NA,NA,NA,NA,"정제수","수소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호393","품목보고번호2012057308053","업소명주식회사 아리바이오","품목유형혼합음료","유통/소비기한2년","제품명하이 엠 미네랄 워터 300","분류식품","업체명","주식회사 아리바이오","소재지","경상북도 울진군 죽변면 해양과학길 22(재환동해산업연구원 105호)","1","2",NA,NA,NA,NA,"정제수","황산칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호392","품목보고번호2019008436413","업소명(주)휴버트","품목유형혼합음료","유통/소비기한제조일로 부터 36개월","제품명하이 칼슘","분류식품","업체명","(주)휴버트","소재지","경기도 화성시 동탄순환대로 823(에이팩시티 3층 319호 영천동)","1","2","3","4","5",NA,"산호분말","필리핀레몬열매농축액","스테비아추출물","분말비타민D3혼합제제","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
