"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","번호29","번호30","번호31","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","성분 및 원료29","성분 및 원료30","성분 및 원료31","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27","비고28","비고29","비고30","비고31"
"1","번호2394","품목보고번호19860443015558","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명에브리데이 맑은 숨","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","정제수","배농축액","자일리톨","세븐베리농축액","기타가공품","벌꿀","기타가공품","블랙엘더베리농축액","혼합제제","도라지농축액","레드비트농축액","기타가공품","구연산","글루콘산아연","황금혼합추출물","잔탄검","홍삼농축액","","","","","티에프(TF)-343","","쌀배아추출액(옥타코사놀함유)","엘더베리농축액","믹스베리향","","","네오큐민","","","복합황금추출물","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2393","품목보고번호19860443015149","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한16개월","제품명에센셜 멕시코(Essentials Mexico)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,"정제수","포도농축액","딸기농축액","유청단백","유청분리단백","난소화성말토덱스트린(고시형)","딸기향","자일리톨","구연산","우유칼슘","소르빈산칼륨","혼합비타민","알로에베라겔분말","혼합제제","혼합제제",NA,NA,"","","","","","","","","","","","","알로에베라겔 200:1분말","H2Omega(20% Cranberry seed oil liposomes)","Rubini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2392","품목보고번호1986044301542","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명에센셜 미니(Essential Mine)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,"난소화성말토덱스트린(고시형)","에이치투오메가 3","자일리톨","알로에베라겔200:1분말","딸기농축액","포도농축액","말오줌나무열매분말","유청단백","유청분리단백","딸기향","소르빈산칼륨","구연산","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2391","품목보고번호1986044301567","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한13개월","제품명에센셜 캐나다(Essentials Canada)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,"난소화성말토덱스트린(고시형)","에이치투오메가","자일리톨","알로에베라겔200:1분말","딸기농축액","포도농축액","말오줌나무열매분말","유청단백","유청분리단백","딸기향","소르빈산칼륨","구연산","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2390","품목보고번호19860443015133","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한16개월  실온","제품명에센티아 887 엠엘(Essentia 887mL)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","난소화성말토덱스트린(고시형)","에이치투오메가","자일리톨(Xylitol)","우유칼슘","알로에베라잎(껍질제외)","딸기농축액","포도농축액","말오줌나무열매분말","유청단백","유청분리단백","딸기향","소르빈산칼륨","구연산","혼합비타민","정제수","에이치투오메가","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","19","20","21","22","23","24","25","26","27","28","29","30","31","크렌베리씨유","대두레시틴(고시형)","포리소르베이트","구연산","소르빈산칼륨","혼합비타민","엽산","비타민B6염산염","비타민B2","비타민B1피탈림염","비타민B12","판토텐산칼슘","비오틴","덱스트린",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2389","품목보고번호20060392223126","업소명네오팜","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명에스라인요거트","분류식품","업체명","네오팜","소재지","강원도 양양군 양양읍 포월새말길 41-61","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,"식물혼합추출물","D-소르비톨액","스킴밀크파우더","구연산","글루코만난","락툴로즈","푸룬과즙농축액","석류농축액","폴리덱스트로스","요구르트향","정제수","요거트혼합분말","만니톨",NA,NA,NA,NA,"고형분 20%","","","","","","","","","","","요거트혼합분말-100엘","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2388","품목보고번호20140395066255","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명에스로우 곤약젤리 (깔라만시)","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,"정제수","과채주스","에리스리톨","혼합제제","정제곤약분말","젖산칼슘","천연오렌지향","구연산삼나트륨","구연산(무수)","수크랄로스","아세설팜칼륨","비타민C",NA,NA,NA,NA,NA,"","깔라만시 원액","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2387","품목보고번호20140395066256","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명에스로우 곤약젤리 (복숭아)","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,"정제수","에리스리톨","혼합제제","구연산(무수)","곤약분말","구연산삼나트륨","젖산칼슘","복숭아향","복숭아농축액","아세설팜칼륨","수크랄로스","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2386","품목보고번호20140395066257","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명에스로우 곤약젤리 (청포도)","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,"정제수","에리스리톨","혼합제제","구연산(무수)","곤약분말","구연산삼나트륨","젖산칼슘","청포도향","청포도농축액","수크랄로스","아세설팜칼륨","사과농축액","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2385","품목보고번호20140395066258","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명에스로우 곤약젤리 (풋사과)","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,"정제수","에리스리톨","혼합제제","구연산(무수)","곤약분말","구연산삼나트륨","젖산칼슘","사과향","사과농축액","수크랄로스","아세설팜칼륨","사과추출물분말","비타민C",NA,NA,NA,NA,"","","","","","","","","","","","(풋사과 추출분말)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
