"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14"
"1","번호3747","품목보고번호1993062500644","업소명현대약품(주)","품목유형혼합음료","유통/소비기한제조일로부터 15개월","제품명블루레몬에이드","분류식품","업체명","현대약품(주)","소재지","경상남도 합천군 율곡면 임북길 196","1","2","3","4","5","6","7","8","9","10","11","12","13","14","레몬농축액","백설탕","구연산","구연산삼나트륨","화이트클라우디","말토덱스트린","수크랄로스","메타인산나트륨","DL-사과산","식용색소청색1호","레몬향S","라임향SF-17152","후르츠믹스향MF-12060","탄산수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3746","품목보고번호19930571069580","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명블루레몬에이드","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,"레몬농축액","설탕","구연산","구연산삼나트륨","수크랄로스","메타인산나트륨","식용색소청색제1호","시트러스향","레몬향","라임향","정제수",NA,NA,NA,"","","함수","","","","","","","","",NA,NA,NA
"3","번호3745","품목보고번호19800415004405","업소명(주)일화초정공장","품목유형혼합음료","유통/소비기한제조일부터 (Can) 2년","제품명블루레몬에이드","분류식품","업체명","(주)일화초정공장","소재지","충청북도 청주시 청원구 내수읍 미원초정로 1358","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,"설탕","구연산","과.채가공품","난소화성말토덱스트린(고시형)","수크랄로스","아세설팜칼륨","식용색소청색제1호","합성향료","합성향료","합성향료","정제수",NA,NA,NA,"","","레몬농축액","","","","","레몬향","라임향","레몬비터향","",NA,NA,NA
"4","번호3744","품목보고번호2017055519572","업소명농업회사법인(주)동서웰빙(도동공장)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명블루레몬에이드","분류식품","업체명","농업회사법인(주)동서웰빙(도동공장)","소재지","경상북도 영천시 도동구역길 71-10(도동)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,"정제수","설탕","구연산","레몬농축액","덱스트린","향료","구연산삼나트륨","향료","혼합제제","수크랄로스","메타인산나트륨","식용색소청색제1호",NA,NA,"","","함수구연산","이스라엘산","말토덱스트린","레몬향","","라임향","시트러스향(향료, 자당지방산에스테르, D-솔비톨액, 정제가공유지)","","","",NA,NA
"5","번호3743","품목보고번호20000614238514","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터18개월","제품명블루레몬에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,"레몬주스농축액","설탕","구연산","비타민C","구연산삼나트륨","혼합제제","수크랄로스","아세설팜칼륨","혼합제제","혼합제제","혼합제제","식용색소청색제1호","정제수",NA,"","","","","","정제수,아라비아검,D-소르비톨액,자당지방산에스테르,글리세린,정제가공유지,주정","","","합성향료,천연향료,주정,프로필렌글리콜","주정,천연향료,합성향료","주정,정제수,합성향료","","",NA
"6","번호3742","품목보고번호20190413079104","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명블루레몬에이드","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","레몬농축액","백설탕","구연산","덱스트린","메타인산나트륨","DL-사과산","합성향료","구연산삼나트륨","수크랄로스","식용색소청색제1호","합성향료","합성향료","합성향료","정제수","65brix이상, 이스라엘산","","","","","","시트러스향","","","","레몬향","혼합과일향","라임향",""
"7","번호3741","품목보고번호20160518117104","업소명녹차원(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명블루레몬에이드","분류식품","업체명","녹차원(주)","소재지","전라남도 고흥군 동강면 청정식품단지길 25-9","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,"정제수","설탕","구연산(무수)","레몬농축액","자몽종자추출물","레몬향","카르복시메틸셀룰로오스","비타민C","수크랄로스","식용색소청색제1호",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3740","품목보고번호19890445014621","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월(실온)","제품명블루레몬팝핑톡","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,"레몬농축액","액상과당","버블티포핑요거트","백설탕","구연산","효소처리스테비아","비타민C","식용색소청색1호","레몬향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3739","품목보고번호19970464172241","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한2년","제품명블루베리","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,"블루베리농축액","액상과당","비타민 C(고시형)","구연산","구연산삼나트륨","효소처리스테비아","블루베리향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3738","품목보고번호2014060761420","업소명한보D&F","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명블루베리","분류식품","업체명","한보D&F","소재지","경상북도 경산시 압량읍 가일길28길 59-4(가동 한보D&F)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,"과당옥수수시럽","포도농축액","블루베리농축액","구연산","블루베리향","비타민 B1라우릴황산염(고시형)","비타민C혼합분말","레드칼라","구연산삼나트륨","수크랄로스","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
