"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","번호...54","성분 및 원료","비고"
"1","번호1157","품목보고번호2010018127983","업소명주식회사 프로엠홀딩스","품목유형혼합음료","유통/소비기한제조일로 부터 18개월","제품명청포도에이드 제로","분류식품","업체명","주식회사 프로엠홀딩스","소재지","대구광역시 달서구 성서공단로 46-17(대천동,신기술산업지원센터 2동 10호지상2층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","백포도농축액","에리스리톨","구연산","수크랄로스","아세설팜칼륨","구연산삼나트륨","정제소금","메타인산나트륨","청포도향","청포도향","시트러스향","식용색소황색제4호","식용색소청색제1호","","","","함수","","","","","","W-193503","W-195751","","","",NA,NA,NA
"2","번호1156","품목보고번호20090473152594","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명청포도에이드제로","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","에리스리톨","구연산","향료","향료","수크랄로스","아세설팜칼륨","구연산삼나트륨","정제소금","혼합제제","백포도농축액","메타인산나트륨","식용색소황색제4호","식용색소청색제1호","","","함수구연산","청포도향(W-193503)","청포도향(W-195751)","","","","","시트러스향(SKB-1453)","","","","",NA,NA,NA
"3","번호1155","품목보고번호19890445014623","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월(실온)","제품명청포도팝핑톡","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,"백포도농축액","액상과당","버블티포핑요거트","백설탕","구연산","구연산삼나트륨","비타민C","그린색소","치자황색소","합성착향료","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1154","품목보고번호19860443015476","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명청풍과일맛음료","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,"정제수","올리고당가공품","자일리톨","시클로덱스트린시럽","γ-시클로덱스트린","애플망고향","잔탄검","안식향산나트륨",NA,NA,NA,NA,NA,NA,"","포도복합분말","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1153","품목보고번호2000046705287","업소명한국금차도","품목유형혼합음료","유통/소비기한제조일로부터 36개월","제품명청풍이온칼슘수","분류식품","업체명","한국금차도","소재지","충청남도 금산군 금산읍 군청8길 6","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"기타가공품","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"산호칼슘(소성풍화퇴적산호분말)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1152","품목보고번호200705240794","업소명참좋은농장","품목유형혼합음료","유통/소비기한제조일로부터12개월(품질유지기한)","제품명청하무화과즙","분류식품","업체명","참좋은농장","소재지","전라남도 영암군 삼호읍 중촌길 8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","무화과",NA
"7","번호1151","품목보고번호200705240793","업소명참좋은농장","품목유형혼합음료","유통/소비기한제조일로부터12개월(품질유지기한)","제품명청하붉은양파즙","분류식품","업체명","참좋은농장","소재지","전라남도 영암군 삼호읍 중촌길 8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","붉은양파",NA
"8","번호1150","품목보고번호200705240792","업소명참좋은농장","품목유형혼합음료","유통/소비기한제조일로부터12개월(품질유지기한)","제품명청하양파즙","분류식품","업체명","참좋은농장","소재지","전라남도 영암군 삼호읍 중촌길 8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","양파",NA
"9","번호1149","품목보고번호200705240791","업소명참좋은농장","품목유형혼합음료","유통/소비기한제조일로부터 12개월(품질유지기한)","제품명청하웰빙양파즙","분류식품","업체명","참좋은농장","소재지","전라남도 영암군 삼호읍 중촌길 8","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"양파","소나무잎","뽕나무잎",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1148","품목보고번호202105210653","업소명주식회사 상춘당","품목유형혼합음료","유통/소비기한9개월","제품명청혈초","분류식품","업체명","주식회사 상춘당","소재지","전라남도 구례군 산동면 지리산온천로 266-12(101호)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","감초","정제소금","한삼덩굴추출분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
