"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","비고1","비고2","비고3","비고4","비고5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24"
"1","번호101","품목보고번호202104913797","업소명주식회사 가보자","품목유형혼합음료","유통/소비기한6개월","제품명황금식혜","분류식품","업체명","주식회사 가보자","소재지","전라북도 익산시 왕궁면 국가식품로4길 63(1,2층)","1","2","3","4","5","정제수","쌀","백설탕","엿기름","생강","","","정백당","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호100","품목보고번호202104913798","업소명주식회사 가보자","품목유형혼합음료","유통/소비기한1년","제품명황금식혜냉동","분류식품","업체명","주식회사 가보자","소재지","전라북도 익산시 왕궁면 국가식품로4길 63(1,2층)","1","2","3","4","5","정제수","쌀","백설탕","엿기름","생강","","","정백당","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호99","품목보고번호19970464172183","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명황금쌍화","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","쌍화농축액","천궁농축액","대추농축액","액상과당","흑설탕",NA,NA,NA,NA,NA,"6","7","8","9","10","11","구연산","구연산삼나트륨","액상카라멜","주정","쌍화향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호98","품목보고번호20080395120663","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명황성주 박사의 마시는 뉴밀","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","탄산수소나트륨","구연산칼륨","젤란검","천일염","카라기난","","","","","","6","7","8","9","10","11","갈색설탕","분리대두단백분말","생식제품","두류가공품","두류가공품","식품첨가물","","","생식프리믹스10","대두분말","두류가공품","소르비탄올레아레이트","12","13","14","15","16","17","18","19","20","21","22","23","24","옥수수기름(옥배유)","물엿","기타가공품","땅콩 또는 견과류가공품","탄산칼슘","산화아연","기타 농산가공품","기타가공품","덱스트린","혼합제제","비타민C","혼합제제","정제수","","저감미당","치커리식이섬유","파라다이스넛추출분말","탄산칼슘","산화아연","야채혼합농축액","포스트바이오틱스-3","말토덱스트린","비타민믹스T","","비타민D3혼합제제",""
"5","번호97","품목보고번호19980308080430","업소명한미사이언스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명황성주 박사의 마시는 영양식","분류식품","업체명","한미사이언스(주)","소재지","경기도 평택시 산단로 106(모곡동)","1","2","3","4","5","정제수","분리대두단백","프락토올리고당","기타가공품","갈색설탕","","supro661","","화이브로우즈 에프90","","6","7","8","9","10","11","옥수수기름(옥배유)","곡류가공품","기타가공품","천일염","곡류가공품","레시틴","","블랙5곡분말","해조분말","","수수페이스트","대두레시틴","12","13","14","15","16","17","18","19","20","21","22","23","24","향료","탄산수소나트륨","혼합제제","기타가공품","과.채가공품","과.채가공품","과.채가공품","혼합제제","곡류가공품","곡류가공품","과.채가공품","과.채가공품","산화아연","보리향","","비타프로BSH","비에프QA","동결건조브로콜리분말","동결건조양배추분말","동결건조호박분말","BCAA","동결건조현미분말","동결건조수수분말","동결건조신선초분말","동결건조케일분말",""
"6","번호96","품목보고번호20080395120675","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명황성주 박사의 통아몬드 리얼","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","혼합음료","합성향료","합성향료","자당지방산에스테르","기타가공품","통아몬드액","아몬드향-80305","아몬드향-SW21416","","비에프QA","6","7","8","9","10","11","탄산수소나트륨","로즈마리추출물","땅콩 또는 견과류가공품","완두단백","귀리식이섬유","파라다이스넛추출물분말","","","아몬드단백","","","","12","13","14","15","16","17","18",NA,NA,NA,NA,NA,NA,"기타소금","당류가공품","효소처리스테비아","당류가공품","팽화미분말","고올레산해바라기유","과.채가공품",NA,NA,NA,NA,NA,NA,"히말라야 크리스탈 핑크솔트(암염100%)","비정제사탕수수당","","메이플시럽혼합페이스트","로스팅팽화미분","","코코넛밀크",NA,NA,NA,NA,NA,NA
"7","번호95","품목보고번호20080395120677","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명황성주 박사의 통아몬드 바나나","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","혼합음료","합성향료","자당지방산에스테르","기타가공품","탄산수소나트륨","통아몬드액","바나나향-60110","","비에프QA","","6","7","8","9","10","11","염화칼륨","로즈마리추출물","귀리식이섬유","파라다이스넛추출물분말","기타소금","당류가공품","","","","","히말라야 크리스탈 핑크솔트(암염100%)","비정제사탕수수당","12","13","14","15","16",NA,NA,NA,NA,NA,NA,NA,NA,"효소처리스테비아","에리스리톨","바나나농축액","바나나퓌레","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"8","번호94","품목보고번호20080395120676","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명황성주 박사의 통아몬드 초코","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","혼합음료","합성향료","천연향료","자당지방산에스테르","기타가공품","통아몬드액","초코향-100802","천연초코향-SW21414","","비에프QA","6","7","8","9","10","11","탄산수소나트륨","로즈마리추출물","귀리식이섬유","파라다이스넛추출물분말","혼합제제","기타소금","","","","","i - BCAA","히말라야 크리스탈 핑크솔트(암염100%)","12","13","14","15","16","17","18","19",NA,NA,NA,NA,NA,"당류가공품","효소처리스테비아","에리스리톨","코코아분말","코코아분말","고올레산해바라기유","과.채가공품","정제수",NA,NA,NA,NA,NA,"비정제사탕수수당","","","공정무역코코아분말","","","코코넛밀크","",NA,NA,NA,NA,NA
"9","번호93","품목보고번호2008056307417","업소명주식회사 동아생명공학","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명황실생강쌍화","분류식품","업체명","주식회사 동아생명공학","소재지","경상북도 의성군 다인면 가원농공길 46-8","1","2","3","4","5","인동추출액","생강엑기스","식품성추출액","구연산","구연산삼나트륨",NA,NA,NA,NA,NA,"6","7","8","9","10","11","액상과당","말토덱스트린","효소처리스테비아","제재염","카라멜","안식향산나트륨",NA,NA,NA,NA,NA,NA,"12","13","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C.M.C","허브향(쌍화)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호92","품목보고번호2008056307416","업소명주식회사 동아생명공학","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명황실진쌍화","분류식품","업체명","주식회사 동아생명공학","소재지","경상북도 의성군 다인면 가원농공길 46-8","1","2","3","4","5","인동추출액","식물성추출액","구연산","구연산삼나트륨","액상과당",NA,NA,NA,NA,NA,"6","7","8","9","10","11","말토덱스트린","효소처리스테비아","제재염","카라멜","안식향산나트륨","C.M.C",NA,NA,NA,NA,NA,NA,"12","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"허브향(쌍화)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
