"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27"
"1","번호3063","품목보고번호2017055519567","업소명농업회사법인(주)동서웰빙(도동공장)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명스피아민트 에이드","분류식품","업체명","농업회사법인(주)동서웰빙(도동공장)","소재지","경상북도 영천시 도동구역길 71-10(도동)","1","2","3","4","5","6","7","8","9","10","11","정제수","백설탕","천연향료","구연산","프로필렌글리콜","구연산삼나트륨","잔탄검","수크랄로스","메타인산나트륨","식용색소황색제5호","식용색소청색제1호","","","천연스피아민트향#1, FC-225102","함수구연산","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3062","품목보고번호201804442709","업소명(주)비지엑스생명과학(BGX)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명슬기로운 음주생활","분류식품","업체명","(주)비지엑스생명과학(BGX)","소재지","충청북도 제천시 한방엑스포로 61(왕암동)","1","2","3","4","5","6","7","8","9","10","11","정제수","결정과당","과채주스","사양벌꿀","L-글루타민","염화칼슘","L-아르지닌","호박산","L-메티오닌","글리신","비타민C","","결정과당 100%","칼라만시농축액(베트남산, 35 brix)","(국산, 78 brix)","","","","","","","","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","베타인","밀크씨슬추출물","구연산","패션후르츠향","수크랄로스","메타인산나트륨","오렌지향","레몬라임향","비타민B2","니코틴산아미드","비타민B6염산염","판토텐산칼슘","이노시톨","식용색소황색제4호","엽산","비타민B12, 혼합제제","","","","합성착향료","합성감미료","","합성착향료","합성착향료","","","","","","합성착색료","",""
"3","번호3061","품목보고번호2018044427017","업소명(주)비지엑스생명과학(BGX)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명슬기로운 음주생활 Plus","분류식품","업체명","(주)비지엑스생명과학(BGX)","소재지","충청북도 제천시 한방엑스포로 61(왕암동)","1","2","3","4","5","6","7","8","9","10","11","정제수","결정과당","과채주스","사양벌꿀","L-글루타민","염화칼슘","L-아르지닌","호박산","L-메티오닌","글리신","비타민C","","결정과당 100%","칼라만시농축액(베트남산, 35 brix)","(국산, 78 brix)","","","","","","","","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","베타인","밀크씨슬추출물","구연산","패션후르츠향","수크랄로스","메타인산나트륨","오렌지향","레몬라임향","비타민B2","니코틴산아미드","비타민B6염산염","판토텐산칼슘","이노시톨","식용색소황색제4호","엽산","비타민B12, 혼합제제","","","","합성착향료","합성감미료","","합성착향료","합성착향료","","","","","","합성착색료","",""
"4","번호3060","품목보고번호1991049004069","업소명세미기업(주)","품목유형혼합음료","유통/소비기한1년","제품명슬러시믹스 오렌지향","분류식품","업체명","세미기업(주)","소재지","전라북도 정읍시 2산단1길 48(하북동)","1","2","3","4","5","6","7","8","9","10","11","정제수","액상과당","백설탕","사과시럽","구연산","카르복시메틸셀룰로오스나트륨","합성착향료","착향료(오렌지향)","구연산삼나트륨","아스파탐","식용색소 황색제4호","","","","사과농축액(72bx)16.67%(국산7.2배),설탕,구연산,펙틴,사과산,구연산삼나트륨","","","시트러스향","천연착향료,주정,정제수","","","","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"식용색소 황색제5호",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3059","품목보고번호1991049004070","업소명세미기업(주)","품목유형혼합음료","유통/소비기한1년","제품명슬러시믹스 포도향","분류식품","업체명","세미기업(주)","소재지","전라북도 정읍시 2산단1길 48(하북동)","1","2","3","4","5","6","7","8","9","10","11","정제수","액상과당","백설탕","L-주석산","카르복시메틸셀룰로오스나트륨","착향료(포도향)","구연산삼나트륨","아스파탐","식용색소 적색제40호","식용색소 적색제3호","식용색소 청색제1호","","","","","","","","","","","","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"과.채가공품류",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"사과100%(국산)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3058","품목보고번호2012057308052","업소명주식회사 아리바이오","품목유형혼합음료","유통/소비기한2년","제품명슬렌다운","분류식품","업체명","주식회사 아리바이오","소재지","경상북도 울진군 죽변면 해양과학길 22(재환동해산업연구원 105호)","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","황산칼슘","댕댕이나무열매추출액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3057","품목보고번호20080181270178","업소명(재)대구테크노파크 부설바이오산업지원센터","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명슬리핑보틀","분류식품","업체명","(재)대구테크노파크 부설바이오산업지원센터","소재지","대구광역시 달서구 성서공단로 46-17(대천동, 1동 1~2층, 2동 1층)","1","2","3","4","5","6",NA,NA,NA,NA,NA,"기타가공품","고형차","L-테아닌(고시형)","천연체리향","기타가공품","정제수",NA,NA,NA,NA,NA,"SB농축액","타트체리 착즙분말","","","감태추출분말","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3056","품목보고번호19990555093340","업소명농업회사법인(주)이비채","품목유형혼합음료","유통/소비기한제조일부터  24 개월슬림뷰티","제품명슬림뷰티","분류식품","업체명","농업회사법인(주)이비채","소재지","경상북도 영천시 임고면 황강공단길 21","1","2","3","4","5","6","7","8","9","10","11","식물혼합발효농축액","사양벌꿀","발효식초","이소말토올리고당","블루베리농축액","라즈베리농축액","크랜베리농축액분말","사과농축액","오디향","혼합허브추출물","수크랄로스","","","발효오디식초","","","","크랜베리농축액","","","복합허브추출물C","","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"탈염 해양암반수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3055","품목보고번호201101820858","업소명나노라이프","품목유형혼합음료","유통/소비기한1년","제품명승부수","분류식품","업체명","나노라이프","소재지","대구광역시 달서구 비슬로542길 46(1층 대곡동)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","탄산수소칼륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3054","품목보고번호202102062655","업소명메이드푸드 주식회사","품목유형혼합음료","유통/소비기한2개월","제품명12시 식혜","분류식품","업체명","메이드푸드 주식회사","소재지","인천광역시 부평구 부평대로 337(부평 제이타워3차 지식산업센터 4층 429,430호 청천동)","1","2","3","4","5","6",NA,NA,NA,NA,NA,"쌀","맥아","기타설탕","혼합제제","퀴노아가루","정제수",NA,NA,NA,NA,NA,"","","자일로스설탕,씨제이제일제당","설탕대신,바이오믹스테크","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
