"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","번호19","번호20","번호21","번호22","번호23","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","비고19","비고20","비고21","비고22","비고23"
"1","번호3590","품목보고번호19890445014501","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명비타헛개진액","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","식물혼합추출액","비타민B2","비타민B6염산염","액상과당","카르복시메틸셀룰로오스나트륨","구연산","타우린","L-아스파라긴","효소처리스테비아","자몽종자추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3589","품목보고번호20020623009617","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개얼","제품명비타힐링","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","레몬농축과즙","액상과당","비타민C","비타민B1염산염","비타민B2","비타민B6염산염","비타민B12","비타민D3","니코틴산아미드","판토텐산칼슘","65brix","","영양강화제","영양강화제","영양강화제","영양강화제","영양강화제","영양강화제","","","11","12","13","14","15","16","17","18","타우린","정제소금","효소처리스테비아","수크랄로스","파인애플향","사과향","합성착향료","정제수","","","","합성감미료","합성착향료","합성착향료","후르츠칵테일향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3588","품목보고번호2006055613215","업소명(주)하늘마당","품목유형혼합음료","유통/소비기한제조일로부터 12월까지","제품명비투비 천연알칼리워터","분류식품","업체명","(주)하늘마당","소재지","경상북도 상주시 화북면 문장로 2243-22","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","황산마그네슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3587","품목보고번호20020383603268","업소명(주)팜텍코리아","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명비트리 맥스로열 EX","분류식품","업체명","(주)팜텍코리아","소재지","강원도 원주시 문막읍 문막공단길 59","1","2","3","4","5","6","7","8","9","10","벌꿀","사과농축액","비타민C","유자농축과즙액","비타민B1염산염","비타민B2","비타민B6염산염","천연사과향","자일리톨","효소처리스테비아","","","","","","","","","","","11","12","13","14","15","16","17",NA,"프락토올리고당","구연산(무수)","화분추출물분말","생선콜라겐","로얄젤리추출물","자몽종자추출물","정제수",NA,"","","","","효소로얄젤리","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3586","품목보고번호20020383603211","업소명(주)팜텍코리아","품목유형혼합음료","유통/소비기한24개월","제품명비트리 하이드록시 콜라겐 펩타이드","분류식품","업체명","(주)팜텍코리아","소재지","강원도 원주시 문막읍 문막공단길 59","1","2","3","4","5","6","7","8","9","10","액상콜라겐","석류농축액","액상말티톨","비타민C","아로니아농축액","가피타히보추출농축액","유자과즙농축액","자일리톨","황금복합추출물","석류향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","12","13","14","15","16",NA,NA,"구연산","수크랄로스","비타민B1염산염","비타민B2","히알루론산","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3585","품목보고번호19970464172547","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명비티 뷰티 콜라겐 1500 (BT Beauty Collagen 1500)","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","생선콜라겐분말","열대과일혼합농축액","석류농축액","결정과당","기타과당","시클로덱스트린시럽","비타민C","DL-사과산","구연산","구연산삼나트륨","저분자피쉬콜라겐","","","","","","","","","","11","12","13","14","15","16","17","18","효소처리스테비아","히알루론산","L-아르지닌","베타인","판토텐산칼슘","니코틴산아미드","비타민B2","비타민B6염산염","","","","","","","","","19","20","21","22","23","정제소금","사프란암술머리추출물","장미향","파인애플향","정제수","정제염","0.3brix","22R322","13P117",""
"7","번호3584","품목보고번호20080358277233","업소명서정쿠킹(주)","품목유형혼합음료","유통/소비기한제조일로부터12개월까지","제품명빅마마이혜정의아주맛있는식혜","분류식품","업체명","서정쿠킹(주)","소재지","경기도 이천시 신둔면 서이천로853번길 346-179","1","2","3","4",NA,NA,NA,NA,NA,NA,"백설탕","엿기름","쌀","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3583","품목보고번호19860443015372","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명빌리브 뷰티 콜라겐","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","정제수","콜라겐가수분해물","자일리톨","오렌지농축과즙","올리고당","블러드오렌지향","구연산","레몬농축액","양까막까치밥나무농축액","비타민C","","베리솔(콜라겐가수분해물 VERISOL)","","블러드오렌지농축액","프락토올리고당","","무수구연산","","블랙커런트농축액","","11","12","13","14","15","16","17","18","당귤나무열매","황금혼합추출물","사과향","천연향료(Spearmint)","잔탄검","아미노산펩타이드","L-시스틴","서양박하잎추출분말","당귤나무열매추출물분말[Red Oranage Complex H), 레드오렌지추출분말","복합황금추출물","","천연스피아민트향","","실크펩타이드","","페퍼민트추출분말","19","20","21","22","23","효소처리스테비아","엘라스틴가수분해물","알로에겔분말","비오틴 혼합분말","히알루론산","","","하이난알로에파우더","",""
"9","번호3582","품목보고번호2011044107090","업소명대오푸드홀딩스","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명빙계수","분류식품","업체명","대오푸드홀딩스","소재지","충청북도 영동군 학산면 용화양강로 1480","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"지하수","수산화마그네슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3581","품목보고번호200306143071330","업소명(주)젠푸드","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명빙그레 슈퍼부스트 수분충전","분류식품","업체명","(주)젠푸드","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","8","9","10","정제수","당류가공품","타우린","구연산","기타가공품","구연산삼나트륨","식품첨가물혼합제제","정제소금","합성향료","식품첨가물혼합제제","","액상 알룰로스","","","과라나추출물분말","","백자몽향#3 SK-21-11303","","자몽향 JW3-212171","시트러스향#1 SKB-1101","11","12","13","14",NA,NA,NA,NA,"글루콘산아연","수크랄로스","아세설팜칼륨","식품첨가물혼합제제",NA,NA,NA,NA,"","","","미네랄포르테 CIG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
