"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","번호14","번호15","성분 및 원료14","성분 및 원료15","비고14","비고15","번호16","번호17","번호18","번호19","번호20","번호21","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고16","비고17","비고18","비고19","비고20","비고21"
"1","번호451","품목보고번호20070440079148","업소명(주)다원","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명피카츄 망고","분류식품","업체명","(주)다원","소재지","충청북도 옥천군 청산면 인정1길 65","1","2","3","4","5","6","7","8","9","10","11","12","13","망고농축퓌레","액상과당","백설탕","구연산","젤란검","잔탄검","구연산삼나트륨","효소처리스테비아","폴리글리세린지방산에스테르","카로틴","시트러스향","망고향","정제수","멕시코산(과즙5%)","","","","","","","","유화제","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호450","품목보고번호1981022700728","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한6개월","제품명피크닉레몬","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","3","4","5","6","7","8","9","10","11","12",NA,"레몬즙","액상과당","백설탕","구연산삼나트륨","비타민C","산그린","분말산","에로우","화이트크라우디","레몬향","벌꿀향료","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호449","품목보고번호20150403012283","업소명드림바이오 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명피토75클리닝","분류식품","업체명","드림바이오 주식회사","소재지","강원도 고성군 죽왕면 송지호로 15-22(15-26, 15-20)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,"혼합음료","D-소비톨","폴리덱스트로스","프락토올리고당","영지농축액","지황농축액","구연산(무수)","비타민C",NA,NA,NA,NA,NA,"식물혼합추출물","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호448","품목보고번호19860443015505","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명필리브 아르기닌 6000","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11",NA,NA,"정제수","L-아르지닌","구연산","자일리톨","Red grape농축액","합성향료","효소처리스테비아","안식향산나트륨","수크랄로스","비타민B2","혼합제제",NA,NA,"","L-아르기닌","무수구연산","","적포도농축액","청포도향","","","","","아미노액티브 BCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호447","품목보고번호20110618121286","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명핏키 모로오렌지 44젤리","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","오렌지농축액","혼합제제","에리스리톨","치커리뿌리추출물","합성향료","구연산","폴리덱스트로스","효소처리스테비아","젖산칼슘","수크랄로스","안식향산나트륨","10종혼합유산균분말","","모로오렌지농축액","","","","오렌지향분말","","","","","감미료","보존료","","14","15","히알루론산","콜라겐","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호446","품목보고번호19890445014837","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24개월","제품명핑크 석류 스위트","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,"석류주스","액상과당","구연산","효소처리스테비아","카복시메틸셀룰로스나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,"핑크석류주스","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호445","품목보고번호20070464094514","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명핑크 캐모마일","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","11",NA,NA,"설탕","레몬농축액","구연산","캐모마일추출물분말","수크랄로스","혼합제제","리치향","시트러스향","합성향료","합성향료","정제수",NA,NA,"","","","","","","","","캐모마일향","레몬그라스향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호444","품목보고번호20000614238507","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명핑크 캐모마일 릴렉서","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","12","13","리치주스","레몬주스농축액","과.채가공품","설탕","결정과당","올리고당","바나나농축액","구연산삼나트륨","DL-사과산","비타민C","혼합제제","천연리치향","천연향료(Elder flowers)","","","타트체리농축액","","","","","","","","프로필렌글리콜,합성향료,천연향료,주정","","","14","15","천연향료(Lemon grass)","효소처리스테비아","","","16","17","18","19","20","21","과.채가공품","혼합제제","혼합제제","캐모마일추출물","식용색소적색제40호","정제수","레드커런트퓨레","정제수,아라비아검,D-소르비톨액,자당지방산에스테르,글리세린,정제가공유지,주정","정제수,규소수지,소르비탄지방산에스테르,글리세린지방산에스테르,CMC","캐모마일추출액","",""
"9","번호443","품목보고번호19890445014622","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월(실온)","제품명핑크레몬팝핑톡","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12",NA,"레몬농축액","액상과당","버블티포핑요거트","백설탕","구연산","구연산","효소처리스테비아","비타민C","락색소","합성착색료","착향료(레몬향)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호442","품목보고번호20030415157451","업소명주식회사 노바렉스","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명핑크액티브 아르지닌","분류식품","업체명","주식회사 노바렉스","소재지","충청북도 청주시 흥덕구 오송읍 오송생명14로 80(부4동1층,부5동1층,주1동 2~3층)","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","L-아르지닌","사과농축액","구연산","프락토올리고당","아로니아농축액","아사이베리혼합농축액","타우린","황금혼합추출물","잔탄검","L-로이신","L-이소로이신","L-발린","","","","","","","","","복합황금추출물","","","","","14","15","비타민C","산화아연","","","16","17","18","19",NA,NA,"비타민E혼합제제분말","판토텐산칼슘","니코틴산아미드","비타민B1질산염",NA,NA,"","","","",NA,NA
