"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","번호29","번호30","번호31","번호32","번호33","번호34","번호35","번호36","번호37","번호38","번호39","번호40","번호41","번호42","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","성분 및 원료29","성분 및 원료30","성분 및 원료31","성분 및 원료32","성분 및 원료33","성분 및 원료34","성분 및 원료35","성분 및 원료36","성분 및 원료37","성분 및 원료38","성분 및 원료39","성분 및 원료40","성분 및 원료41","성분 및 원료42","비고22","비고23","비고24","비고25","비고26","비고27","비고28","비고29","비고30","비고31","비고32","비고33","비고34","비고35","비고36","비고37","비고38","비고39","비고40","비고41","비고42","번호43","성분 및 원료43","비고43"
"1","번호4544","품목보고번호19970464172334","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명마시는 콜라겐 1000","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","석류농축액","생선콜라겐분말","농축사과과즙","기타과당","DL-사과산","구연산","구연산삼나트륨","비타민C","석류향","복숭아향","효소처리스테비아","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4543","품목보고번호19970464172327","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명마시는 콜라겐 2000","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","생선콜라겐분말","L-아르지닌","다시마농축분말","시클로덱스트린","DL-사과산","구연산","구연산삼나트륨","비타민 C(고시형)","기타과당","히알루론산","판토텐산칼슘","비오틴","피쉬콜라겐","","","","","","","","","","","","13","14","15","16","17","18","19","20","21","니코틴산아미드","석류농축액","석류향","복숭아향","비타민B6염산염","비타민B1염산염","농축사과과즙","효소처리스테비아","정제수","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4542","품목보고번호2020042406522","업소명(주)비엘헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명마시는 콜라겐 3,000 프로틴","분류식품","업체명","(주)비엘헬스케어","소재지","충청북도 청주시 청원구 오창읍 양청송대길 39(주2동:1~2층, 주3동:1~2층, 부2동:1층, 부5동:1층)","1","2","3","4","5","6","7","8","9","10","11","12","정제수","용설란시럽","생선콜라겐","기타 수산물가공품","구연산(무수)","에리스리톨","요거트향","효소처리스테비아","맥아추출액","황금추출물","아미노산혼합분말","알로에베라겔농축분말","","아가베시럽","저분자피쉬콜라겐","피쉬 프로틴 파우더","","","요구르트향혼합제제","","맥아추출물","복합황금추출물","","알로에베라농축분말","13","14","15","16","17","18","19",NA,NA,"히알루론산","병풀추출","비타민B6염산염","비타민B2","혼합제제","비타민C","혼합제제",NA,NA,"","병풀추출분말","","","비타민E혼합제제","","비타민A혼합제제/레티닐아세트산염혼합제제/비타민A아세테이트혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4541","품목보고번호19860443015166","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한18개월  실온","제품명마시는 콜라겐 3000","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","생선콜라겐","자일리톨","요구르트향","비타민C","구연산삼나트륨","레몬향","황금복합추출물","인디안구스베리추출물","히알루론산","효소처리스테비아","병풀추출","정제수","피쉬콜라겐","","","","","","복합황금추출물","","","","병풀추출물분말","","13",NA,NA,NA,NA,NA,NA,NA,NA,"구연산",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4540","품목보고번호19970464172366","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명마시는 콜라겐 5000","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","정제수","기타과당","피쉬콜라겐펩타이드농축액","석류농축액","시클로덱스트린","아라비아검","석류향","구연산삼나트륨","구연산","비타민C","DL-사과산","L-아르지닌","","","피쉬콜라겐가수분해물(고형분2%)","","","아카시아식이섬유","","","","","","","13","14","15","16","17","18","19",NA,NA,"코치닐추출색소","효소처리스테비아","잔탄검","판토텐산칼슘","히알루론산","엘라스틴가수분해물","비오틴",NA,NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4539","품목보고번호19860443015291","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명마시는 콜라겐 앰플","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","정제수","돈피콜라겐","자일리톨","에리스리톨","블루베리농축액","구연산","Red grape농축액","합성향료","황금혼합추출물","알로에베라겔농축분말","비타민C","엘라스틴가수분해물","","베리솔","","","","무수구연산","적포도농축액","블루베리향","복합황금추출물","알로에베라겔 200:1 분말","","","13",NA,NA,NA,NA,NA,NA,NA,NA,"히알루론산(고시형)",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4538","품목보고번호20040275056801","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명마시는 콜라겐 트리플 업","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12","정제수","생선콜라겐펩타이드","오렌지농축액","프락토올리고당","레몬농축액","비타민C","오렌지향","기타가공품","히알루론산혼합제제","기타가공품","레몬향","세븐베리농축액","","피쉬콜라겐펩티드","","","","","혼합제제","프로라스틴(엘라스틴가수분해물)","","병풀추출분말","혼합제제","","13","14","15","16",NA,NA,NA,NA,NA,"히비스커스농축액","L-시스틴","기타가공품","비오틴",NA,NA,NA,NA,NA,"히비스커스주스농축액","","우유단백질농축(밀크세라마이드)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4537","품목보고번호19890449002129","업소명남양유업 주식회사 천안공장","품목유형혼합음료","유통/소비기한제조일부터 7 개월","제품명마시는 키플러스 바닐라","분류식품","업체명","남양유업 주식회사 천안공장","소재지","충청남도 천안시 동남구 풍세로 978(청수동)","1","2","3","4","5","6","7","8","9","10","11","12","원유","알파미분","곡류가공품","바닐린","액상과당","백설탕","기타가공품","기타가공품","클로렐라추출물","고형차","블루베리농축분말","혼합제제","","","오곡분말","","액상과당(55%)","","지피-씨","하이키KI-180","","우롱차추출물","","비스카린(VISCARIN SD 389)","13","14","15","16","17","18","19","20","21","카라기난","프락토올리고당","기타가공품","덱스트린","카제인포스포펩타이드","농축유단백","달맞이꽃종자유","해바라기유","글리세린지방산에스테르","","","치커리화이바","덱스트린(액상)","","농축유단백(80%)","","","","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","변성전분","식용유지가공품","칼슘혼합제제","칼슘혼합제제","염화칼륨","염화콜린","수산화마그네슘","L-시스틴","타우린","제일인산칼륨","혼합제제","요오드칼륨","산화아연","L-카르니틴","비타민 C(고시형)","혼합제제","정제소금","혼합제제","혼합제제","정제수","바닐라시럽","","도코사헥사엔산-12","칼슘혼합제제(나노칼슘-피24)","칼슘혼합제제(포스칼슘-피24)","","","","","","","유화철","","","","","비타민프리믹스 ND M/03","","바닐라향2407335","바닐라향S-1619","","",NA,NA,NA
"9","번호4536","품목보고번호19890449002130","업소명남양유업 주식회사 천안공장","품목유형혼합음료","유통/소비기한제조일부터 7 개월","제품명마시는 키플러스 코코아","분류식품","업체명","남양유업 주식회사 천안공장","소재지","충청남도 천안시 동남구 풍세로 978(청수동)","1","2","3","4","5","6","7","8","9","10","11","12","원유","곡류가공품","코코아분말","바닐린","액상과당","백설탕","기타가공품","기타가공품","클로렐라추출물","우롱차추출물","블루베리농축분말","혼합제제","","오곡분말","","","(55%)","","지피-씨","하이키KI-180","","","","비스카린(VISCARIN SD 389)","13","14","15","16","17","18","19","20","21","카라기난","혼합제제","프락토올리고당","기타가공품","덱스트린","카제인포스포펩타이드","농축유단백","달맞이꽃종자유","해바라기유","","셀룰로스 혼합제제611","","치커리화이바","덱스트린(액상)","","농축유단백(80%)","","","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","글리세린지방산에스테르","변성전분","식용유지가공품","칼슘혼합제제","칼슘혼합제제","염화칼륨","염화콜린","수산화마그네슘","L-시스틴","타우린","제일인산칼륨","혼합제제","요오드칼륨","산화아연","L-카르니틴","비타민 C(고시형)","혼합제제","정제소금","혼합제제","혼합제제","혼합제제","","","도코사헥사엔산-12","칼슘혼합제제(나노칼슘-피24)","칼슘혼합제제(포스칼슘-피24)","","","","","","","유화철","","","","","비타민프리믹스 ND M/03","","초코향C-197C","초코향1211072","밀크향51217","43","정제수",""
"10","번호4535","품목보고번호200306143071359","업소명(주)젠푸드","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명마시는 토피넛","분류식품","업체명","(주)젠푸드","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","8","9","10","11","12","정제수","설탕","혼합분유","기타과당","혼합제제","향료","코코아분말","정제소금","향료","향료","탄산수소나트륨","효소처리스테비아","","","스킴밀크프리퍼레이션 에스엠피 8515","","검믹스 MIE-71100","너트향 엠에프-220816","코코아파우더 D-11-MR","","토피넛향콩크 FAC-40082","천연토피넛향 FAC-39570","","효소처리스테비아-에스지",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
