"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","번호11","번호12","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고10","비고11","비고12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","번호...78","성분 및 원료","비고"
"1","번호1453","품목보고번호20080614259645","업소명(주)희창유업 제2공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명제시쥬시 복숭아 아이스티","분류식품","업체명","(주)희창유업 제2공장","소재지","경상남도 양산시 유산공단7길 45(1동일부, 2동, 9동 유산동)","1","2","3","4","5","6","7","8","9","정제수","설탕","복숭아농축액","구연산","복숭아향","복숭아홍차분말","카라멜색소","수크랄로스","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1452","품목보고번호20080614259646","업소명(주)희창유업 제2공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명제시쥬시 애플망고 아이스티","분류식품","업체명","(주)희창유업 제2공장","소재지","경상남도 양산시 유산공단7길 45(1동일부, 2동, 9동 유산동)","1","2","3","4","5","6","7","8","9","정제수","설탕","망고퓌레","과.채가공품","구연산","망고향","젤란검","수크랄로스","심황색소","","","","애플망고퓨레","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1451","품목보고번호20080614259647","업소명(주)희창유업 제2공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명제시쥬시 청포도 아이스티","분류식품","업체명","(주)희창유업 제2공장","소재지","경상남도 양산시 유산공단7길 45(1동일부, 2동, 9동 유산동)","1","2","3","4","5","6","7","8","9","정제수","설탕","백포도농축액","구연산","라임농축액","포도향","구연산삼나트륨","비타민 C(고시형)","라임향",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","11","12","수크랄로스","식용색소황색제4호","식용색소청색제1호",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1450","품목보고번호2014021650631","업소명(주)물마루","품목유형혼합음료","유통/소비기한2년","제품명제이미네랄워터","분류식품","업체명","(주)물마루","소재지","광주광역시 서구 월드컵4강로112번길 7(1층 화정동)","1","2",NA,NA,NA,NA,NA,NA,NA,"지하수","탄산칼륨(무수)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1449","품목보고번호201306280199","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명제이씨라바1000(JC Lava 1000)","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)","1","2",NA,NA,NA,NA,NA,NA,NA,"정제수","글루콘산아연",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1448","품목보고번호2021062221422","업소명주식회사제이크리에이션2","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명제이씨제주알칼리","분류식품","업체명","주식회사제이크리에이션2","소재지","제주특별자치도 제주시 구좌읍 일주동로 2708-20(주제이크리에이션 1~2층)","1","2",NA,NA,NA,NA,NA,NA,NA,"정제수","탄산칼륨(무수)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1447","품목보고번호20040275056670","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명제이엠아르기닌4000","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","정제수","L-아르지닌","구연산","과.채가공품","세븐베리농축액","과.채가공품","레몬농축액","비타민C","청포도향","","","함수구연산","샤인머스캣혼합농축액","","적포도농축액","","","","10","11","12","펙틴","효소처리스테비아","글루콘산아연","펙틴JMJ","","","13","14","15","16","17","18","19","20","21","22","레몬향","황금혼합추출물","니코틴산아미드","건조효모(셀렌함유)","분말비타민B12혼합제제","비타민B1염산염","엽산","레몬밤추출물","녹차추출물","흰강낭콩추출물","레몬향#6","복합황금추출물","","SE1000","비타민B12혼합제제","","","레몬밤추출분말","녹차추출분말","흰강낭콩추출분말",NA,NA,NA
"8","번호1446","품목보고번호2020039511220","업소명(주)마음","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명제이피 건생수(제품명 변경보고)","분류식품","업체명","(주)마음","소재지","경기도 가평군 상면 비룡로 2217-17(가, 나동)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","정제수",NA
"9","번호1445","품목보고번호20030554150222","업소명피지바이오헬스영농조합법인","품목유형혼합음료","유통/소비기한2년","제품명제이헬스나노콜라겐","분류식품","업체명","피지바이오헬스영농조합법인","소재지","경상북도 영주시 풍기읍 기주로170번길 46(외2필지)","1","2","3","4","5","6","7","8","9","콜라겐","정제수","용설란시럽","올리고당","비타민C","유자농축과즙액","자일리톨","석류농축액","아로니아농축액","초 저분자 나노 魚鱗 콜라겐 액상(고형분 50%)","","아가베시럽","뉴오리고","","","","","","10","11","12","드링크향","구연산","요구르트향","","","","13","14","15","16","17","18","19",NA,NA,NA,"수크랄로스","황칠나무농축액","비타민B1염산염","엘라스틴가수분해물","밀크씨슬추출물분말","히알루론산","비타민B2",NA,NA,NA,"","","","","","","",NA,NA,NA,NA,NA,NA
"10","번호1444","품목보고번호20020383603310","업소명(주)팜텍코리아","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명제이헬스나노콜라겐펩타이드","분류식품","업체명","(주)팜텍코리아","소재지","강원도 원주시 문막읍 문막공단길 59","1","2","3","4","5","6","7","8","9","기타가공품","벌꿀","사과농축액","DL-사과산","석류농축액","유자농축액","세븐베리농축액","합성향료","효소처리스테비아","초저분자 나노 어린 콜라겐 액상","사양벌꿀","","","","","","석류향","","10","11","12","비타민C","타우린","잔탄검","","","","13","14","15","16","17",NA,NA,NA,NA,NA,"혼합제제","기타가공품","혼합제제","혼합제제","정제수",NA,NA,NA,NA,NA,"아미노믹스","복합황금추출물","히알루론산 혼합제제","비타민미네랄믹스-DH","",NA,NA,NA,NA,NA,NA,NA,NA
